symbol,fractionable
HERXF,False
KSKD,False
HLUN,False
BOARF,False
ENCW,False
IRIG,False
MDBBF,False
OHTR,False
RSLGS,False
PRDSF,False
TMRC,False
ARYMF,False
NQMLF,False
AVCTF,False
BNTGF,False
SEHLF,False
YATRY,False
ACAI,False
CDBMF,False
MCCHF,False
ASCCY,False
GCAN,False
CYFL,False
SUSRF,False
PEXXF,False
AMIGF,False
HYWI,False
EKIVF,False
DBRM,False
PBUMF,False
MYRX,False
GRLF,False
TERCF,False
AXTLF,False
LWWLY,False
DOROF,False
PTAM,False
AURX,False
DNGDF,False
HNGKY,False
SHOFF,False
MTPGF,False
AMWK,False
KNGW,False
KNRRY,False
MYSL,False
AVACF,False
NODB,False
ENBP,False
ERHE,False
ASAGF,False
AXIM,False
GWLLY,False
PNDDF,False
HUTCY,False
NPEHF,False
HDUGF,False
KTRPF,False
SISPF,False
DMNKF,False
YNAJF,False
PYCFF,False
RBYC,False
JACJF,False
LVTTF,False
NUHRF,False
ASEKF,False
DRUNF,False
CRERF,False
SIELY,False
MENB,False
EKGRU,False
ORKLF,False
RSLCS,False
MODGF,False
SGIL,False
FCBRF,False
SMWCF,False
TLKMF,False
GBNXF,False
SIVE,False
ASAAF,False
MONRY,False
AJMPF,False
OSCMY,False
FSTJ,False
RSLAS,False
HLBBF,False
FOBIF,False
HVLM,False
ASHI,False
PCPZ,False
VLTMF,False
AGRS,False
IBXG,False
ZTNO,False
SBHGF,False
CNPOF,False
PTMRF,False
AFBOF,False
MOGLF,False
ISRVF,False
CRECF,False
HEWA,False
RRETY,False
AWRY,False
TCYSF,False
FSOYF,False
ZSTN,False
AXCG,False
CREQF,False
ICTSF,False
UNIB,False
SNKSY,False
SHOM,False
EXLA,False
BLHEY,False
CNGFF,False
CZNL,False
ITIPF,False
STEAF,False
AIHZF,False
GMOYF,False
MRAEF,False
ASII,False
GMPFF,False
ASPT,False
WBRE,False
IDYLF,False
VPRO,False
KITL,False
ETKR,False
CMHHY,False
WCRS,False
GCHHF,False
AMNF,False
AOZOF,False
FPHAF,False
WGRFF,False
HRPMF,False
MNRHF,False
LYSGF,False
MLMZF,False
AVPMF,False
ADZZF,False
BLPFF,False
TTAZF,False
GVYB,False
YNSKF,False
DCNSF,False
MNPGY,False
SVLT,False
UETTU,False
SNVFF,False
TTBKF,False
JFROF,False
IHHHF,False
VGTL,False
TOTTF,False
JGCCF,False
WHGPF,False
VTGDF,False
TRLM,False
TNABY,False
WOSGF,False
PLLIF,False
BNGI,False
TMRR,False
GRDAF,False
BRRE,False
BRAXF,False
DTNOY,False
VNFTF,False
HTCKF,False
KGET,False
CETI,False
PHOJY,False
WOWU,False
CWXZF,False
CBWA,False
HMBG,False
MAHMF,False
SLOFF,False
TKCBY,False
SASOF,False
SEPGF,False
EBGEF,False
KNCRY,False
IUTCF,False
NBYCF,False
RARBS,False
MNLXF,False
GTMUF,False
PONGF,False
REMRF,False
NAMX,False
NSARO,False
DTEGF,False
JMHLY,False
BETW,False
TVAHF,False
CNDCF,False
SMATF,False
BXNG,False
AFHBQ,False
SILEF,False
TWAPF,False
OROXF,False
AVGTF,False
SNMRF,False
SGHDY,False
VBIZF,False
PTHSF,False
SWPLY,False
BCKIF,False
TJIPF,False
FUJSF,False
PTCO,False
ATMTF,False
CGNH,False
MNSEF,False
CBDD,False
YPHDF,False
GWLOF,False
WYNMY,False
TNLIY,False
KSIH,False
TGLVY,False
KYKOY,False
VTSYF,False
PCLB,False
BCHFP,False
BEEN,False
BFNH,False
FNGGF,False
NTRU,False
PXMBF,False
IVST,False
VTXPF,False
GMEV,False
PTAUF,False
HRASF,False
CINSF,False
APYRF,False
TMHTY,False
TZPC,False
OPBXF,False
STNRF,False
DAAT,False
RGGI,False
EOPSF,False
EHMEF,False
BWMG,False
MADGF,False
MDCN,False
AUTLF,False
RAFFF,False
STSBF,False
FSPM,False
AIHLF,False
FNXLF,False
FRGY,False
KSRYY,False
GLABF,False
AFCL,False
BDGSF,False
YATRF,False
KGJI,False
INVMF,False
TOKUF,False
ERINQ,False
LINRF,False
IOBCF,False
DZGH,False
APYLF,False
SBGSY,False
OTPBF,False
CHXMF,False
SEAOF,False
MRPS,False
IHLDF,False
BZYR,False
JSGRY,False
ATIW,False
MTRJF,False
BGUUF,False
DTHR,False
VNJA,False
PEGRY,False
SAEI,False
ITRYF,False
UNCRY,False
CDEVF,False
HMLA,False
ZHSHF,False
IGTAY,False
GLBH,False
JUTOF,False
AVIX,False
BKFKF,False
MSSMY,False
SLCO,False
FWEDF,False
PHURF,False
HVPQF,False
ASNXF,False
CFRHF,False
AJLGF,False
TVOG,False
OPTL,False
BSHI,False
MITNF,False
TKCBF,False
BKFKY,False
OSGSY,False
MCTYF,False
ECOGF,False
GBCMY,False
SMTGY,False
XCAN,False
CRVW,False
SVNDF,False
NORZF,False
CSFGF,False
FKYS,False
KONEF,False
WRHLF,False
NCHEY,False
SUEZF,False
BLUMY,False
PBMRY,False
KMNCF,False
CLXLF,False
ABTZY,False
ALID,False
NPSKY,False
SSEEF,False
KMUXF,False
UNIRF,False
ISHQF,False
IOUFF,False
ICMNF,False
KYNC,False
SMEGF,False
APWL,False
WOEN,False
YASKF,False
JECFF,False
CTBO,False
LOMLF,False
FPRUF,False
MSLOF,False
INTO,False
CBDX,False
ASNCF,False
KKPNF,False
MDWK,False
KITZF,False
PTEXF,False
CXXMF,False
ALTGF,False
MWWC,False
BNCM,False
LTGJ,False
SKTPP,False
PLTI,False
CHWWQ,False
ATGSY,False
MHRE,False
BYAGF,False
RRVFS,False
PRGLY,False
EXSR,False
LNXGF,False
VGRDF,False
GWLIF,False
VNGUF,False
JMREY,False
IVSRF,False
SDVKF,False
IRVRF,False
CRZY,False
MTEI,False
FRFC,False
NZTSF,False
AMLM,False
BIOQ,False
ESWW,False
IMPRF,False
SAVW,False
VIVPS,False
VDOMF,False
GLAPF,False
FNCDY,False
ADCUF,False
MCCRF,False
JTBK,False
GZIC,False
CANN,False
VPOR,False
MCVEY,False
PNYG,False
ATAZF,False
OHCS,False
ITSXF,False
MCHB,False
RPNKS,False
MSPAF,False
KOSCF,False
SGNLF,False
ZRFY,False
ROSEQ,False
EMGE,False
PCOA,False
SPHS,False
ANKOF,False
RGEDF,False
RSAGS,False
CVNZF,False
TTAPF,False
JDVB,False
SNTMF,False
BTIM,False
SYBJF,False
IHICF,False
AWSL,False
EONGY,False
IVRN,False
ISCDF,False
FANDY,False
IMKI,False
ALNPF,False
WRIV,False
OKSCF,False
PINDF,False
KSHDF,False
QHHRF,False
SMTOY,False
MRIB,False
WTCHF,False
CGEGF,False
GUMIF,False
TKFTF,False
OOGI,False
PGNT,False
RNSHY,False
NOHO,False
SUTI,False
PTBFF,False
PRPM,False
LOGQ,False
FCLOF,False
AELTF,False
PTAIF,False
INVXF,False
NRTZF,False
LOGL,False
ISUDF,False
DMIFF,False
COGNY,False
ARLLF,False
KRMCF,False
BRDLF,False
BWEL,False
TTMTF,False
BYMOF,False
SWRI,False
OSSFF,False
NSEIF,False
ICGFF,False
KPTSF,False
CLLXF,False
NLLRF,False
EENEF,False
CRBO,False
IMNTF,False
WELX,False
INCAF,False
NGENF,False
RCLTS,False
EJTTF,False
CBBLF,False
CIWT,False
NSFMF,False
CYAGF,False
INXDF,False
USMT,False
LGDDF,False
NGMC,False
JSHG,False
STDE,False
ASXSF,False
UHID,False
TRCY,False
TMTNF,False
BMBRF,False
VTEXF,False
HXBM,False
FDCT,False
CPADF,False
OGDBS,False
RZRLF,False
CHFFF,False
HWSNF,False
GBAT,False
MARIF,False
THNOF,False
TWRKF,False
MIURF,False
MCET,False
AVIVF,False
DRWKF,False
SHDC,False
BIOGY,False
CIEZF,False
KVGOF,False
OTPGF,False
CSASF,False
RZLLY,False
HSYDF,False
AHFCF,False
FNFPA,False
KGTHY,False
BILZF,False
VCMP,False
WFICF,False
PMDL,False
SBHMY,False
AVRI,False
SKKAF,False
FOEAF,False
KEWL,False
AMNCB,False
BWERY,False
SKURF,False
HELKF,False
EUSP,False
GZPZF,False
CBGL,False
BZTG,False
SPOC,False
SHMWF,False
CHLE,False
MNSKY,False
TGRVF,False
DBRTF,False
RBLAY,False
OERLF,False
CNVT,False
SVLPF,False
SSGC,False
AKESF,False
ASCLF,False
CMPD,False
SMDZF,False
WHZT,False
HLPXF,False
CBCFF,False
HAWLI,False
PNAGF,False
GWLLF,False
UAMA,False
CFIN,False
AICHF,False
HINOY,False
BYLTF,False
NGOOL,False
ECELF,False
TMVWY,False
GRNNF,False
SNZZF,False
PRBZF,False
SHGDF,False
DRKOF,False
STHFF,False
XXFPL,False
PYMOF,False
MKGP,False
IVITF,False
MNBEF,False
PCGR,False
TROLB,False
WILYY,False
USLVF,False
GCPEY,False
BETRF,False
OREAF,False
ORRAF,False
ERLFF,False
KGGNF,False
ALCN,False
TCNNF,False
SMAWF,False
REAWS,False
CLAZF,False
RMSL,False
OGDCS,False
CNIKF,False
FCNE,False
ZKBSF,False
KHNGY,False
NSEO,False
BWLLY,False
SBUDF,False
CAOVY,False
PCRBF,False
SOIEF,False
IMXCF,False
NWKHY,False
AFPW,False
AMVMF,False
SWDBF,False
MROPF,False
LBRMF,False
ARHFS,False
SRHGF,False
ARTGF,False
CLUBQ,False
ATXMF,False
GFGSF,False
CPEFF,False
IVPAF,False
VGFAF,False
MDVT,False
INGEF,False
TRAE,False
ATNNF,False
ABQQ,False
XXTXF,False
PERS,False
HAIIF,False
EMPYF,False
HONT,False
TCLIF,False
GBERF,False
MQBKY,False
SHJBF,False
MDMXF,False
BRVO,False
MPLXP,False
CLEGY,False
AUNM,False
CIIHF,False
IVSXF,False
IUTSF,False
PGAI,False
PVLEF,False
WGMCF,False
BRNHF,False
BWEFF,False
FNMA,False
CDYCF,False
EMGDF,False
PPTTF,False
RMYHY,False
CSBI,False
AVCNF,False
LNGPF,False
NHNKY,False
SGLS,False
RVRF,False
CVTV,False
ELCMF,False
KNMOF,False
OQLGF,False
PGEZF,False
SLTN,False
PGNYF,False
AQPW,False
OHBK,False
AMPCF,False
UNRG,False
ISEJF,False
JELCF,False
AMSYF,False
HBCYF,False
RJIFF,False
ONZBF,False
STWC,False
WTIPF,False
TLLTF,False
BFDE,False
ERPSY,False
LTUC,False
MLRT,False
JUTOY,False
BIREF,False
XTRKF,False
KSTUF,False
ISRPF,False
BYRG,False
EMPS,False
BYDGF,False
AMPDF,False
RSEWS,False
GLSBF,False
PNADF,False
ADKT,False
VTAGY,False
SNNF,False
GRNWF,False
RROYF,False
NTSGF,False
AFAP,False
CGNWF,False
LVPA,False
CAAOF,False
CELJF,False
GTCH,False
AAPI,False
LVZPF,False
BIRNF,False
WDGRF,False
CYPS,False
IFPJF,False
BTQNF,False
PXPHF,False
GMGMF,False
REECF,False
SNHPF,False
LYYXF,False
CNNXF,False
AAGC,False
YCHYF,False
BSHVF,False
DESTQ,False
BDRBF,False
EVGRF,False
MNIQQ,False
UNMK,False
GMVMF,False
ISRZF,False
HFAHF,False
YORUY,False
HROEY,False
NHNKF,False
OROVF,False
GNIIF,False
GRHY,False
CCPPF,False
KNBWF,False
MCEM,False
MILTY,False
MZDAF,False
WFPCF,False
BNPQF,False
ZAHA,False
CTMLF,False
ROYE,False
CAOVF,False
GEGI,False
BORK,False
MCHVY,False
DRMKY,False
GBLX,False
WDDD,False
PTRRY,False
KEFI,False
EXPH,False
VTEPF,False
ZPAS,False
SESMF,False
GNRD,False
WLWHY,False
RKTE,False
SAUHY,False
CNPPF,False
PLPKF,False
IRRHF,False
FMCKN,False
BTNY,False
DLPRF,False
GPKE,False
SMIRF,False
SRLZF,False
AVSA,False
KKHNF,False
HNSBF,False
IIQPF,False
IPXHY,False
WMTN,False
HAPYF,False
BOUYY,False
BCINF,False
CKPDY,False
NJMLF,False
AKBLF,False
TQLB,False
RCHN,False
CHAM,False
RSCF,False
JPAVF,False
SRGE,False
CUPUF,False
IHRTB,False
DRTFF,False
RIDYF,False
BOYJF,False
RGPMF,False
HVGDF,False
PLUNF,False
IMMG,False
PZRIF,False
BXMPY,False
GMGSF,False
INBP,False
TVDPF,False
BTPNF,False
TTHG,False
NMSYF,False
SFIO,False
HNORF,False
PUPOF,False
FBTT,False
KUMBF,False
BWMY,False
PDPTF,False
BKSLF,False
CRYNY,False
FBRKF,False
JUSCF,False
TTNMF,False
LTUU,False
FNNZF,False
MCHA,False
SMVS,False
ANLBF,False
SSRC,False
NSVLF,False
NTXVF,False
ACCYY,False
CONIF,False
CTGSP,False
PZRXQ,False
DSDVF,False
COLTF,False
KSANF,False
AMFL,False
FEDC,False
ISJSF,False
ELTP,False
IDCN,False
PGYC,False
LSIHF,False
VIFI,False
INLB,False
CHPFF,False
BCBNF,False
WRMA,False
PMPG,False
IFUUF,False
ECTM,False
LNMG,False
WFRSF,False
TKCXF,False
SEGSY,False
AKRTF,False
SYBRQ,False
WODBF,False
CRSXQ,False
TWODF,False
CWPS,False
FMCKO,False
KYOCF,False
SSLZY,False
PSYCF,False
MECGF,False
PSYBF,False
CDELF,False
MLGRF,False
FCODF,False
IMPUF,False
OGSES,False
BQSSF,False
BQMGY,False
BGVDF,False
BDRXF,False
BOSXF,False
ATLCY,False
NSCIF,False
TGLTY,False
TRYIF,False
AFSIN,False
GROUY,False
PNXPF,False
RSCPS,False
CWWGF,False
FSBH,False
ZNZNF,False
LASAS,False
PWLNF,False
CCYY,False
SPOFF,False
APRAF,False
NBVG,False
KYDKF,False
ARHMS,False
JMCCF,False
JYSKF,False
CLILF,False
GRNL,False
STMZF,False
GUOHF,False
AZIL,False
AFSIC,False
STAOF,False
CLTY,False
TYHPF,False
KYSEF,False
ASTTF,False
BRGS,False
SGLRF,False
ZFSVF,False
QTCHF,False
AKAAF,False
NWXPF,False
SWPMY,False
AURWF,False
GDQMF,False
ISCKF,False
PTNDY,False
SNIRF,False
KNCAY,False
POTRF,False
LENTY,False
CWEGF,False
STBGY,False
BRAV,False
ADFJF,False
NISTF,False
KMTUF,False
AVNI,False
INTH,False
OTCSS,False
GLBXF,False
NTFL,False
APRCP,False
TNEN,False
GMSC,False
ICDZF,False
CHOWF,False
CRICF,False
PXCLY,False
ETEK,False
CSNVY,False
SHMAY,False
CAUTF,False
DTSOF,False
TRRSF,False
TFGL,False
PARDP,False
RYAHF,False
AONNF,False
CWRN,False
NWINF,False
FNICF,False
VEOEF,False
CIEHF,False
ZDEC,False
MARVF,False
KCMH,False
SBKFF,False
IDGAF,False
MNPP,False
PRAC,False
TOGOF,False
MDIT,False
ZNOG,False
EVNVY,False
IMPCF,False
LONEQ,False
SMTEF,False
CAOHF,False
EDXC,False
TYFG,False
KOTMF,False
CTRYF,False
RANKF,False
JFTSF,False
RNGE,False
ISZZF,False
EMMA,False
RSABS,False
AKCCF,False
MREYF,False
DNFGF,False
NNRI,False
ZIMCF,False
BRRDF,False
EVBC,False
RPDT,False
TNISY,False
GSRX,False
