asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
ABBV,0.35,0.01,2025-10-09 16:05:54,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-09 16:07:47,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-09 16:07:50,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-09 16:07:54,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-09 16:09:32,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-09 16:09:34,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-09 16:09:39,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-09 19:58:44,230.78,230.91,-0.06,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-09 23:30:34,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-10 03:07:06,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-10 03:07:11,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-10 03:07:15,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-10 03:07:19,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-10 03:08:38,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-10 03:08:43,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-10 03:08:48,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.35,0.01,2025-10-10 03:08:53,230.69,230.91,-0.09,False,True,False,False,7.0,2
ABBV,0.34,0.01,2025-10-10 12:36:40,232.87,230.91,0.85,False,True,False,False,10.5,2
