asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
ABNB,0.68,0.01,2025-10-14 04:14:43,118.05,118.24,-0.16,False,True,False,False,10.5,2
ABNB,0.68,0.01,2025-10-14 04:15:29,118.05,118.24,-0.16,False,True,False,False,10.5,2
ABNB,0.68,0.01,2025-10-14 04:23:21,118.05,118.24,-0.16,False,True,False,False,10.5,2
ABNB,0.68,0.01,2025-10-14 04:23:53,118.05,118.24,-0.16,False,True,False,False,10.5,2
ABNB,0.67,0.01,2025-10-14 09:43:46,118.86,118.24,0.52,False,True,False,False,10.5,2
ABNB,0.67,0.01,2025-10-14 09:43:50,118.83,118.24,0.5,False,True,False,False,10.5,2
ABNB,0.67,0.01,2025-10-14 09:43:54,118.83,118.24,0.5,False,True,False,False,10.5,2
ABNB,0.66,0.01,2025-10-14 10:15:41,121.36,118.24,2.64,True,False,False,False,7.0,2
ABNB,0.66,0.01,2025-10-14 10:21:24,121.46,118.24,2.72,True,False,False,False,7.0,2
ABNB,0.66,0.01,2025-10-14 10:26:31,121.58,118.24,2.82,True,False,False,False,7.0,2
ABNB,0.66,0.01,2025-10-14 10:26:35,121.53,118.24,2.78,True,False,False,False,7.0,2
ABNB,0.66,0.01,2025-10-14 10:29:30,121.8,118.24,3.01,True,False,False,False,7.0,2
ABNB,0.66,0.01,2025-10-14 10:30:17,121.77,118.24,2.98,True,False,False,False,7.0,2
ABNB,0.66,0.01,2025-10-14 10:30:21,121.79,118.24,3.0,True,False,False,False,7.0,2
ABNB,0.66,0.01,2025-10-14 10:32:05,121.51,118.24,2.76,True,False,False,False,7.0,2
ABNB,0.66,0.01,2025-10-14 10:32:27,121.5,118.24,2.75,True,False,False,False,7.0,2
ABNB,0.65,0.01,2025-10-14 11:26:16,122.82,118.24,3.87,True,False,False,False,7.0,2
ABNB,0.65,0.01,2025-10-14 11:26:18,122.82,118.24,3.87,True,False,False,False,7.0,2
ABNB,0.65,0.01,2025-10-14 11:29:20,122.76,118.24,3.82,True,False,False,False,7.0,2
ABNB,0.65,0.01,2025-10-14 11:33:33,123.07,118.24,4.08,True,False,False,False,7.0,2
ABNB,0.65,0.01,2025-10-14 11:35:28,123.15,118.24,4.15,True,False,False,False,7.0,2
ABNB,0.65,0.01,2025-10-14 11:36:39,123.14,118.24,4.14,True,False,False,False,7.0,2
ABNB,0.65,0.01,2025-10-14 11:38:15,123.17,118.24,4.17,True,False,False,False,7.0,2
ABNB,0.65,0.01,2025-10-14 12:01:19,123.43,118.24,4.39,True,False,False,False,7.0,2
ABNB,0.65,0.01,2025-10-14 12:02:29,123.52,118.24,4.46,True,False,False,False,7.0,2
ABNB,0.65,0.01,2025-10-14 17:29:56,122.89,118.24,3.93,True,False,False,False,7.0,2
ABNB,0.64,0.27,2025-10-15 10:35:01,125.43,124.62,0.65,False,True,False,False,7.0,2
ABNB,0.65,0.27,2025-10-15 11:53:51,123.96,124.62,-0.53,False,True,False,False,7.0,2
ABNB,0.65,0.27,2025-10-15 12:06:14,123.51,124.62,-0.89,False,True,False,False,7.0,2
ABNB,0.65,0.27,2025-10-15 12:10:15,123.55,124.62,-0.86,False,True,False,False,7.0,2
ABNB,0.65,0.27,2025-10-15 12:12:51,123.5,124.62,-0.9,False,True,False,False,7.0,2
ABNB,0.65,0.27,2025-10-15 12:14:10,123.64,124.62,-0.79,False,True,False,False,7.0,2
ABNB,0.65,0.27,2025-10-15 12:14:41,123.62,124.62,-0.8,False,True,False,False,7.0,2
ABNB,0.65,0.27,2025-10-15 12:15:11,123.57,124.62,-0.84,False,True,False,False,7.0,2
ABNB,0.65,0.27,2025-10-15 12:15:35,123.69,124.62,-0.75,False,True,False,False,7.0,2
ABNB,0.65,0.27,2025-10-15 12:18:09,123.5,124.62,-0.9,False,True,False,False,7.0,2
ABNB,0.65,0.27,2025-10-15 12:21:38,123.5,124.62,-0.9,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-15 15:20:43,124.19,124.62,-0.35,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:07:11,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:07:13,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:08:19,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:08:21,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:08:50,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:09:16,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:09:18,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:09:22,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:10:03,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:10:05,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:10:09,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:11:07,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:11:10,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-19 21:11:14,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-20 01:53:39,125.91,124.62,1.03,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-20 04:05:18,125.82,124.62,0.96,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-20 04:07:28,125.82,124.62,0.96,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-20 04:08:24,125.82,124.62,0.96,False,True,False,False,7.0,2
ABNB,0.64,0.27,2025-10-20 04:11:06,125.82,124.62,0.96,False,True,False,False,7.0,2
ABNB,0.63,0.27,2025-10-21 00:31:20,127.21,124.62,2.08,False,True,False,False,7.0,2
