asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
ABNY,4.13,1.0,2025-10-07 15:08:13,9.69,9.76,-0.72,False,True,False,True,7.0,2
ABNY,4.16,1.0,2025-10-07 16:22:36,9.62,9.76,-1.43,False,True,False,True,7.0,2
ABNY,4.16,1.0,2025-10-07 16:24:22,9.62,9.76,-1.43,False,True,False,True,7.0,2
ABNY,4.16,1.0,2025-10-07 16:53:11,9.62,9.76,-1.43,False,True,False,True,7.0,2
ABNY,8.24,3.0,2025-10-09 01:09:05,9.71,9.64,0.7,False,True,False,True,7.0,2
ABNY,8.24,3.0,2025-10-09 01:16:15,9.71,9.64,0.7,False,True,False,True,7.0,2
ABNY,8.24,3.0,2025-10-09 01:20:42,9.71,9.64,0.7,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:20:53,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:24:14,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:24:18,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:24:21,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:24:25,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:24:28,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:24:31,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:25:07,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:25:13,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:25:17,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:25:20,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:25:23,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,4.12,1.0,2025-10-09 01:25:26,9.71,9.76,-0.54,False,True,False,True,7.0,2
ABNY,8.24,3.0,2025-10-09 01:26:03,9.71,9.64,0.7,False,True,False,True,7.0,2
ABNY,8.24,3.0,2025-10-09 01:26:09,9.71,9.64,0.7,False,True,False,True,7.0,2
ABNY,8.24,3.0,2025-10-09 01:26:12,9.71,9.64,0.7,False,True,False,True,7.0,2
