asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
ACHR,12,1.01,2025-07-01 23:48:00,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-01 23:50:10,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-01 23:50:22,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:06:47,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:08:20,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:09:17,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:10:29,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:10:59,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:18:22,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:18:59,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:19:58,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:20:36,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:22:15,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:22:51,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:27:16,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:28:14,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:29:25,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:29:48,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:30:11,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:31:05,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:31:15,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:31:33,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:31:41,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:34:02,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:35:21,9.88,10.1,-2.18,False,True,False,True,7.0,2
ACHR,12,1.01,2025-07-02 00:37:08,9.88,10.1,-2.18,False,True,False,True,7.0,2
