asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
ADP,0.28,0.01,2025-10-09 12:49:05,287.81,289.13,-0.46,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-09 13:03:41,287.31,289.13,-0.63,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:03:56,287.28,289.13,-0.64,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:04:46,287.28,289.13,-0.64,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:12:41,287.63,289.13,-0.52,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:18:48,287.52,289.13,-0.56,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:35:27,287.48,289.13,-0.57,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:35:33,287.48,289.13,-0.57,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:35:37,287.48,289.13,-0.57,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:35:41,287.61,289.13,-0.53,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:39:24,287.55,289.13,-0.55,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:43:07,287.34,289.13,-0.62,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:45:06,287.31,289.13,-0.63,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:47:36,287.73,289.13,-0.48,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:47:41,287.73,289.13,-0.48,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:47:46,287.73,289.13,-0.48,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:47:52,287.73,289.13,-0.48,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:51:08,287.52,289.13,-0.56,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-09 13:51:14,287.52,289.13,-0.56,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-09 13:51:19,287.52,289.13,-0.56,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:51:24,287.52,289.13,-0.56,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:58:24,287.27,289.13,-0.64,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:58:30,287.27,289.13,-0.64,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:58:35,287.27,289.13,-0.64,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 13:58:41,287.27,289.13,-0.64,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-09 16:05:54,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-09 16:07:47,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-09 16:07:50,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-09 16:07:54,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-09 16:09:32,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-09 16:09:34,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-09 16:09:39,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-09 19:58:44,285.75,289.13,-1.17,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-09 23:30:34,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-10 03:07:06,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-10 03:07:11,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-10 03:07:15,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-10 03:07:19,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-10 03:08:38,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-10 03:08:43,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-10 03:08:48,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-10 03:08:53,285.89,289.13,-1.12,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-10 12:36:40,286.56,289.13,-0.89,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 12:37:10,286.56,289.13,-0.89,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 12:41:52,286.87,289.13,-0.78,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 12:41:55,286.87,289.13,-0.78,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 12:42:00,286.74,289.13,-0.83,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 12:42:06,286.74,289.13,-0.83,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 12:42:12,286.74,289.13,-0.83,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 12:57:51,286.42,289.13,-0.94,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 12:57:59,286.42,289.13,-0.94,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 12:58:06,286.42,289.13,-0.94,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 12:58:13,286.42,289.13,-0.94,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 13:58:39,285.97,289.13,-1.09,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 13:58:44,285.98,289.13,-1.09,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 13:58:50,285.98,289.13,-1.09,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 13:58:57,285.98,289.13,-1.09,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 16:13:06,285.19,289.13,-1.36,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 16:13:11,285.19,289.13,-1.36,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 16:13:15,285.19,289.13,-1.36,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-10 16:13:20,285.19,289.13,-1.36,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-14 03:34:15,284.35,289.13,-1.65,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 03:34:20,284.35,289.13,-1.65,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 03:34:25,284.35,289.13,-1.65,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 03:34:28,284.35,289.13,-1.65,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 03:40:00,284.35,289.13,-1.65,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 03:40:03,284.35,289.13,-1.65,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 03:40:06,284.35,289.13,-1.65,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 03:42:24,284.35,289.13,-1.65,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 03:42:29,284.35,289.13,-1.65,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 03:42:34,284.35,289.13,-1.65,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 04:00:39,284.4,289.13,-1.64,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 04:00:44,284.4,289.13,-1.64,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 04:00:49,284.4,289.13,-1.64,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 04:05:13,284.4,289.13,-1.64,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 04:05:19,284.4,289.13,-1.64,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 04:05:25,284.4,289.13,-1.64,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 04:14:43,284.4,289.13,-1.64,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-14 04:15:29,284.4,289.13,-1.64,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-14 04:23:21,284.4,289.13,-1.64,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-14 04:23:53,284.4,289.13,-1.64,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-14 09:43:46,284.52,289.13,-1.59,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-14 09:43:50,284.52,289.13,-1.59,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-14 09:43:54,284.51,289.13,-1.6,False,True,False,False,10.5,2
ADP,0.28,0.01,2025-10-14 10:15:41,285.21,289.13,-1.35,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 10:21:24,285.01,289.13,-1.42,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 10:26:31,284.62,289.13,-1.56,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 10:26:35,284.62,289.13,-1.56,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 10:29:30,284.93,289.13,-1.45,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 10:30:17,284.89,289.13,-1.46,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 10:30:21,284.89,289.13,-1.46,False,True,False,False,7.0,2
ADP,0.28,0.01,2025-10-14 10:32:05,284.82,289.13,-1.49,False,True,False,False,7.0,2
