asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
AIPI,2.01,4.36,2025-08-04 02:07:31,42.21,42.32,-0.26,False,True,False,True,3.5,2
AIPI,2.01,4.36,2025-08-04 02:12:47,42.21,42.32,-0.26,False,True,False,True,3.5,2
AIPI,2.01,4.36,2025-08-04 02:19:20,42.21,42.32,-0.26,False,True,False,True,3.5,2
AIPI,2.01,4.36,2025-08-04 02:21:22,42.21,42.32,-0.26,False,True,False,True,3.5,2
AIPI,1.87,0.79,2025-10-10 12:36:40,42.75,42.95,-0.47,False,True,False,False,10.5,2
AIPI,1.87,0.79,2025-10-10 12:37:10,42.75,42.95,-0.47,False,True,False,False,10.5,2
AIPI,1.87,0.79,2025-10-10 12:41:52,42.75,42.95,-0.48,False,True,False,False,10.5,2
AIPI,1.87,0.79,2025-10-10 12:41:55,42.75,42.95,-0.48,False,True,False,False,10.5,2
AIPI,1.87,0.79,2025-10-10 12:42:00,42.75,42.95,-0.48,False,True,False,False,10.5,2
AIPI,1.87,0.79,2025-10-10 12:42:06,42.74,42.95,-0.49,False,True,False,False,10.5,2
AIPI,1.87,0.79,2025-10-10 12:42:12,42.74,42.95,-0.49,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 12:42:39,42.72,42.95,-0.54,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 12:42:42,42.72,42.95,-0.54,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 12:42:47,42.72,42.95,-0.54,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 12:42:53,42.72,42.95,-0.54,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 12:42:59,42.72,42.95,-0.54,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 12:43:30,42.7,42.95,-0.58,False,True,False,False,10.5,2
AIPI,1.88,0.79,2025-10-10 12:57:51,42.62,42.95,-0.76,False,True,False,False,10.5,2
AIPI,1.88,0.79,2025-10-10 12:57:59,42.62,42.95,-0.76,False,True,False,False,10.5,2
AIPI,1.88,0.79,2025-10-10 12:58:06,42.62,42.95,-0.76,False,True,False,False,10.5,2
AIPI,1.88,0.79,2025-10-10 12:58:13,42.62,42.95,-0.76,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 13:56:52,42.6,42.95,-0.81,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 13:56:58,42.6,42.95,-0.81,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 13:57:04,42.6,42.95,-0.81,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 13:57:11,42.6,42.95,-0.81,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 13:58:10,42.6,42.95,-0.81,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 13:58:16,42.6,42.95,-0.81,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 13:58:22,42.6,42.95,-0.81,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 13:58:28,42.6,42.95,-0.81,False,True,False,False,10.5,2
AIPI,1.88,0.79,2025-10-10 13:58:39,42.6,42.95,-0.81,False,True,False,False,10.5,2
AIPI,1.88,0.79,2025-10-10 13:58:44,42.6,42.95,-0.81,False,True,False,False,10.5,2
AIPI,1.88,0.79,2025-10-10 13:58:50,42.6,42.95,-0.81,False,True,False,False,10.5,2
AIPI,1.88,0.79,2025-10-10 13:58:57,42.6,42.95,-0.81,False,True,False,False,10.5,2
AIPI,1.89,0.79,2025-10-10 16:13:06,42.35,42.95,-1.4,False,True,False,False,10.5,2
AIPI,1.89,0.79,2025-10-10 16:13:11,42.35,42.95,-1.4,False,True,False,False,10.5,2
AIPI,1.89,0.79,2025-10-10 16:13:15,42.35,42.95,-1.4,False,True,False,False,10.5,2
AIPI,1.89,0.79,2025-10-10 16:13:20,42.35,42.95,-1.4,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 16:13:36,42.35,42.95,-1.4,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 16:13:41,42.35,42.95,-1.4,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 16:13:46,42.35,42.95,-1.4,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-10 16:13:51,42.35,42.95,-1.4,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-12 23:59:48,42.35,42.95,-1.4,False,True,False,False,7.0,2
AIPI,0.94,0.39,2025-10-13 00:04:45,42.35,42.95,-1.4,False,True,False,False,7.0,2
AIPI,0.93,0.39,2025-10-13 12:35:31,42.96,42.95,0.02,False,True,False,False,7.0,2
AIPI,0.93,0.39,2025-10-13 18:00:13,42.99,42.95,0.09,False,True,False,False,7.0,2
AIPI,0.94,0.39,2025-10-13 20:21:59,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,0.94,0.39,2025-10-13 21:48:53,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,1.86,0.79,2025-10-14 03:34:15,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,1.86,0.79,2025-10-14 03:34:20,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,1.86,0.79,2025-10-14 03:34:25,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,1.86,0.79,2025-10-14 03:34:28,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,1.86,0.79,2025-10-14 03:40:00,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,1.86,0.79,2025-10-14 03:40:03,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,1.86,0.79,2025-10-14 03:40:06,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,0.93,0.39,2025-10-14 03:41:16,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,0.93,0.39,2025-10-14 03:41:19,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,0.93,0.39,2025-10-14 03:41:24,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,1.86,0.79,2025-10-14 03:42:24,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,1.86,0.79,2025-10-14 03:42:29,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,1.86,0.79,2025-10-14 03:42:34,43.02,42.95,0.17,False,True,False,False,7.0,2
AIPI,1.87,0.79,2025-10-14 04:00:39,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,1.87,0.79,2025-10-14 04:00:44,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,1.87,0.79,2025-10-14 04:00:49,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,0.94,0.39,2025-10-14 04:04:29,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,0.94,0.39,2025-10-14 04:04:34,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,0.94,0.39,2025-10-14 04:04:39,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,1.87,0.79,2025-10-14 04:05:13,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,1.87,0.79,2025-10-14 04:05:19,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,1.87,0.79,2025-10-14 04:05:25,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,0.94,0.39,2025-10-14 04:07:27,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,1.87,0.79,2025-10-14 04:14:43,42.71,42.95,-0.55,False,True,False,False,10.5,2
AIPI,1.87,0.79,2025-10-14 04:15:29,42.71,42.95,-0.55,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-14 04:20:41,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,1.87,0.79,2025-10-14 04:23:21,42.71,42.95,-0.55,False,True,False,False,10.5,2
AIPI,1.87,0.79,2025-10-14 04:23:53,42.71,42.95,-0.55,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-14 04:25:38,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,0.94,0.39,2025-10-14 04:25:48,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,0.94,0.39,2025-10-14 04:28:42,42.71,42.95,-0.55,False,True,False,False,7.0,2
AIPI,0.93,0.39,2025-10-14 09:29:31,42.89,42.95,-0.14,False,True,False,False,10.5,2
AIPI,0.93,0.39,2025-10-14 09:29:58,42.81,42.95,-0.33,False,True,False,False,10.5,2
AIPI,0.93,0.39,2025-10-14 09:30:53,42.8,42.95,-0.36,False,True,False,False,10.5,2
AIPI,0.93,0.39,2025-10-14 09:31:09,42.8,42.95,-0.36,False,True,False,False,10.5,2
AIPI,0.93,0.39,2025-10-14 09:31:32,42.8,42.95,-0.36,False,True,False,False,10.5,2
AIPI,0.93,0.39,2025-10-14 09:31:40,42.8,42.95,-0.36,False,True,False,False,10.5,2
AIPI,0.93,0.39,2025-10-14 09:31:57,42.8,42.95,-0.36,False,True,False,False,10.5,2
AIPI,0.93,0.39,2025-10-14 09:32:11,42.8,42.95,-0.36,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-14 09:32:24,42.7,42.95,-0.58,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-14 09:32:36,42.7,42.95,-0.58,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-14 09:32:46,42.78,42.95,-0.4,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-14 09:33:06,42.78,42.95,-0.4,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-14 09:33:12,42.78,42.95,-0.4,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-14 09:33:19,42.78,42.95,-0.4,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-14 09:33:27,42.78,42.95,-0.4,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-14 09:33:35,42.78,42.95,-0.4,False,True,False,False,10.5,2
AIPI,0.94,0.39,2025-10-14 09:33:43,42.78,42.95,-0.4,False,True,False,False,10.5,2
