asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
AMAT,0.42,0.55,2025-08-15 02:30:53,188.24,162.25,16.02,True,False,False,False,7.0,2
AMAT,0.42,0.55,2025-08-15 02:38:02,188.24,162.25,16.02,True,False,False,False,7.0,2
AMAT,0.5,0.55,2025-08-15 04:06:54,161.4,162.25,-0.52,False,True,False,False,7.0,2
AMAT,0.49,0.55,2025-08-15 04:36:54,161.72,162.25,-0.33,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-08-15 11:29:14,163.76,162.25,0.93,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-08-15 11:58:30,163.65,162.25,0.86,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-08-15 12:13:29,163.02,162.25,0.48,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-08-15 12:32:43,162.03,162.25,-0.13,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-08-15 12:33:16,162.09,162.25,-0.1,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-08-15 13:35:02,162.25,162.25,0.0,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-08-20 03:58:54,162.22,162.25,-0.02,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-20 04:00:12,161.51,162.25,-0.46,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-20 04:00:30,161.51,162.25,-0.46,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-20 04:00:38,161.51,162.25,-0.46,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-20 04:00:48,161.51,162.25,-0.46,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-20 04:01:44,161.51,162.25,-0.46,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-20 04:02:20,161.51,162.25,-0.46,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-20 04:02:40,161.6,162.25,-0.4,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-20 04:06:17,161.47,162.25,-0.48,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-20 04:10:01,161.47,162.25,-0.48,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-20 04:11:54,161.34,162.25,-0.56,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-21 12:47:54,159.41,162.25,-1.75,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-21 12:48:57,159.27,162.25,-1.84,False,True,False,False,10.5,2
AMAT,0.5,0.01,2025-08-21 13:10:48,159.65,162.25,-1.6,False,True,False,False,10.5,2
AMAT,0.5,0.01,2025-08-21 13:11:49,159.52,162.25,-1.68,False,True,False,False,10.5,2
AMAT,0.5,0.01,2025-08-21 13:12:52,159.57,162.25,-1.65,False,True,False,False,10.5,2
AMAT,0.5,0.01,2025-08-21 13:28:14,159.46,162.25,-1.72,False,True,False,False,10.5,2
AMAT,0.5,0.01,2025-08-21 13:32:46,159.62,162.25,-1.62,False,True,False,False,10.5,2
AMAT,0.5,0.01,2025-08-21 13:35:04,159.74,162.25,-1.55,False,True,False,False,10.5,2
AMAT,0.5,0.01,2025-08-25 16:18:32,161.0,162.25,-0.77,False,True,False,False,10.5,2
AMAT,0.5,0.01,2025-08-25 16:20:39,161.0,162.25,-0.77,False,True,False,False,10.5,2
AMAT,0.49,0.01,2025-08-25 16:47:24,161.99,162.25,-0.16,False,True,False,False,10.5,2
AMAT,0.49,0.01,2025-08-26 18:47:51,164.51,162.25,1.39,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-08-26 18:53:22,164.51,162.25,1.39,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-08-26 23:50:53,164.51,162.25,1.39,False,True,False,False,7.0,2
AMAT,0.48,0.01,2025-08-28 15:20:47,165.68,162.25,2.11,False,True,False,False,7.0,2
AMAT,0.48,0.01,2025-08-28 17:07:49,165.15,162.25,1.79,False,True,False,False,7.0,2
AMAT,0.48,0.01,2025-08-28 17:18:45,165.15,162.25,1.79,False,True,False,False,7.0,2
AMAT,0.48,0.01,2025-08-28 19:02:01,165.26,162.25,1.86,False,True,False,False,7.0,2
AMAT,0.48,0.01,2025-08-28 19:03:13,165.26,162.25,1.86,False,True,False,False,7.0,2
AMAT,0.5,0.01,2025-08-29 19:18:40,160.8,162.25,-0.89,False,True,False,False,7.0,2
AMAT,0.51,0.01,2025-09-04 13:44:36,158.33,162.25,-2.42,False,True,False,False,7.0,2
AMAT,0.51,0.01,2025-09-04 13:46:09,158.28,162.25,-2.45,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-09-08 01:15:12,162.75,162.25,0.31,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-09-08 01:16:41,162.75,162.25,0.31,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-09-08 01:21:01,162.75,162.25,0.31,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-09-08 01:33:51,162.75,162.25,0.31,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-09-08 01:36:01,162.75,162.25,0.31,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-09-08 22:32:20,162.05,162.25,-0.12,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-09-08 22:34:53,162.05,162.25,-0.12,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-09-08 22:37:47,162.05,162.25,-0.12,False,True,False,False,7.0,2
AMAT,0.49,0.01,2025-09-08 22:47:17,162.05,162.25,-0.12,False,True,False,False,7.0,2
