asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
AMDD,5.36,1.0,2025-09-20 21:52:37,14.93,14.72,1.44,False,True,False,True,13.125,2
AMDD,5.36,1.0,2025-09-20 21:53:55,14.93,14.72,1.44,False,True,False,True,13.125,2
AMDD,5.36,1.0,2025-09-20 22:08:23,14.93,14.72,1.44,False,True,False,True,13.125,2
AMDD,5.36,1.0,2025-09-20 22:10:08,14.93,14.72,1.44,False,True,False,True,13.125,2
AMDD,5.36,1.0,2025-09-20 22:12:57,14.93,14.72,1.44,False,True,False,True,13.125,2
AMDD,5.36,1.0,2025-09-20 22:14:12,14.93,14.72,1.44,False,True,False,True,13.125,2
AMDD,8.67,50.0,2025-10-09 01:09:05,9.23,10.6,-12.92,False,False,True,True,11.375,2
AMDD,8.67,50.0,2025-10-09 01:16:15,9.23,10.6,-12.92,False,False,True,True,11.375,2
AMDD,8.67,50.0,2025-10-09 01:20:42,9.23,10.6,-12.92,False,False,True,True,11.375,2
AMDD,8.67,50.0,2025-10-09 01:26:03,9.23,10.6,-12.92,False,False,True,True,11.375,2
AMDD,8.67,50.0,2025-10-09 01:26:09,9.23,10.6,-12.92,False,False,True,True,11.375,2
AMDD,8.67,50.0,2025-10-09 01:26:12,9.23,10.6,-12.92,False,False,True,True,11.375,2
AMDD,8.67,50.0,2025-10-09 01:26:16,9.23,10.6,-12.92,False,False,True,True,11.375,2
AMDD,8.67,50.0,2025-10-09 01:26:19,9.23,10.6,-12.92,False,False,True,True,11.375,2
AMDD,8.67,50.0,2025-10-09 01:26:22,9.23,10.6,-12.92,False,False,True,True,11.375,2
AMDD,8.57,50.0,2025-10-09 12:49:05,9.34,10.6,-11.89,False,False,True,True,11.375,2
AMDD,8.52,50.0,2025-10-09 13:03:41,9.39,10.6,-11.43,False,True,False,True,17.0625,2
AMDD,8.53,50.0,2025-10-09 13:03:56,9.38,10.6,-11.51,False,True,False,True,17.0625,2
AMDD,8.53,50.0,2025-10-09 13:04:46,9.38,10.6,-11.56,False,True,False,True,17.0625,2
AMDD,8.55,50.0,2025-10-09 13:12:41,9.36,10.6,-11.72,False,True,False,True,17.0625,2
AMDD,8.51,50.0,2025-10-09 13:18:48,9.4,10.6,-11.32,False,True,False,True,17.0625,2
AMDD,8.49,50.0,2025-10-09 13:35:27,9.42,10.6,-11.13,False,True,False,True,17.0625,2
AMDD,8.49,50.0,2025-10-09 13:35:33,9.42,10.6,-11.12,False,True,False,True,17.0625,2
AMDD,8.49,50.0,2025-10-09 13:35:37,9.42,10.6,-11.12,False,True,False,True,17.0625,2
AMDD,8.49,50.0,2025-10-09 13:35:41,9.42,10.6,-11.12,False,True,False,True,17.0625,2
AMDD,8.51,50.0,2025-10-09 13:39:24,9.4,10.6,-11.32,False,True,False,True,17.0625,2
AMDD,8.47,50.0,2025-10-09 13:43:07,9.44,10.6,-10.94,False,True,False,True,17.0625,2
AMDD,8.49,50.0,2025-10-09 13:45:06,9.43,10.6,-11.08,False,True,False,True,17.0625,2
AMDD,8.5,50.0,2025-10-09 13:47:36,9.41,10.6,-11.24,False,True,False,True,17.0625,2
AMDD,8.51,50.0,2025-10-09 13:47:41,9.4,10.6,-11.32,False,True,False,True,17.0625,2
AMDD,8.51,50.0,2025-10-09 13:47:46,9.4,10.6,-11.32,False,True,False,True,17.0625,2
AMDD,8.51,50.0,2025-10-09 13:47:52,9.4,10.6,-11.32,False,True,False,True,17.0625,2
AMDD,8.51,50.0,2025-10-09 13:51:08,9.4,10.6,-11.34,False,True,False,True,11.375,2
AMDD,8.51,50.0,2025-10-09 13:51:14,9.4,10.6,-11.34,False,True,False,True,11.375,2
AMDD,8.52,50.0,2025-10-09 13:51:19,9.39,10.6,-11.42,False,True,False,True,17.0625,2
AMDD,8.52,50.0,2025-10-09 13:51:24,9.38,10.6,-11.46,False,True,False,True,17.0625,2
AMDD,8.53,50.0,2025-10-09 13:58:24,9.38,10.6,-11.51,False,True,False,True,17.0625,2
AMDD,8.53,50.0,2025-10-09 13:58:30,9.38,10.6,-11.51,False,True,False,True,17.0625,2
AMDD,8.53,50.0,2025-10-09 13:58:35,9.38,10.6,-11.51,False,True,False,True,17.0625,2
AMDD,8.53,50.0,2025-10-09 13:58:41,9.38,10.6,-11.51,False,True,False,True,17.0625,2
AMDD,8.6,50.0,2025-10-09 16:05:54,9.3,10.6,-12.27,False,False,True,True,11.375,2
AMDD,8.6,50.0,2025-10-09 16:07:47,9.3,10.6,-12.27,False,False,True,True,11.375,2
AMDD,8.6,50.0,2025-10-09 16:07:50,9.3,10.6,-12.27,False,False,True,True,11.375,2
AMDD,8.6,50.0,2025-10-09 16:07:54,9.3,10.6,-12.27,False,False,True,True,11.375,2
AMDD,8.6,50.0,2025-10-09 16:09:32,9.3,10.6,-12.26,False,False,True,True,11.375,2
AMDD,8.6,50.0,2025-10-09 16:09:34,9.3,10.6,-12.26,False,False,True,True,11.375,2
AMDD,8.6,50.0,2025-10-09 16:09:39,9.3,10.6,-12.26,False,False,True,True,11.375,2
AMDD,8.64,50.0,2025-10-09 19:58:44,9.26,10.6,-12.64,False,False,True,True,11.375,2
AMDD,8.59,50.0,2025-10-09 23:30:34,9.31,10.6,-12.17,False,False,True,True,11.375,2
AMDD,8.59,50.0,2025-10-10 03:07:06,9.31,10.6,-12.17,False,False,True,True,11.375,2
AMDD,8.59,50.0,2025-10-10 03:07:11,9.31,10.6,-12.17,False,False,True,True,11.375,2
AMDD,8.59,50.0,2025-10-10 03:07:15,9.31,10.6,-12.17,False,False,True,True,11.375,2
AMDD,8.59,50.0,2025-10-10 03:07:19,9.31,10.6,-12.17,False,False,True,True,11.375,2
AMDD,8.59,50.0,2025-10-10 03:08:38,9.31,10.6,-12.17,False,False,True,True,11.375,2
AMDD,8.59,50.0,2025-10-10 03:08:43,9.31,10.6,-12.17,False,False,True,True,11.375,2
AMDD,8.59,50.0,2025-10-10 03:08:48,9.31,10.6,-12.17,False,False,True,True,11.375,2
AMDD,8.59,50.0,2025-10-10 03:08:53,9.31,10.6,-12.17,False,False,True,True,11.375,2
AMDD,8.13,50.0,2025-10-10 12:36:40,9.84,10.6,-7.17,False,True,False,True,17.0625,2
AMDD,8.13,50.0,2025-10-10 12:37:10,9.84,10.6,-7.17,False,True,False,True,17.0625,2
AMDD,8.13,50.0,2025-10-10 12:41:52,9.85,10.6,-7.11,False,True,False,True,17.0625,2
AMDD,8.13,50.0,2025-10-10 12:41:55,9.85,10.6,-7.11,False,True,False,True,17.0625,2
AMDD,8.13,50.0,2025-10-10 12:42:00,9.85,10.6,-7.11,False,True,False,True,17.0625,2
AMDD,8.13,50.0,2025-10-10 12:42:06,9.85,10.6,-7.11,False,True,False,True,17.0625,2
AMDD,8.13,50.0,2025-10-10 12:42:12,9.85,10.6,-7.11,False,True,False,True,17.0625,2
AMDD,8.09,50.0,2025-10-10 12:57:51,9.89,10.6,-6.7,False,True,False,True,17.0625,2
AMDD,8.09,50.0,2025-10-10 12:57:59,9.89,10.6,-6.7,False,True,False,True,17.0625,2
AMDD,8.09,50.0,2025-10-10 12:58:06,9.89,10.6,-6.7,False,True,False,True,17.0625,2
AMDD,8.08,50.0,2025-10-10 12:58:13,9.89,10.6,-6.65,False,True,False,True,17.0625,2
AMDD,8.13,50.0,2025-10-10 13:58:39,9.84,10.6,-7.22,False,True,False,True,17.0625,2
AMDD,8.13,50.0,2025-10-10 13:58:44,9.84,10.6,-7.22,False,True,False,True,17.0625,2
AMDD,8.13,50.0,2025-10-10 13:58:50,9.84,10.6,-7.22,False,True,False,True,17.0625,2
AMDD,8.13,50.0,2025-10-10 13:58:57,9.84,10.6,-7.22,False,True,False,True,17.0625,2
AMDD,7.98,50.0,2025-10-10 16:13:06,10.03,10.6,-5.38,False,True,False,True,17.0625,2
AMDD,7.98,50.0,2025-10-10 16:13:11,10.03,10.6,-5.38,False,True,False,True,17.0625,2
AMDD,7.98,50.0,2025-10-10 16:13:15,10.02,10.6,-5.47,False,True,False,True,17.0625,2
AMDD,7.98,50.0,2025-10-10 16:13:20,10.02,10.6,-5.47,False,True,False,True,17.0625,2
AMDD,8.02,50.0,2025-10-14 03:34:15,9.97,10.6,-5.94,False,True,False,True,11.375,2
AMDD,8.02,50.0,2025-10-14 03:34:20,9.97,10.6,-5.94,False,True,False,True,11.375,2
AMDD,8.02,50.0,2025-10-14 03:34:25,9.97,10.6,-5.94,False,True,False,True,11.375,2
AMDD,8.02,50.0,2025-10-14 03:34:28,9.97,10.6,-5.94,False,True,False,True,11.375,2
AMDD,8.02,50.0,2025-10-14 03:40:00,9.97,10.6,-5.94,False,True,False,True,11.375,2
AMDD,8.02,50.0,2025-10-14 03:40:03,9.97,10.6,-5.94,False,True,False,True,11.375,2
AMDD,8.02,50.0,2025-10-14 03:40:06,9.97,10.6,-5.94,False,True,False,True,11.375,2
AMDD,8.02,50.0,2025-10-14 03:42:24,9.97,10.6,-5.94,False,True,False,True,11.375,2
AMDD,8.02,50.0,2025-10-14 03:42:29,9.97,10.6,-5.94,False,True,False,True,11.375,2
AMDD,8.02,50.0,2025-10-14 03:42:34,9.97,10.6,-5.94,False,True,False,True,11.375,2
AMDD,7.86,50.0,2025-10-14 04:00:39,10.18,10.6,-3.96,False,True,False,True,11.375,2
AMDD,7.86,50.0,2025-10-14 04:00:44,10.18,10.6,-3.96,False,True,False,True,11.375,2
AMDD,7.86,50.0,2025-10-14 04:00:49,10.18,10.6,-3.96,False,True,False,True,11.375,2
AMDD,7.76,50.0,2025-10-14 04:05:13,10.31,10.6,-2.74,False,True,False,True,11.375,2
AMDD,7.77,50.0,2025-10-14 04:05:19,10.29,10.6,-2.92,False,True,False,True,11.375,2
AMDD,7.77,50.0,2025-10-14 04:05:25,10.29,10.6,-2.92,False,True,False,True,11.375,2
AMDD,7.83,50.0,2025-10-14 04:14:43,10.22,10.6,-3.58,False,True,False,True,17.0625,2
AMDD,7.83,50.0,2025-10-14 04:15:29,10.22,10.6,-3.58,False,True,False,True,17.0625,2
AMDD,7.8,50.0,2025-10-14 04:23:21,10.25,10.6,-3.3,False,True,False,True,17.0625,2
AMDD,7.8,50.0,2025-10-14 04:23:53,10.25,10.6,-3.3,False,True,False,True,17.0625,2
AMDD,8.04,50.0,2025-10-14 09:43:46,9.95,10.6,-6.18,False,True,False,True,17.0625,2
AMDD,8.05,50.0,2025-10-14 09:43:50,9.94,10.6,-6.23,False,True,False,True,17.0625,2
AMDD,8.06,50.0,2025-10-14 09:43:54,9.93,10.6,-6.32,False,True,False,True,17.0625,2
AMDD,8.07,50.0,2025-10-14 10:15:41,9.91,10.6,-6.46,False,True,False,True,11.375,2
AMDD,8.08,50.0,2025-10-14 10:21:24,9.9,10.6,-6.6,False,True,False,True,11.375,2
AMDD,8.17,50.0,2025-10-14 10:26:31,9.79,10.6,-7.64,False,True,False,True,11.375,2
AMDD,8.17,50.0,2025-10-14 10:26:35,9.79,10.6,-7.64,False,True,False,True,11.375,2
AMDD,8.21,50.0,2025-10-14 10:29:30,9.75,10.6,-8.02,False,True,False,True,11.375,2
AMDD,8.19,50.0,2025-10-14 10:30:17,9.77,10.6,-7.84,False,True,False,True,11.375,2
