asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
AMGN,0.27,0.01,2025-10-09 12:49:05,296.46,292.81,1.24,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-09 13:03:41,295.44,292.81,0.9,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:03:56,295.44,292.81,0.9,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:04:46,295.32,292.81,0.86,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:12:41,295.81,292.81,1.02,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:18:48,295.79,292.81,1.02,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:35:27,295.82,292.81,1.03,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:35:33,295.82,292.81,1.03,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:35:37,295.82,292.81,1.03,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:35:41,295.82,292.81,1.03,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:39:24,295.69,292.81,0.98,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:43:07,295.2,292.81,0.81,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:45:06,295.25,292.81,0.83,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:47:36,295.43,292.81,0.89,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:47:41,295.43,292.81,0.89,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:47:46,295.41,292.81,0.89,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:47:52,295.41,292.81,0.89,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:51:08,295.23,292.81,0.82,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-09 13:51:14,295.23,292.81,0.82,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-09 13:51:19,295.23,292.81,0.82,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:51:24,295.23,292.81,0.82,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:58:24,295.04,292.81,0.76,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:58:30,295.04,292.81,0.76,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:58:35,295.06,292.81,0.77,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 13:58:41,295.06,292.81,0.77,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-09 16:05:54,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-09 16:07:47,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-09 16:07:50,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-09 16:07:54,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-09 16:09:32,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-09 16:09:34,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-09 16:09:39,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-09 19:58:44,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-09 23:30:34,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-10 03:07:06,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-10 03:07:11,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-10 03:07:15,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-10 03:07:19,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-10 03:08:38,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-10 03:08:43,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-10 03:08:48,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-10 03:08:53,295.43,292.81,0.89,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-10 12:36:40,293.61,292.81,0.27,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 12:37:10,293.71,292.81,0.31,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 12:41:52,293.89,292.81,0.37,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 12:41:55,293.89,292.81,0.37,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 12:42:00,293.74,292.81,0.32,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 12:42:06,293.74,292.81,0.32,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 12:42:12,293.74,292.81,0.32,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 12:57:51,293.52,292.81,0.24,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 12:57:59,293.52,292.81,0.24,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 12:58:06,293.52,292.81,0.24,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 12:58:13,293.52,292.81,0.24,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 13:58:39,292.12,292.81,-0.24,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 13:58:44,292.12,292.81,-0.24,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 13:58:50,292.12,292.81,-0.24,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-10 13:58:57,292.12,292.81,-0.24,False,True,False,False,10.5,2
AMGN,0.28,0.01,2025-10-10 16:13:06,290.13,292.81,-0.92,False,True,False,False,10.5,2
AMGN,0.28,0.01,2025-10-10 16:13:11,290.13,292.81,-0.92,False,True,False,False,10.5,2
AMGN,0.28,0.01,2025-10-10 16:13:15,290.13,292.81,-0.92,False,True,False,False,10.5,2
AMGN,0.28,0.01,2025-10-10 16:13:20,290.13,292.81,-0.92,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-14 03:34:15,292.4,292.81,-0.14,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 03:34:20,292.4,292.81,-0.14,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 03:34:25,292.4,292.81,-0.14,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 03:34:28,292.4,292.81,-0.14,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 03:40:00,292.4,292.81,-0.14,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 03:40:03,292.4,292.81,-0.14,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 03:40:06,292.4,292.81,-0.14,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 03:42:24,292.4,292.81,-0.14,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 03:42:29,292.4,292.81,-0.14,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 03:42:34,292.4,292.81,-0.14,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 04:00:39,295.13,292.81,0.79,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 04:00:44,295.13,292.81,0.79,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 04:00:49,295.13,292.81,0.79,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 04:05:13,295.13,292.81,0.79,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 04:05:19,295.13,292.81,0.79,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 04:05:25,295.13,292.81,0.79,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 04:14:43,295.13,292.81,0.79,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-14 04:15:29,295.13,292.81,0.79,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-14 04:23:21,295.13,292.81,0.79,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-14 04:23:53,295.13,292.81,0.79,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-14 09:43:46,292.4,292.81,-0.14,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-14 09:43:50,292.45,292.81,-0.12,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-14 09:43:54,292.45,292.81,-0.12,False,True,False,False,10.5,2
AMGN,0.27,0.01,2025-10-14 10:15:41,293.35,292.81,0.18,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 10:21:24,293.93,292.81,0.38,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 10:26:31,294.02,292.81,0.41,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 10:26:35,294.04,292.81,0.42,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 10:29:30,293.81,292.81,0.34,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 10:30:17,293.92,292.81,0.38,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 10:30:21,293.82,292.81,0.34,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 10:32:05,294.05,292.81,0.42,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 10:32:27,294.05,292.81,0.42,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 11:26:16,295.59,292.81,0.95,False,True,False,False,7.0,2
AMGN,0.27,0.01,2025-10-14 11:26:18,295.59,292.81,0.95,False,True,False,False,7.0,2
