asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
APLY,2.91,1.0,2025-10-07 15:08:13,13.75,13.71,0.27,False,True,False,True,7.0,2
APLY,2.9,1.0,2025-10-07 16:22:36,13.78,13.71,0.51,False,True,False,True,7.0,2
APLY,2.9,1.0,2025-10-07 16:24:22,13.78,13.71,0.51,False,True,False,True,7.0,2
APLY,2.9,1.0,2025-10-07 16:53:11,13.78,13.71,0.51,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:20:53,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:24:14,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:24:18,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:24:21,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:24:25,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:24:28,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:24:31,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:25:07,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:25:13,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:25:17,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:25:20,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:25:23,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,2.89,1.0,2025-10-09 01:25:26,13.84,13.71,0.95,False,True,False,True,7.0,2
APLY,5.86,2.0,2025-10-09 12:49:05,13.65,13.76,-0.8,False,True,False,True,7.0,2
APLY,5.86,2.0,2025-10-09 13:03:41,13.65,13.76,-0.8,False,True,False,True,10.5,2
APLY,5.86,2.0,2025-10-09 13:03:56,13.65,13.76,-0.8,False,True,False,True,10.5,2
APLY,5.86,2.0,2025-10-09 13:04:46,13.65,13.76,-0.8,False,True,False,True,10.5,2
APLY,2.93,1.0,2025-10-09 13:05:30,13.64,13.71,-0.53,False,True,False,True,10.5,2
APLY,2.93,1.0,2025-10-09 13:09:28,13.65,13.71,-0.44,False,True,False,True,10.5,2
APLY,5.86,2.0,2025-10-09 13:12:41,13.65,13.76,-0.8,False,True,False,True,10.5,2
APLY,5.86,2.0,2025-10-09 13:18:48,13.65,13.76,-0.8,False,True,False,True,10.5,2
APLY,2.93,1.0,2025-10-09 13:29:48,13.63,13.71,-0.58,False,True,False,True,10.5,2
APLY,2.93,1.0,2025-10-09 13:32:00,13.63,13.71,-0.58,False,True,False,True,10.5,2
APLY,2.93,1.0,2025-10-09 13:32:04,13.63,13.71,-0.58,False,True,False,True,10.5,2
APLY,2.93,1.0,2025-10-09 13:32:09,13.63,13.71,-0.58,False,True,False,True,10.5,2
APLY,2.93,1.0,2025-10-09 13:32:13,13.63,13.71,-0.58,False,True,False,True,10.5,2
APLY,2.93,1.0,2025-10-09 13:32:47,13.63,13.71,-0.58,False,True,False,True,10.5,2
APLY,2.93,1.0,2025-10-09 13:32:52,13.63,13.71,-0.58,False,True,False,True,10.5,2
APLY,2.93,1.0,2025-10-09 13:32:57,13.63,13.71,-0.58,False,True,False,True,10.5,2
APLY,2.93,1.0,2025-10-09 13:33:02,13.63,13.71,-0.58,False,True,False,True,10.5,2
APLY,2.94,1.0,2025-10-09 13:34:42,13.62,13.71,-0.66,False,True,False,True,10.5,2
APLY,2.94,1.0,2025-10-09 13:34:49,13.62,13.71,-0.66,False,True,False,True,10.5,2
APLY,2.94,1.0,2025-10-09 13:34:54,13.62,13.71,-0.66,False,True,False,True,10.5,2
