asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
ARM,0.6,0.01,2025-08-12 19:55:01,142.61,141.97,0.45,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-12 20:07:18,142.5,141.97,0.37,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-12 20:11:27,142.5,141.97,0.37,False,True,False,False,7.0,2
ARM,0.57,0.01,2025-08-15 02:30:53,140.55,141.97,-1.0,False,True,False,False,7.0,2
ARM,0.57,0.01,2025-08-15 02:38:02,140.55,141.97,-1.0,False,True,False,False,7.0,2
ARM,0.57,0.01,2025-08-15 04:06:54,140.55,141.97,-1.0,False,True,False,False,7.0,2
ARM,0.57,0.01,2025-08-15 04:36:54,141.25,141.97,-0.51,False,True,False,False,7.0,2
ARM,0.57,0.01,2025-08-15 11:29:14,139.44,141.97,-1.78,False,True,False,False,7.0,2
ARM,0.58,0.01,2025-08-15 11:58:30,139.01,141.97,-2.08,False,True,False,False,7.0,2
ARM,0.57,0.01,2025-08-15 12:13:29,139.17,141.97,-1.97,False,True,False,False,7.0,2
ARM,0.58,0.01,2025-08-15 12:32:43,138.13,141.97,-2.7,False,True,False,False,7.0,2
ARM,0.58,0.01,2025-08-15 12:33:16,138.13,141.97,-2.7,False,True,False,False,7.0,2
ARM,0.58,0.01,2025-08-15 13:35:02,138.68,141.97,-2.32,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-20 03:58:54,134.01,141.97,-5.61,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-20 04:00:12,133.37,141.97,-6.06,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-20 04:00:30,133.37,141.97,-6.06,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-20 04:00:38,133.37,141.97,-6.06,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-20 04:00:48,133.37,141.97,-6.06,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-20 04:01:44,133.37,141.97,-6.06,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-20 04:02:20,133.44,141.97,-6.01,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-20 04:02:40,133.44,141.97,-6.01,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-20 04:06:17,133.44,141.97,-6.01,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-20 04:10:01,133.44,141.97,-6.01,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-08-20 04:11:54,133.44,141.97,-6.01,False,True,False,False,7.0,2
ARM,0.61,0.01,2025-08-21 12:47:54,132.23,141.97,-6.86,False,True,False,False,7.0,2
ARM,0.61,0.01,2025-08-21 12:48:57,132.14,141.97,-6.92,False,True,False,False,10.5,2
ARM,0.61,0.01,2025-08-21 13:10:48,131.81,141.97,-7.16,False,True,False,False,10.5,2
ARM,0.61,0.01,2025-08-21 13:11:49,131.57,141.97,-7.32,False,True,False,False,10.5,2
ARM,0.61,0.01,2025-08-21 13:12:52,131.78,141.97,-7.17,False,True,False,False,10.5,2
ARM,0.61,0.01,2025-08-21 13:28:14,131.81,141.97,-7.16,False,True,False,False,10.5,2
ARM,0.61,0.01,2025-08-21 13:32:46,132.02,141.97,-7.01,False,True,False,False,10.5,2
ARM,0.61,0.01,2025-08-21 13:35:04,132.04,141.97,-6.99,False,True,False,False,10.5,2
ARM,0.58,0.01,2025-08-25 16:18:32,137.78,141.97,-2.95,False,True,False,False,10.5,2
ARM,0.58,0.01,2025-08-25 16:20:39,137.78,141.97,-2.95,False,True,False,False,10.5,2
ARM,0.58,0.01,2025-08-25 16:47:24,137.48,141.97,-3.16,False,True,False,False,10.5,2
ARM,0.57,0.01,2025-08-26 18:47:51,140.45,141.97,-1.07,False,True,False,False,7.0,2
ARM,0.57,0.01,2025-08-26 18:53:22,140.71,141.97,-0.88,False,True,False,False,7.0,2
ARM,0.57,0.01,2025-08-26 23:50:53,140.26,141.97,-1.2,False,True,False,False,7.0,2
ARM,0.56,0.01,2025-08-28 15:20:47,142.68,141.97,0.5,False,True,False,False,7.0,2
ARM,0.56,0.01,2025-08-28 17:07:49,142.45,141.97,0.34,False,True,False,False,7.0,2
ARM,0.56,0.01,2025-08-28 17:18:45,142.45,141.97,0.34,False,True,False,False,7.0,2
ARM,0.56,0.01,2025-08-28 19:02:01,141.96,141.97,-0.01,False,True,False,False,7.0,2
ARM,0.56,0.01,2025-08-28 19:03:13,141.96,141.97,-0.01,False,True,False,False,7.0,2
ARM,0.58,0.01,2025-08-29 19:18:40,138.35,141.97,-2.55,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-09-04 13:44:36,134.2,141.97,-5.47,False,True,False,False,7.0,2
ARM,0.6,0.01,2025-09-04 13:46:09,134.1,141.97,-5.54,False,True,False,False,7.0,2
ARM,0.58,0.01,2025-09-08 01:15:12,138.17,141.97,-2.68,False,True,False,False,7.0,2
ARM,0.58,0.01,2025-09-08 01:16:41,138.17,141.97,-2.68,False,True,False,False,7.0,2
ARM,0.58,0.01,2025-09-08 01:21:01,138.17,141.97,-2.68,False,True,False,False,7.0,2
ARM,0.58,0.01,2025-09-08 01:33:51,138.17,141.97,-2.68,False,True,False,False,7.0,2
ARM,0.58,0.01,2025-09-08 01:36:01,138.17,141.97,-2.68,False,True,False,False,7.0,2
ARM,0.57,0.01,2025-09-08 22:32:20,139.14,141.97,-1.99,False,True,False,False,7.0,2
ARM,0.57,0.01,2025-09-08 22:34:53,139.14,141.97,-1.99,False,True,False,False,7.0,2
ARM,0.57,0.01,2025-09-08 22:37:47,139.14,141.97,-1.99,False,True,False,False,7.0,2
ARM,0.57,0.01,2025-09-08 22:47:17,139.14,141.97,-1.99,False,True,False,False,7.0,2
ARM,0.52,0.01,2025-09-11 22:51:54,154.7,141.97,8.97,True,False,False,False,7.0,2
ARM,0.53,0.22,2025-09-12 19:52:12,150.35,154.48,-2.68,False,True,False,False,7.0,2
ARM,0.54,0.22,2025-09-18 10:11:43,147.64,154.48,-4.43,False,True,False,False,7.0,2
ARM,0.56,0.22,2025-09-20 21:52:37,142.91,154.48,-7.49,False,False,True,False,7.0,2
ARM,0.56,0.22,2025-09-20 21:53:55,142.91,154.48,-7.49,False,False,True,False,7.0,2
ARM,0.56,0.22,2025-09-20 22:08:23,142.91,154.48,-7.49,False,False,True,False,7.0,2
ARM,0.56,0.22,2025-09-20 22:10:08,142.91,154.48,-7.49,False,False,True,False,7.0,2
ARM,0.56,0.22,2025-09-20 22:12:57,142.91,154.48,-7.49,False,False,True,False,7.0,2
ARM,0.56,0.22,2025-09-20 22:14:12,142.91,154.48,-7.49,False,False,True,False,7.0,2
ARM,0.53,0.22,2025-10-01 17:13:14,149.55,154.48,-3.19,False,True,False,False,7.0,2
ARM,0.53,0.22,2025-10-01 17:13:31,149.55,154.48,-3.19,False,True,False,False,7.0,2
ARM,0.53,0.22,2025-10-01 17:13:52,149.55,154.48,-3.19,False,True,False,False,7.0,2
ARM,0.53,0.22,2025-10-01 17:14:30,149.55,154.48,-3.19,False,True,False,False,7.0,2
ARM,0.53,0.22,2025-10-01 17:14:50,150.0,154.48,-2.9,False,True,False,False,7.0,2
ARM,0.53,0.22,2025-10-01 17:15:08,150.0,154.48,-2.9,False,True,False,False,7.0,2
ARM,0.53,0.22,2025-10-01 17:22:27,150.0,154.48,-2.9,False,True,False,False,7.0,2
ARM,0.53,0.22,2025-10-01 17:22:51,150.0,154.48,-2.9,False,True,False,False,7.0,2
ARM,0.53,0.22,2025-10-01 17:23:02,150.0,154.48,-2.9,False,True,False,False,7.0,2
ARM,0.53,0.22,2025-10-02 16:28:28,151.81,154.48,-1.73,False,True,False,False,7.0,2
ARM,0.53,0.22,2025-10-02 16:32:22,151.85,154.48,-1.71,False,True,False,False,7.0,2
ARM,0.52,0.22,2025-10-03 16:40:19,153.0,154.48,-0.96,False,True,False,False,7.0,2
ARM,0.52,0.22,2025-10-03 16:46:23,153.0,154.48,-0.96,False,True,False,False,7.0,2
ARM,0.52,0.22,2025-10-03 16:49:31,152.8,154.48,-1.09,False,True,False,False,7.0,2
ARM,0.52,0.22,2025-10-04 01:18:58,152.64,154.48,-1.19,False,True,False,False,7.0,2
ARM,0.52,0.22,2025-10-05 04:15:34,152.64,154.48,-1.19,False,True,False,False,7.0,2
ARM,0.52,0.22,2025-10-05 04:27:18,152.64,154.48,-1.19,False,True,False,False,7.0,2
ARM,0.52,0.22,2025-10-05 04:28:08,152.64,154.48,-1.19,False,True,False,False,7.0,2
ARM,0.52,0.22,2025-10-05 04:44:06,152.64,154.48,-1.19,False,True,False,False,7.0,2
ARM,0.52,0.22,2025-10-05 04:49:20,152.64,154.48,-1.19,False,True,False,False,7.0,2
