asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
ARMG,7.83,18.0,2025-08-04 02:07:31,10.85,11.5,-5.65,False,True,False,True,7.0,2
ARMG,7.83,18.0,2025-08-04 02:12:47,10.85,11.5,-5.65,False,True,False,True,7.0,2
ARMG,7.83,18.0,2025-08-04 02:19:20,10.85,11.5,-5.65,False,True,False,True,7.0,2
ARMG,7.83,18.0,2025-08-04 02:21:22,10.85,11.5,-5.65,False,True,False,True,7.0,2
ARMG,7.56,18.0,2025-08-05 00:06:27,11.24,11.5,-2.26,False,True,False,True,7.0,2
ARMG,7.56,18.0,2025-08-05 00:12:53,11.24,11.5,-2.26,False,True,False,True,7.0,2
ARMG,7.56,18.0,2025-08-05 00:15:56,11.24,11.5,-2.26,False,True,False,True,7.0,2
ARMG,7.56,18.0,2025-08-05 00:18:26,11.24,11.5,-2.26,False,True,False,True,7.0,2
ARMG,7.56,18.0,2025-08-05 00:20:13,11.24,11.5,-2.26,False,True,False,True,7.0,2
ARMG,7.56,18.0,2025-08-05 00:21:15,11.24,11.5,-2.26,False,True,False,True,7.0,2
ARMG,7.56,18.0,2025-08-05 00:27:58,11.24,11.5,-2.26,False,True,False,True,7.0,2
ARMG,7.56,18.0,2025-08-05 00:34:23,11.24,11.5,-2.26,False,True,False,True,7.0,2
ARMG,7.56,18.0,2025-08-05 00:37:39,11.24,11.5,-2.26,False,True,False,True,7.0,2
ARMG,7.56,18.0,2025-08-05 00:46:08,11.24,11.5,-2.26,False,True,False,True,7.0,2
ARMG,7.56,18.0,2025-08-05 00:57:59,11.24,11.5,-2.26,False,True,False,True,7.0,2
ARMG,7.85,18.0,2025-08-06 00:53:09,10.83,11.5,-5.83,False,True,False,True,7.0,2
ARMG,7.78,18.0,2025-08-10 23:25:38,10.93,11.5,-4.96,False,True,False,True,7.0,2
ARMG,7.78,18.0,2025-08-10 23:26:05,10.93,11.5,-4.96,False,True,False,True,7.0,2
ARMG,7.78,18.0,2025-08-10 23:27:43,10.93,11.5,-4.96,False,True,False,True,7.0,2
ARMG,7.78,18.0,2025-08-10 23:29:18,10.93,11.5,-4.96,False,True,False,True,7.0,2
ARMG,7.78,18.0,2025-08-10 23:30:26,10.93,11.5,-4.96,False,True,False,True,7.0,2
ARMG,6.02,31.0,2025-09-11 22:51:54,13.28,13.7,-3.08,False,True,False,True,10.5,2
ARMG,6.37,31.0,2025-09-12 19:52:12,12.55,13.7,-8.41,False,True,False,True,10.5,2
ARMG,6.67,108.0,2025-09-18 10:11:43,12.0,11.93,0.63,False,True,False,True,10.5,2
ARMG,7.1,108.0,2025-09-20 21:52:37,11.26,11.93,-5.57,False,True,False,True,10.5,2
ARMG,7.1,108.0,2025-09-20 21:53:55,11.26,11.93,-5.57,False,True,False,True,10.5,2
ARMG,7.1,108.0,2025-09-20 22:08:23,11.26,11.93,-5.57,False,True,False,True,10.5,2
ARMG,7.1,108.0,2025-09-20 22:10:08,11.26,11.93,-5.57,False,True,False,True,10.5,2
ARMG,7.1,108.0,2025-09-20 22:12:57,11.26,11.93,-5.57,False,True,False,True,10.5,2
ARMG,7.1,108.0,2025-09-20 22:14:12,11.26,11.93,-5.57,False,True,False,True,10.5,2
