asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
ASML,0.11,0.01,2025-08-25 16:18:32,754.46,754.5,-0.01,False,True,False,False,10.5,2
ASML,0.11,0.01,2025-08-25 16:20:39,754.46,754.5,-0.01,False,True,False,False,10.5,2
ASML,0.11,0.01,2025-08-25 16:47:24,754.12,754.5,-0.05,False,True,False,False,10.5,2
ASML,0.11,0.01,2025-08-26 18:47:51,760.0,754.5,0.73,False,True,False,False,7.0,2
ASML,0.11,0.01,2025-08-26 18:53:22,760.0,754.5,0.73,False,True,False,False,7.0,2
ASML,0.1,0.01,2025-08-26 23:50:53,763.2,754.5,1.15,False,True,False,False,7.0,2
ASML,0.1,0.01,2025-08-28 15:20:47,764.13,754.5,1.28,False,True,False,False,7.0,2
ASML,0.1,0.01,2025-08-28 17:07:49,763.46,754.5,1.19,False,True,False,False,7.0,2
ASML,0.1,0.01,2025-08-28 17:18:45,763.46,754.5,1.19,False,True,False,False,7.0,2
ASML,0.1,0.01,2025-08-28 19:02:01,763.0,754.5,1.13,False,True,False,False,7.0,2
ASML,0.1,0.01,2025-08-28 19:03:13,763.0,754.5,1.13,False,True,False,False,7.0,2
ASML,0.11,0.01,2025-08-29 19:18:40,743.44,754.5,-1.47,False,True,False,False,7.0,2
ASML,0.11,0.01,2025-09-04 13:44:36,751.05,754.5,-0.46,False,True,False,False,7.0,2
ASML,0.11,0.01,2025-09-04 13:46:09,750.75,754.5,-0.5,False,True,False,False,7.0,2
ASML,0.1,0.04,2025-09-08 01:15:12,781.7,765.83,2.07,False,True,False,False,7.0,2
ASML,0.1,0.04,2025-09-08 01:16:41,781.7,765.83,2.07,False,True,False,False,7.0,2
ASML,0.1,0.04,2025-09-08 01:21:01,781.7,765.83,2.07,False,True,False,False,7.0,2
ASML,0.1,0.04,2025-09-08 01:33:51,781.7,765.83,2.07,False,True,False,False,7.0,2
ASML,0.1,0.04,2025-09-08 01:36:01,781.7,765.83,2.07,False,True,False,False,7.0,2
ASML,0.1,0.04,2025-09-08 22:32:20,796.25,783.27,1.66,False,True,False,False,7.0,2
ASML,0.1,0.04,2025-09-08 22:34:53,796.25,783.27,1.66,False,True,False,False,7.0,2
ASML,0.1,0.04,2025-09-08 22:37:47,796.25,783.27,1.66,False,True,False,False,7.0,2
ASML,0.1,0.04,2025-09-08 22:47:17,796.25,783.27,1.66,False,True,False,False,7.0,2
ASML,0.1,0.04,2025-09-11 22:51:54,804.16,784.22,2.54,True,False,False,False,7.0,2
ASML,0.1,0.04,2025-09-12 19:52:12,813.86,784.22,3.78,True,False,False,False,7.0,2
ASML,0.09,0.04,2025-09-18 10:11:43,931.5,908.12,2.57,True,False,False,False,7.0,2
ASML,0.09,0.04,2025-09-20 21:52:37,932.15,927.76,0.47,False,True,False,False,7.0,2
ASML,0.09,0.04,2025-09-20 21:53:55,932.15,927.76,0.47,False,True,False,False,7.0,2
ASML,0.09,0.04,2025-09-20 22:08:23,932.15,927.76,0.47,False,True,False,False,7.0,2
ASML,0.09,0.04,2025-09-20 22:10:08,932.15,927.76,0.47,False,True,False,False,7.0,2
ASML,0.09,0.04,2025-09-20 22:12:57,932.15,927.76,0.47,False,True,False,False,7.0,2
ASML,0.09,0.04,2025-09-20 22:14:12,932.15,927.76,0.47,False,True,False,False,7.0,2
ASML,0.08,0.04,2025-10-01 17:13:14,1002.46,927.76,8.05,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-01 17:13:31,1002.46,927.76,8.05,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-01 17:13:52,1002.46,927.76,8.05,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-01 17:14:30,1002.46,927.76,8.05,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-01 17:14:50,1002.46,927.76,8.05,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-01 17:15:08,1002.46,927.76,8.05,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-01 17:22:27,1002.46,927.76,8.05,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-01 17:22:51,1002.46,927.76,8.05,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-01 17:23:02,1002.46,927.76,8.05,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-02 16:28:28,1029.44,927.76,10.96,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-02 16:32:22,1029.44,927.76,10.96,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-03 16:40:19,1030.0,927.76,11.02,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-03 16:46:23,1029.95,927.76,11.01,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-03 16:49:31,1029.95,927.76,11.01,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-04 01:18:58,1032.22,927.76,11.26,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-05 04:15:34,1032.22,927.76,11.26,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-05 04:27:18,1032.22,927.76,11.26,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-05 04:28:08,1032.22,927.76,11.26,True,False,False,False,7.0,2
ASML,0.08,0.04,2025-10-05 04:44:06,1032.22,927.76,11.26,True,False,False,False,7.0,2
