asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
C,0.83,0.02,2025-10-09 12:49:05,96.24,96.23,0.01,False,True,False,False,7.0,2
C,0.83,0.02,2025-10-09 13:03:41,95.96,96.23,-0.28,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:03:56,95.98,96.23,-0.26,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:04:46,95.99,96.23,-0.25,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:12:41,96.02,96.23,-0.22,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:18:48,96.04,96.23,-0.2,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:35:27,96.15,96.23,-0.08,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:35:33,96.15,96.23,-0.08,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:35:37,96.14,96.23,-0.09,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:35:41,96.16,96.23,-0.08,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:39:24,96.19,96.23,-0.05,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:43:07,96.12,96.23,-0.12,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:45:06,96.17,96.23,-0.07,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:47:36,96.16,96.23,-0.08,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:47:41,96.17,96.23,-0.07,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:47:46,96.17,96.23,-0.07,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:47:52,96.17,96.23,-0.07,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:51:08,96.18,96.23,-0.06,False,True,False,False,7.0,2
C,0.83,0.02,2025-10-09 13:51:14,96.19,96.23,-0.05,False,True,False,False,7.0,2
C,0.83,0.02,2025-10-09 13:51:19,96.17,96.23,-0.07,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:51:24,96.15,96.23,-0.09,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:58:24,96.14,96.23,-0.09,False,True,False,False,10.5,2
C,0.83,0.02,2025-10-09 13:58:30,96.14,96.23,-0.09,False,True,False,False,10.5,2
