asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
COF,0.38,0.01,2025-10-09 12:49:05,211.18,210.91,0.13,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-09 13:03:41,210.55,210.91,-0.17,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:03:56,210.57,210.91,-0.16,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:04:46,210.68,210.91,-0.11,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:12:41,210.68,210.91,-0.11,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:18:48,210.74,210.91,-0.08,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:35:27,210.99,210.91,0.04,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:35:33,210.99,210.91,0.04,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:35:37,210.99,210.91,0.04,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:35:41,210.99,210.91,0.04,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:39:24,211.05,210.91,0.07,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:43:07,211.08,210.91,0.08,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:45:06,211.01,210.91,0.05,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:47:36,210.98,210.91,0.03,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:47:41,210.98,210.91,0.03,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:47:46,210.98,210.91,0.03,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:47:52,210.98,210.91,0.03,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:51:08,211.04,210.91,0.06,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-09 13:51:14,211.04,210.91,0.06,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-09 13:51:19,211.04,210.91,0.06,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:51:24,211.04,210.91,0.06,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:58:24,210.94,210.91,0.01,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:58:30,210.94,210.91,0.01,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:58:35,210.96,210.91,0.02,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 13:58:41,210.96,210.91,0.02,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-09 16:05:54,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-09 16:07:47,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-09 16:07:50,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-09 16:07:54,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-09 16:09:32,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-09 16:09:34,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-09 16:09:39,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-09 19:58:44,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-09 23:30:34,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-10 03:07:06,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-10 03:07:11,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-10 03:07:15,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-10 03:07:19,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-10 03:08:38,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-10 03:08:43,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-10 03:08:48,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-10 03:08:53,210.74,210.91,-0.08,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-10 12:36:40,206.76,210.91,-1.97,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 12:37:10,206.75,210.91,-1.97,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 12:41:52,206.63,210.91,-2.03,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 12:41:55,206.63,210.91,-2.03,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 12:42:00,206.62,210.91,-2.03,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 12:42:06,206.62,210.91,-2.03,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 12:42:12,206.62,210.91,-2.03,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 12:57:51,205.49,210.91,-2.57,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 12:57:59,205.55,210.91,-2.54,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 12:58:06,205.66,210.91,-2.49,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 12:58:13,205.66,210.91,-2.49,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 13:58:39,204.49,210.91,-3.04,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 13:58:44,204.49,210.91,-3.04,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 13:58:50,204.52,210.91,-3.03,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-10 13:58:57,204.58,210.91,-3.0,False,True,False,False,10.5,2
COF,0.4,0.01,2025-10-10 16:13:06,202.49,210.91,-3.99,False,True,False,False,10.5,2
COF,0.4,0.01,2025-10-10 16:13:11,202.49,210.91,-3.99,False,True,False,False,10.5,2
COF,0.4,0.01,2025-10-10 16:13:15,202.49,210.91,-3.99,False,True,False,False,10.5,2
COF,0.4,0.01,2025-10-10 16:13:20,202.49,210.91,-3.99,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-14 03:34:15,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 03:34:20,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 03:34:25,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 03:34:28,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 03:40:00,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 03:40:03,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 03:40:06,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 03:42:24,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 03:42:29,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 03:42:34,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 04:00:39,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 04:00:44,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 04:00:49,207.61,210.91,-1.56,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 04:05:13,207.0,210.91,-1.85,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 04:05:19,207.0,210.91,-1.85,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 04:05:25,207.0,210.91,-1.85,False,True,False,False,7.0,2
COF,0.39,0.01,2025-10-14 04:14:43,207.0,210.91,-1.85,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-14 04:15:29,207.0,210.91,-1.85,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-14 04:23:21,207.0,210.91,-1.85,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-14 04:23:53,207.0,210.91,-1.85,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-14 09:43:46,207.68,210.91,-1.53,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-14 09:43:50,207.51,210.91,-1.61,False,True,False,False,10.5,2
COF,0.39,0.01,2025-10-14 09:43:54,207.51,210.91,-1.61,False,True,False,False,10.5,2
COF,0.38,0.01,2025-10-14 10:15:41,210.52,210.91,-0.18,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 10:21:24,211.58,210.91,0.32,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 10:26:31,210.98,210.91,0.03,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 10:26:35,210.87,210.91,-0.02,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 10:29:30,211.16,210.91,0.12,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 10:30:17,210.79,210.91,-0.05,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 10:30:21,210.78,210.91,-0.06,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 10:32:05,211.04,210.91,0.06,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 10:32:27,210.94,210.91,0.02,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 11:26:16,211.68,210.91,0.36,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 11:26:18,211.68,210.91,0.36,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 11:29:20,211.6,210.91,0.33,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 11:33:33,212.22,210.91,0.62,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 11:35:28,212.28,210.91,0.65,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 11:36:39,212.58,210.91,0.79,False,True,False,False,7.0,2
COF,0.38,0.01,2025-10-14 11:38:15,212.52,210.91,0.76,False,True,False,False,7.0,2
COF,0.37,0.01,2025-10-14 12:01:19,213.98,210.91,1.46,False,True,False,False,7.0,2
COF,0.37,0.01,2025-10-14 12:02:29,213.91,210.91,1.42,False,True,False,False,7.0,2
COF,0.37,0.01,2025-10-14 17:29:56,214.25,210.91,1.58,False,True,False,False,7.0,2
COF,0.37,0.16,2025-10-15 10:35:01,217.03,215.8,0.57,False,True,False,False,7.0,2
COF,0.37,0.16,2025-10-15 11:53:51,215.96,215.8,0.07,False,True,False,False,7.0,2
COF,0.37,0.16,2025-10-15 12:06:14,216.04,215.8,0.11,False,True,False,False,7.0,2
COF,0.37,0.16,2025-10-15 12:10:15,216.28,215.8,0.22,False,True,False,False,7.0,2
COF,0.37,0.16,2025-10-15 12:12:51,216.25,215.8,0.21,False,True,False,False,7.0,2
COF,0.37,0.16,2025-10-15 12:14:10,216.25,215.8,0.21,False,True,False,False,7.0,2
COF,0.37,0.16,2025-10-15 12:14:41,216.3,215.8,0.23,False,True,False,False,7.0,2
