asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
COIW,2.11,1.0,2025-09-08 22:32:20,37.93,37.36,1.53,False,True,False,True,7.0,2
COIW,2.11,1.0,2025-09-08 22:34:53,37.93,37.36,1.53,False,True,False,True,7.0,2
COIW,2.11,1.0,2025-09-08 22:37:47,37.93,37.36,1.53,False,True,False,True,7.0,2
COIW,2.11,1.0,2025-09-08 22:47:17,37.93,37.36,1.53,False,True,False,True,7.0,2
COIW,0.89,1.0,2025-10-07 15:08:13,45.08,46.83,-3.74,False,True,False,True,7.0,2
COIW,0.89,1.0,2025-10-07 16:22:36,44.78,46.83,-4.38,False,True,False,True,7.0,2
COIW,0.89,1.0,2025-10-07 16:24:22,44.78,46.83,-4.38,False,True,False,True,7.0,2
COIW,0.89,1.0,2025-10-07 16:53:11,44.78,46.83,-4.38,False,True,False,True,7.0,2
COIW,1.72,1.0,2025-10-09 01:09:05,46.42,45.96,1.0,False,True,False,True,7.0,2
COIW,1.72,1.0,2025-10-09 01:16:15,46.42,45.96,1.0,False,True,False,True,7.0,2
COIW,1.72,1.0,2025-10-09 01:20:42,46.42,45.96,1.0,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:20:53,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:24:14,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:24:18,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:24:21,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:24:25,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:24:28,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:24:31,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:25:07,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:25:13,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:25:17,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:25:20,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:25:23,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,0.86,1.0,2025-10-09 01:25:26,46.42,46.83,-0.88,False,True,False,True,7.0,2
COIW,1.72,1.0,2025-10-09 01:26:03,46.42,45.96,1.0,False,True,False,True,7.0,2
COIW,1.72,1.0,2025-10-09 01:26:09,46.42,45.96,1.0,False,True,False,True,7.0,2
COIW,1.72,1.0,2025-10-09 01:26:12,46.42,45.96,1.0,False,True,False,True,7.0,2
