asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
CONY,14,67.0,2025-07-14 00:02:24,9.82,9.74,0.82,False,True,False,True,3.5,2
CONY,14,67.0,2025-07-14 00:04:30,9.82,9.74,0.82,False,True,False,True,3.5,2
CONY,14,67.0,2025-07-14 00:04:59,9.82,9.74,0.82,False,True,False,True,3.5,2
CONY,14,67.0,2025-07-14 00:15:06,9.82,9.74,0.82,False,True,False,True,3.5,2
CONY,14,67.0,2025-07-14 00:17:27,9.82,9.74,0.82,False,True,False,True,3.5,2
CONY,14,67.0,2025-07-14 00:22:15,9.82,9.74,0.82,False,True,False,True,3.5,2
CONY,14,67.0,2025-07-14 00:23:09,9.82,9.74,0.82,False,True,False,True,3.5,2
CONY,14,67.0,2025-07-14 00:29:09,9.82,9.74,0.82,False,True,False,True,3.5,2
CONY,5,24.0,2025-07-14 01:17:30,9.82,9.74,0.82,False,True,False,True,3.5,2
CONY,5,24.0,2025-07-14 01:19:54,9.82,9.74,0.82,False,True,False,True,3.5,2
CONY,9,24.0,2025-07-15 12:35:03,9.98,9.86,1.27,True,False,False,True,3.5,2
CONY,9,24.0,2025-07-16 13:51:51,10.14,9.86,2.89,True,False,False,True,3.5,2
CONY,9,24.0,2025-07-16 14:31:24,10.19,9.86,3.33,True,False,False,True,3.5,2
CONY,9,24.0,2025-07-16 17:37:54,10.12,9.86,2.63,True,False,False,True,3.5,2
CONY,9,24.0,2025-07-16 18:11:12,10.11,9.86,2.53,True,False,False,True,3.5,2
CONY,13,66.0,2025-07-16 21:30:52,10.09,9.94,1.51,True,False,False,True,3.5,2
CONY,13,66.0,2025-07-16 21:33:50,10.09,9.94,1.51,True,False,False,True,3.5,2
CONY,13,66.0,2025-07-16 21:34:30,10.09,9.94,1.51,True,False,False,True,3.5,2
CONY,13,66.0,2025-07-16 21:40:52,10.09,9.94,1.51,True,False,False,True,3.5,2
CONY,10,24.0,2025-07-16 22:50:12,10.09,9.86,2.33,True,False,False,True,3.5,2
CONY,13,66.0,2025-07-16 23:01:00,10.09,9.94,1.51,True,False,False,True,3.5,2
CONY,12,66.0,2025-07-17 09:39:56,10.12,9.94,1.86,True,False,False,True,3.5,2
CONY,9,24.0,2025-07-17 10:09:26,10.27,9.86,4.16,True,False,False,True,3.5,2
