asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
CRCA,4.56,29.0,2025-09-20 21:52:37,17.56,16.93,3.72,False,True,False,True,10.5,2
CRCA,4.56,29.0,2025-09-20 21:53:55,17.56,16.93,3.72,False,True,False,True,10.5,2
CRCA,4.56,29.0,2025-09-20 22:08:23,17.56,16.93,3.72,False,True,False,True,10.5,2
CRCA,4.56,29.0,2025-09-20 22:10:08,17.56,16.93,3.72,False,True,False,True,10.5,2
CRCA,4.56,29.0,2025-09-20 22:12:57,17.56,16.93,3.72,False,True,False,True,10.5,2
CRCA,4.56,29.0,2025-09-20 22:14:12,17.56,16.93,3.72,False,True,False,True,10.5,2
CRCA,5.69,29.0,2025-10-01 17:13:14,14.07,16.93,-16.89,False,False,True,True,10.5,2
CRCA,5.67,29.0,2025-10-01 17:13:31,14.1,16.93,-16.72,False,False,True,True,10.5,2
CRCA,5.67,29.0,2025-10-01 17:13:52,14.1,16.93,-16.72,False,False,True,True,10.5,2
CRCA,5.67,29.0,2025-10-01 17:14:30,14.1,16.93,-16.72,False,False,True,True,10.5,2
CRCA,5.67,29.0,2025-10-01 17:14:50,14.1,16.93,-16.72,False,False,True,True,10.5,2
CRCA,5.67,29.0,2025-10-01 17:15:08,14.1,16.93,-16.72,False,False,True,True,10.5,2
CRCA,5.68,29.0,2025-10-01 17:22:27,14.08,16.93,-16.84,False,False,True,True,10.5,2
CRCA,5.68,29.0,2025-10-01 17:22:51,14.08,16.93,-16.84,False,False,True,True,10.5,2
CRCA,5.68,29.0,2025-10-01 17:23:02,14.08,16.93,-16.84,False,False,True,True,10.5,2
CRCA,5.42,2.0,2025-10-15 11:53:51,14.75,14.67,0.55,False,True,False,True,9.1,2
CRCA,5.39,2.0,2025-10-15 12:06:14,14.83,14.67,1.09,False,True,False,True,9.1,2
CRCA,5.42,2.0,2025-10-15 12:10:15,14.75,14.67,0.55,False,True,False,True,9.1,2
CRCA,5.41,2.0,2025-10-15 12:12:51,14.79,14.67,0.82,False,True,False,True,9.1,2
CRCA,5.37,2.0,2025-10-15 12:14:10,14.89,14.67,1.5,False,True,False,True,9.1,2
CRCA,5.37,2.0,2025-10-15 12:14:41,14.89,14.67,1.5,False,True,False,True,9.1,2
CRCA,5.37,2.0,2025-10-15 12:15:11,14.9,14.67,1.57,False,True,False,True,9.1,2
CRCA,5.36,2.0,2025-10-15 12:15:35,14.93,14.67,1.77,False,True,False,True,9.1,2
CRCA,5.42,2.0,2025-10-15 12:18:09,14.77,14.67,0.68,False,True,False,True,9.1,2
CRCA,5.44,2.0,2025-10-15 12:21:38,14.7,14.67,0.2,False,True,False,True,9.1,2
CRCA,5.57,2.0,2025-10-15 15:20:43,14.35,14.67,-2.18,False,True,False,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:07:11,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:07:13,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:08:19,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:08:21,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:08:50,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:09:16,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:09:18,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:09:22,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:10:03,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:10:05,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:10:09,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:11:07,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:11:10,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-19 21:11:14,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.35,2.0,2025-10-20 01:53:39,12.6,14.67,-14.11,False,False,True,True,9.1,2
CRCA,6.01,2.0,2025-10-20 04:05:18,13.32,14.67,-9.2,False,True,False,True,9.1,2
CRCA,5.96,2.0,2025-10-20 04:07:28,13.43,14.67,-8.45,False,True,False,True,9.1,2
CRCA,5.96,2.0,2025-10-20 04:08:24,13.43,14.67,-8.45,False,True,False,True,9.1,2
CRCA,5.98,2.0,2025-10-20 04:11:06,13.38,14.67,-8.79,False,True,False,True,9.1,2
CRCA,5.95,2.0,2025-10-21 00:31:20,13.44,14.67,-8.38,False,True,False,True,9.1,2
