asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
CRCL,0.62,0.01,2025-08-26 18:53:22,128.58,128.67,-0.07,False,True,False,False,7.0,2
CRCL,0.62,0.01,2025-08-26 23:50:53,129.05,128.67,0.29,False,True,False,False,7.0,2
CRCL,0.61,0.26,2025-08-28 15:20:47,130.64,131.21,-0.44,False,True,False,False,7.0,2
CRCL,0.61,0.26,2025-08-28 17:07:49,131.2,131.21,-0.01,False,True,False,False,7.0,2
CRCL,0.61,0.26,2025-08-28 17:18:45,131.19,131.21,-0.02,False,True,False,False,7.0,2
CRCL,0.61,0.26,2025-08-28 19:02:01,130.94,131.21,-0.21,False,True,False,False,7.0,2
CRCL,0.61,0.26,2025-08-28 19:03:13,130.94,131.21,-0.21,False,True,False,False,7.0,2
CRCL,0.61,0.26,2025-08-29 19:18:40,131.62,131.21,0.31,False,True,False,False,7.0,2
CRCL,0.69,0.01,2025-09-04 13:44:36,115.84,118.52,-2.25,False,True,False,False,7.0,2
CRCL,0.69,0.01,2025-09-04 13:46:09,115.9,118.52,-2.21,False,True,False,False,7.0,2
CRCL,0.7,0.01,2025-09-08 01:15:12,114.56,118.34,-3.19,False,True,False,False,7.0,2
CRCL,0.7,0.01,2025-09-08 01:16:41,114.56,118.34,-3.19,False,True,False,False,7.0,2
CRCL,0.7,0.01,2025-09-08 01:21:01,114.56,118.34,-3.19,False,True,False,False,7.0,2
CRCL,0.7,0.01,2025-09-08 01:33:51,114.56,118.34,-3.19,False,True,False,False,7.0,2
CRCL,0.7,0.01,2025-09-08 01:36:01,114.56,118.34,-3.19,False,True,False,False,7.0,2
CRCL,0.71,0.01,2025-09-08 22:32:20,112.46,118.34,-4.97,False,True,False,False,7.0,2
CRCL,0.71,0.01,2025-09-08 22:34:53,112.46,118.34,-4.97,False,True,False,False,7.0,2
CRCL,0.71,0.01,2025-09-08 22:37:47,112.46,118.34,-4.97,False,True,False,False,7.0,2
CRCL,0.71,0.01,2025-09-08 22:47:17,112.46,118.34,-4.97,False,True,False,False,7.0,2
CRCL,0.6,0.01,2025-09-11 22:51:54,133.7,118.34,12.98,True,False,False,False,7.0,2
CRCL,0.63,0.25,2025-09-12 19:52:12,126.93,133.84,-5.16,False,True,False,False,7.0,2
CRCL,0.57,0.25,2025-09-18 10:11:43,139.5,133.84,4.23,True,False,False,False,7.0,2
CRCL,0.56,0.24,2025-09-20 21:52:37,144.14,139.95,2.99,True,False,False,False,7.0,2
CRCL,0.56,0.24,2025-09-20 21:53:55,144.14,139.95,2.99,True,False,False,False,7.0,2
CRCL,0.56,0.24,2025-09-20 22:08:23,144.14,139.95,2.99,True,False,False,False,7.0,2
CRCL,0.56,0.24,2025-09-20 22:10:08,144.14,139.95,2.99,True,False,False,False,7.0,2
CRCL,0.56,0.24,2025-09-20 22:12:57,144.14,139.95,2.99,True,False,False,False,7.0,2
CRCL,0.56,0.24,2025-09-20 22:14:12,144.14,139.95,2.99,True,False,False,False,7.0,2
CRCL,0.62,0.24,2025-10-01 17:13:14,130.0,139.95,-7.11,False,True,False,False,7.0,2
CRCL,0.62,0.24,2025-10-01 17:13:31,130.0,139.95,-7.11,False,True,False,False,7.0,2
CRCL,0.62,0.24,2025-10-01 17:13:52,130.0,139.95,-7.11,False,True,False,False,7.0,2
CRCL,0.62,0.24,2025-10-01 17:14:30,130.0,139.95,-7.11,False,True,False,False,7.0,2
CRCL,0.62,0.24,2025-10-01 17:14:50,130.0,139.95,-7.11,False,True,False,False,7.0,2
CRCL,0.62,0.24,2025-10-01 17:15:08,130.0,139.95,-7.11,False,True,False,False,7.0,2
CRCL,0.62,0.24,2025-10-01 17:22:27,130.0,139.95,-7.11,False,True,False,False,7.0,2
CRCL,0.62,0.24,2025-10-01 17:22:51,130.0,139.95,-7.11,False,True,False,False,7.0,2
CRCL,0.62,0.24,2025-10-01 17:23:02,130.08,139.95,-7.06,False,True,False,False,7.0,2
CRCL,0.54,0.24,2025-10-02 16:28:28,149.0,139.95,6.46,True,False,False,False,7.0,2
CRCL,0.54,0.24,2025-10-02 16:32:22,148.87,139.95,6.37,True,False,False,False,7.0,2
CRCL,0.55,0.24,2025-10-03 16:40:19,145.21,139.95,3.76,True,False,False,False,7.0,2
CRCL,0.55,0.24,2025-10-03 16:46:23,145.12,139.95,3.69,True,False,False,False,7.0,2
CRCL,0.55,0.24,2025-10-03 16:49:31,145.14,139.95,3.71,True,False,False,False,7.0,2
CRCL,0.55,0.01,2025-10-04 01:18:58,145.78,139.95,4.16,True,False,False,False,7.0,2
CRCL,0.55,0.01,2025-10-05 04:15:34,145.78,140.19,3.99,True,False,False,False,7.0,2
CRCL,0.55,0.01,2025-10-05 04:27:18,145.78,140.19,3.99,True,False,False,False,7.0,2
CRCL,0.55,0.01,2025-10-05 04:28:08,145.78,140.19,3.99,True,False,False,False,7.0,2
CRCL,0.55,0.01,2025-10-05 04:44:06,145.78,140.19,3.99,True,False,False,False,7.0,2
CRCL,0.55,0.01,2025-10-05 04:49:20,145.78,140.19,3.99,True,False,False,False,7.0,2
CRCL,0.55,0.01,2025-10-05 04:49:59,145.78,140.19,3.99,True,False,False,False,7.0,2
CRCL,0.55,0.01,2025-10-05 04:52:19,145.78,140.19,3.99,True,False,False,False,7.0,2
CRCL,0.53,0.45,2025-10-09 01:09:05,150.46,150.41,0.03,False,True,False,False,7.0,2
CRCL,0.53,0.45,2025-10-09 01:16:15,150.46,150.41,0.03,False,True,False,False,7.0,2
CRCL,0.53,0.45,2025-10-09 01:20:42,150.46,150.41,0.03,False,True,False,False,7.0,2
CRCL,0.53,0.45,2025-10-09 01:26:03,150.46,150.41,0.03,False,True,False,False,7.0,2
CRCL,0.53,0.45,2025-10-09 01:26:09,150.46,150.41,0.03,False,True,False,False,7.0,2
CRCL,0.53,0.45,2025-10-09 01:26:12,150.46,150.41,0.03,False,True,False,False,7.0,2
CRCL,0.53,0.45,2025-10-09 01:26:16,150.46,150.41,0.03,False,True,False,False,7.0,2
CRCL,0.53,0.45,2025-10-09 01:26:19,150.46,150.41,0.03,False,True,False,False,7.0,2
CRCL,0.53,0.45,2025-10-09 01:26:22,150.46,150.41,0.03,False,True,False,False,7.0,2
CRCL,0.53,0.45,2025-10-09 12:49:05,149.96,150.41,-0.3,False,True,False,False,7.0,2
CRCL,0.54,0.45,2025-10-09 13:03:41,147.13,150.41,-2.18,False,True,False,False,10.5,2
CRCL,0.54,0.45,2025-10-09 13:03:56,147.02,150.41,-2.25,False,True,False,False,10.5,2
CRCL,0.54,0.45,2025-10-09 13:04:46,147.02,150.41,-2.25,False,True,False,False,10.5,2
CRCL,0.54,0.45,2025-10-09 13:12:41,147.13,150.41,-2.18,False,True,False,False,10.5,2
CRCL,0.55,0.45,2025-10-09 13:18:48,146.69,150.41,-2.47,False,True,False,False,10.5,2
CRCL,0.54,0.45,2025-10-09 13:35:27,146.88,150.41,-2.35,False,True,False,False,10.5,2
CRCL,0.55,0.45,2025-10-09 13:35:33,146.72,150.41,-2.45,False,True,False,False,10.5,2
