asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
CRM,0.33,0.01,2025-08-20 03:58:54,246.0,243.55,1.01,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-20 04:00:12,245.01,243.55,0.6,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-20 04:00:30,245.01,243.55,0.6,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-20 04:00:38,245.01,243.55,0.6,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-20 04:00:48,245.01,243.55,0.6,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-20 04:01:44,245.01,243.55,0.6,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-20 04:02:20,245.01,243.55,0.6,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-20 04:02:40,245.01,243.55,0.6,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-20 04:06:17,245.01,243.55,0.6,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-20 04:10:01,245.01,243.55,0.6,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-20 04:11:54,245.01,243.55,0.6,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-21 12:47:54,244.23,243.55,0.28,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-21 12:48:57,244.12,243.55,0.23,False,True,False,False,10.5,2
CRM,0.33,0.01,2025-08-21 13:10:48,244.89,243.55,0.55,False,True,False,False,10.5,2
CRM,0.33,0.01,2025-08-21 13:11:49,244.82,243.55,0.52,False,True,False,False,10.5,2
CRM,0.33,0.01,2025-08-21 13:12:52,244.75,243.55,0.49,False,True,False,False,10.5,2
CRM,0.33,0.01,2025-08-21 13:28:14,244.0,243.55,0.19,False,True,False,False,10.5,2
CRM,0.33,0.01,2025-08-21 13:32:46,244.24,243.55,0.28,False,True,False,False,10.5,2
CRM,0.33,0.01,2025-08-21 13:35:04,244.41,243.55,0.35,False,True,False,False,10.5,2
CRM,0.32,0.01,2025-08-25 16:18:32,248.0,243.55,1.83,False,True,False,False,10.5,2
CRM,0.32,0.01,2025-08-25 16:20:39,248.0,243.55,1.83,False,True,False,False,10.5,2
CRM,0.32,0.01,2025-08-25 16:47:24,247.87,243.55,1.77,False,True,False,False,10.5,2
CRM,0.33,0.01,2025-08-26 18:47:51,245.28,243.55,0.71,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-26 18:53:22,245.28,243.55,0.71,False,True,False,False,7.0,2
CRM,0.33,0.01,2025-08-26 23:50:53,243.74,243.55,0.08,False,True,False,False,7.0,2
CRM,0.31,0.01,2025-08-28 15:20:47,255.07,247.09,3.23,True,False,False,False,7.0,2
CRM,0.31,0.01,2025-08-28 17:07:49,255.1,247.09,3.24,True,False,False,False,7.0,2
CRM,0.31,0.01,2025-08-28 17:18:45,255.01,247.09,3.21,True,False,False,False,7.0,2
CRM,0.31,0.01,2025-08-28 19:02:01,255.17,247.09,3.27,True,False,False,False,7.0,2
CRM,0.31,0.01,2025-08-28 19:03:13,255.17,247.09,3.27,True,False,False,False,7.0,2
CRM,0.31,0.13,2025-08-29 19:18:40,256.25,253.71,1.0,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-09-04 13:44:36,242.86,253.71,-4.28,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-09-04 13:46:09,242.96,253.71,-4.24,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-08 01:15:12,250.76,253.71,-1.16,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-08 01:16:41,250.76,253.71,-1.16,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-08 01:21:01,250.76,253.71,-1.16,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-08 01:33:51,250.76,253.71,-1.16,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-08 01:36:01,250.76,253.71,-1.16,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-08 22:32:20,252.27,253.71,-0.57,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-08 22:34:53,252.27,253.71,-0.57,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-08 22:37:47,252.27,253.71,-0.57,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-08 22:47:17,252.27,253.71,-0.57,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-11 22:51:54,246.28,253.71,-2.93,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-09-12 19:52:12,242.95,253.71,-4.24,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-18 10:11:43,246.19,253.71,-2.97,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-20 21:52:37,247.09,253.71,-2.61,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-20 21:53:55,247.09,253.71,-2.61,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-20 22:08:23,247.09,253.71,-2.61,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-20 22:10:08,247.09,253.71,-2.61,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-20 22:12:57,247.09,253.71,-2.61,False,True,False,False,7.0,2
CRM,0.32,0.13,2025-09-20 22:14:12,247.09,253.71,-2.61,False,True,False,False,7.0,2
CRM,0.34,0.13,2025-10-01 17:13:14,235.69,253.71,-7.1,False,True,False,False,7.0,2
CRM,0.34,0.13,2025-10-01 17:13:31,235.69,253.71,-7.1,False,True,False,False,7.0,2
CRM,0.34,0.13,2025-10-01 17:13:52,235.69,253.71,-7.1,False,True,False,False,7.0,2
CRM,0.34,0.13,2025-10-01 17:14:30,235.69,253.71,-7.1,False,True,False,False,7.0,2
CRM,0.34,0.13,2025-10-01 17:14:50,235.69,253.71,-7.1,False,True,False,False,7.0,2
CRM,0.34,0.13,2025-10-01 17:15:08,235.69,253.71,-7.1,False,True,False,False,7.0,2
CRM,0.34,0.13,2025-10-01 17:22:27,235.5,253.71,-7.18,False,True,False,False,7.0,2
CRM,0.34,0.13,2025-10-01 17:22:51,235.5,253.71,-7.18,False,True,False,False,7.0,2
CRM,0.34,0.13,2025-10-01 17:23:02,235.5,253.71,-7.18,False,True,False,False,7.0,2
CRM,0.34,0.13,2025-10-02 16:28:28,238.06,253.71,-6.17,False,True,False,False,7.0,2
CRM,0.34,0.13,2025-10-02 16:32:22,238.06,253.71,-6.17,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-03 16:40:19,240.36,253.71,-5.26,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-03 16:46:23,240.36,253.71,-5.26,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-03 16:49:31,240.36,253.71,-5.26,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-04 01:18:58,240.36,253.71,-5.26,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-05 04:15:34,240.36,253.71,-5.26,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-05 04:27:18,240.36,253.71,-5.26,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-05 04:28:08,240.36,253.71,-5.26,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-05 04:44:06,240.36,253.71,-5.26,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-05 04:49:20,240.36,253.71,-5.26,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-05 04:49:59,240.36,253.71,-5.26,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-05 04:52:19,240.36,253.71,-5.26,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-09 01:09:05,240.43,253.71,-5.23,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-09 01:16:15,240.43,253.71,-5.23,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-09 01:20:42,240.43,253.71,-5.23,False,True,False,False,7.0,2
CRM,0.33,0.13,2025-10-09 01:26:03,240.43,253.71,-5.23,False,True,False,False,7.0,2
