asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
CRMG,6.36,100.0,2025-08-21 12:47:54,12.57,12.75,-1.38,False,True,False,True,7.0,2
CRMG,6.36,100.0,2025-08-21 12:48:57,12.57,12.75,-1.38,False,True,False,True,10.5,2
CRMG,6.34,100.0,2025-08-21 13:10:48,12.62,12.75,-1.05,False,True,False,True,10.5,2
CRMG,6.34,100.0,2025-08-21 13:11:49,12.62,12.75,-1.05,False,True,False,True,10.5,2
CRMG,6.34,100.0,2025-08-21 13:12:52,12.62,12.75,-1.05,False,True,False,True,10.5,2
CRMG,6.37,100.0,2025-08-21 13:28:14,12.55,12.75,-1.57,False,True,False,True,10.5,2
CRMG,6.37,100.0,2025-08-21 13:32:46,12.55,12.75,-1.57,False,True,False,True,10.5,2
CRMG,6.37,100.0,2025-08-21 13:35:04,12.55,12.75,-1.57,False,True,False,True,10.5,2
CRMG,6.19,1.0,2025-08-25 16:18:32,12.92,12.75,1.35,False,True,False,True,15.75,2
CRMG,6.19,1.0,2025-08-25 16:20:39,12.92,12.75,1.35,False,True,False,True,15.75,2
CRMG,6.21,1.0,2025-08-25 16:47:24,12.89,12.75,1.1,False,True,False,True,15.75,2
CRMG,6.3,1.0,2025-08-26 18:47:51,12.69,12.75,-0.47,False,True,False,True,10.5,2
CRMG,6.3,1.0,2025-08-26 18:53:22,12.69,12.75,-0.47,False,True,False,True,10.5,2
CRMG,6.37,1.0,2025-08-26 23:50:53,12.55,12.75,-1.56,False,True,False,True,10.5,2
CRMG,6.49,1.0,2025-09-04 13:46:09,12.33,12.35,-0.13,False,True,False,True,10.5,2
CRMG,6.3,200.0,2025-09-20 21:52:37,12.69,12.43,2.09,False,True,False,True,10.5,2
CRMG,6.3,200.0,2025-09-20 21:53:55,12.69,12.43,2.09,False,True,False,True,10.5,2
CRMG,6.3,200.0,2025-09-20 22:08:23,12.69,12.43,2.09,False,True,False,True,10.5,2
CRMG,6.3,200.0,2025-09-20 22:10:08,12.69,12.43,2.09,False,True,False,True,10.5,2
CRMG,6.3,200.0,2025-09-20 22:12:57,12.69,12.43,2.09,False,True,False,True,10.5,2
CRMG,6.3,200.0,2025-09-20 22:14:12,12.69,12.43,2.09,False,True,False,True,10.5,2
CRMG,6.97,200.0,2025-10-01 17:13:14,11.47,12.43,-7.72,False,True,False,True,10.5,2
CRMG,6.97,200.0,2025-10-01 17:13:31,11.47,12.43,-7.72,False,True,False,True,10.5,2
CRMG,6.97,200.0,2025-10-01 17:13:52,11.47,12.43,-7.72,False,True,False,True,10.5,2
CRMG,6.97,200.0,2025-10-01 17:14:30,11.47,12.43,-7.72,False,True,False,True,10.5,2
CRMG,6.97,200.0,2025-10-01 17:14:50,11.47,12.43,-7.72,False,True,False,True,10.5,2
CRMG,6.97,200.0,2025-10-01 17:15:08,11.47,12.43,-7.72,False,True,False,True,10.5,2
CRMG,6.9,200.0,2025-10-01 17:22:27,11.6,12.43,-6.7,False,True,False,True,10.5,2
CRMG,6.9,200.0,2025-10-01 17:22:51,11.6,12.43,-6.7,False,True,False,True,10.5,2
CRMG,6.9,200.0,2025-10-01 17:23:02,11.6,12.43,-6.7,False,True,False,True,10.5,2
CRMG,6.82,200.0,2025-10-02 16:28:28,11.73,12.43,-5.63,False,True,False,True,9.1,2
CRMG,6.77,200.0,2025-10-02 16:32:22,11.81,12.43,-4.99,False,True,False,True,9.1,2
CRMG,6.72,300.0,2025-10-03 16:40:19,11.9,12.21,-2.57,False,True,False,True,9.1,2
CRMG,6.72,300.0,2025-10-03 16:46:23,11.9,12.21,-2.57,False,True,False,True,9.1,2
CRMG,6.72,300.0,2025-10-03 16:49:31,11.9,12.21,-2.57,False,True,False,True,9.1,2
CRMG,6.71,300.0,2025-10-04 01:18:58,11.92,12.21,-2.4,False,True,False,True,9.1,2
CRMG,6.71,300.0,2025-10-05 04:15:34,11.92,12.21,-2.4,False,True,False,True,9.1,2
CRMG,6.71,300.0,2025-10-05 04:27:18,11.92,12.21,-2.4,False,True,False,True,9.1,2
CRMG,6.71,300.0,2025-10-05 04:28:08,11.92,12.21,-2.4,False,True,False,True,9.1,2
CRMG,6.71,300.0,2025-10-05 04:44:06,11.92,12.21,-2.4,False,True,False,True,9.1,2
CRMG,6.71,300.0,2025-10-05 04:49:20,11.92,12.21,-2.4,False,True,False,True,9.1,2
CRMG,6.71,300.0,2025-10-05 04:49:59,11.92,12.21,-2.4,False,True,False,True,9.1,2
CRMG,6.71,300.0,2025-10-05 04:52:19,11.92,12.21,-2.4,False,True,False,True,9.1,2
