asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
CVNA,0.23,0.01,2025-10-09 12:49:05,354.76,358.95,-1.17,False,True,False,False,7.0,2
CVNA,0.23,0.01,2025-10-09 13:03:41,352.48,358.95,-1.8,False,True,False,False,10.5,2
CVNA,0.23,0.01,2025-10-09 13:03:56,352.47,358.95,-1.81,False,True,False,False,10.5,2
CVNA,0.23,0.01,2025-10-09 13:04:46,352.46,358.95,-1.81,False,True,False,False,10.5,2
CVNA,0.23,0.01,2025-10-09 13:12:41,352.91,358.95,-1.68,False,True,False,False,10.5,2
CVNA,0.23,0.01,2025-10-09 13:18:48,353.7,358.95,-1.46,False,True,False,False,10.5,2
CVNA,0.23,0.01,2025-10-09 13:35:27,355.41,358.95,-0.99,False,True,False,False,10.5,2
CVNA,0.23,0.01,2025-10-09 13:35:33,355.41,358.95,-0.99,False,True,False,False,10.5,2
CVNA,0.23,0.01,2025-10-09 13:35:37,355.31,358.95,-1.02,False,True,False,False,10.5,2
CVNA,0.23,0.01,2025-10-09 13:35:41,355.31,358.95,-1.02,False,True,False,False,10.5,2
CVNA,0.22,0.01,2025-10-09 13:39:24,356.09,358.95,-0.8,False,True,False,False,10.5,2
CVNA,0.22,0.01,2025-10-09 13:43:07,355.75,358.95,-0.89,False,True,False,False,10.5,2
CVNA,0.22,0.01,2025-10-09 13:45:06,355.89,358.95,-0.85,False,True,False,False,10.5,2
CVNA,0.22,0.01,2025-10-09 13:47:36,357.07,358.95,-0.53,False,True,False,False,10.5,2
CVNA,0.22,0.01,2025-10-09 13:47:41,357.07,358.95,-0.53,False,True,False,False,10.5,2
CVNA,0.22,0.01,2025-10-09 13:47:46,357.07,358.95,-0.53,False,True,False,False,10.5,2
CVNA,0.22,0.01,2025-10-09 13:47:52,357.07,358.95,-0.53,False,True,False,False,10.5,2
CVNA,0.22,0.01,2025-10-09 13:51:08,357.03,358.95,-0.54,False,True,False,False,7.0,2
CVNA,0.22,0.01,2025-10-09 13:51:14,357.03,358.95,-0.54,False,True,False,False,7.0,2
CVNA,0.22,0.01,2025-10-09 13:51:19,357.03,358.95,-0.54,False,True,False,False,10.5,2
CVNA,0.22,0.01,2025-10-09 13:51:24,357.03,358.95,-0.54,False,True,False,False,10.5,2
CVNA,0.22,0.01,2025-10-09 13:58:24,356.01,358.95,-0.82,False,True,False,False,10.5,2
CVNA,0.22,0.01,2025-10-09 13:58:30,356.01,358.95,-0.82,False,True,False,False,10.5,2
