asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
CVS,1.32,0.02,2025-07-25 09:42:02,60.67,58.99,2.86,False,True,False,False,14.0,2
CVS,1.32,0.02,2025-07-25 09:50:52,60.55,58.99,2.65,False,True,False,False,14.0,2
CVS,1.32,0.17,2025-07-27 17:06:25,60.7,60.55,0.24,False,True,False,False,7.0,2
CVS,1.32,0.17,2025-07-27 17:07:06,60.7,60.55,0.24,False,True,False,False,7.0,2
CVS,1.32,0.17,2025-07-27 20:09:09,60.7,60.55,0.24,False,True,False,False,7.0,2
CVS,1.32,0.17,2025-07-27 20:09:14,60.7,60.55,0.24,False,True,False,False,7.0,2
CVS,1.42,0.17,2025-07-28 13:26:27,59.71,60.55,-1.39,False,True,False,False,14.0,2
CVS,1.42,0.17,2025-07-29 22:29:41,60.0,60.55,-0.91,False,True,False,False,7.0,2
CVS,1.42,0.17,2025-07-29 22:30:54,60.0,60.55,-0.91,False,True,False,False,7.0,2
CVS,1.42,0.17,2025-07-29 22:31:05,60.0,60.55,-0.91,False,True,False,False,7.0,2
CVS,1.42,0.17,2025-07-29 22:32:21,60.0,60.55,-0.91,False,True,False,False,7.0,2
CVS,1.42,0.17,2025-07-29 22:54:46,60.0,60.55,-0.91,False,True,False,False,7.0,2
CVS,1.42,0.17,2025-07-29 22:56:26,60.0,60.55,-0.91,False,True,False,False,7.0,2
CVS,1.42,0.17,2025-07-29 22:56:47,60.0,60.55,-0.91,False,True,False,False,7.0,2
CVS,1.42,0.17,2025-07-30 01:29:23,60.0,60.55,-0.91,False,True,False,False,7.0,2
CVS,1.42,0.17,2025-07-30 01:29:52,60.0,60.55,-0.91,False,True,False,False,7.0,2
CVS,1.36,0.01,2025-07-30 14:16:25,62.51,61.98,0.86,False,True,False,False,7.0,2
CVS,1.36,0.01,2025-07-30 14:17:30,62.53,61.98,0.9,False,True,False,False,7.0,2
CVS,1.36,0.01,2025-07-30 14:21:42,62.48,61.98,0.81,False,True,False,False,7.0,2
CVS,1.36,0.01,2025-07-30 16:27:09,62.56,61.98,0.94,False,True,False,False,7.0,2
CVS,1.36,0.01,2025-07-30 17:10:38,62.6,61.98,1.0,False,True,False,False,7.0,2
CVS,1.36,0.01,2025-07-30 23:10:20,62.3,61.98,0.52,False,True,False,False,7.0,2
CVS,1.36,1.17,2025-08-04 02:07:31,62.47,65.46,-4.57,False,True,False,True,7.0,2
CVS,1.36,1.17,2025-08-04 02:12:47,62.47,65.46,-4.57,False,True,False,True,7.0,2
CVS,1.36,1.17,2025-08-04 02:19:20,62.47,65.46,-4.57,False,True,False,True,7.0,2
CVS,1.36,1.17,2025-08-04 02:21:22,62.47,65.46,-4.57,False,True,False,True,7.0,2
CVS,1.38,1.17,2025-08-05 00:06:27,61.45,65.46,-6.13,False,True,False,True,7.0,2
CVS,1.38,1.17,2025-08-05 00:12:53,61.45,65.46,-6.13,False,True,False,True,7.0,2
CVS,1.38,1.17,2025-08-05 00:15:56,61.45,65.46,-6.13,False,True,False,True,7.0,2
CVS,1.38,1.17,2025-08-05 00:18:26,61.45,65.46,-6.13,False,True,False,True,7.0,2
CVS,1.38,1.17,2025-08-05 00:20:13,61.45,65.46,-6.13,False,True,False,True,7.0,2
CVS,1.38,1.17,2025-08-05 00:21:15,61.45,65.46,-6.13,False,True,False,True,7.0,2
CVS,1.38,1.17,2025-08-05 00:27:58,61.45,65.46,-6.13,False,True,False,True,7.0,2
CVS,1.38,1.17,2025-08-05 00:34:23,61.45,65.46,-6.13,False,True,False,True,7.0,2
CVS,1.38,1.17,2025-08-05 00:37:39,61.45,65.46,-6.13,False,True,False,True,7.0,2
CVS,1.38,1.17,2025-08-05 00:46:08,61.45,65.46,-6.13,False,True,False,True,7.0,2
CVS,1.38,1.17,2025-08-05 00:57:59,61.45,65.46,-6.13,False,True,False,True,7.0,2
CVS,1.34,1.17,2025-08-06 00:53:09,63.42,65.46,-3.12,False,True,False,True,7.0,2
CVS,1.3,1.17,2025-08-10 23:25:38,65.54,65.46,0.12,False,True,False,True,7.0,2
CVS,1.3,1.17,2025-08-10 23:26:05,65.54,65.46,0.12,False,True,False,True,7.0,2
CVS,1.3,1.17,2025-08-10 23:27:43,65.54,65.46,0.12,False,True,False,True,7.0,2
CVS,1.3,1.17,2025-08-10 23:29:18,65.54,65.46,0.12,False,True,False,True,7.0,2
CVS,1.3,1.17,2025-08-10 23:30:26,65.54,65.46,0.12,False,True,False,True,7.0,2
CVS,1.3,0.01,2025-08-12 19:55:01,65.32,65.49,-0.26,False,True,False,False,7.0,2
CVS,1.3,0.01,2025-08-12 20:07:18,65.32,65.49,-0.26,False,True,False,False,7.0,2
CVS,1.3,0.01,2025-08-12 20:11:27,65.32,65.49,-0.26,False,True,False,False,7.0,2
CVS,1.2,0.5,2025-08-15 02:30:53,66.73,67.68,-1.41,False,True,False,False,7.0,2
CVS,1.2,0.5,2025-08-15 02:38:02,66.73,67.68,-1.41,False,True,False,False,7.0,2
CVS,1.18,0.5,2025-08-15 04:06:54,67.98,67.68,0.44,False,True,False,False,7.0,2
CVS,1.18,0.5,2025-08-15 04:36:54,67.89,67.68,0.31,False,True,False,False,7.0,2
CVS,1.17,0.01,2025-08-15 11:29:14,68.41,67.68,1.08,False,True,False,False,7.0,2
CVS,1.17,0.01,2025-08-15 11:58:30,68.42,67.68,1.08,False,True,False,False,7.0,2
CVS,1.17,0.01,2025-08-15 12:13:29,68.53,67.68,1.25,False,True,False,False,7.0,2
CVS,1.17,0.01,2025-08-15 12:32:43,68.66,67.68,1.45,False,True,False,False,7.0,2
CVS,1.17,0.01,2025-08-15 12:33:16,68.64,67.68,1.42,False,True,False,False,7.0,2
CVS,1.16,0.01,2025-08-15 13:35:02,68.95,67.68,1.88,False,True,False,False,7.0,2
CVS,1.13,0.01,2025-08-20 03:58:54,70.97,69.9,1.53,False,True,False,False,7.0,2
CVS,1.13,0.01,2025-08-20 04:00:12,70.7,69.9,1.15,False,True,False,False,7.0,2
CVS,1.13,0.01,2025-08-20 04:00:30,70.7,69.9,1.15,False,True,False,False,7.0,2
CVS,1.13,0.01,2025-08-20 04:00:38,70.7,69.9,1.15,False,True,False,False,7.0,2
CVS,1.13,0.01,2025-08-20 04:00:48,70.7,69.9,1.15,False,True,False,False,7.0,2
CVS,1.13,0.01,2025-08-20 04:01:44,70.7,69.9,1.15,False,True,False,False,7.0,2
CVS,1.13,0.01,2025-08-20 04:02:20,70.7,69.9,1.15,False,True,False,False,7.0,2
CVS,1.13,0.01,2025-08-20 04:02:40,70.7,69.9,1.15,False,True,False,False,7.0,2
CVS,1.13,0.01,2025-08-20 04:06:17,70.7,69.9,1.15,False,True,False,False,7.0,2
CVS,1.13,0.01,2025-08-20 04:10:01,70.7,69.9,1.15,False,True,False,False,7.0,2
CVS,1.13,0.01,2025-08-20 04:11:54,70.7,69.9,1.15,False,True,False,False,7.0,2
CVS,1.12,0.01,2025-08-21 12:47:54,71.71,69.9,2.59,True,False,False,False,7.0,2
CVS,1.12,0.01,2025-08-21 12:48:57,71.69,69.9,2.56,False,True,False,False,10.5,2
CVS,1.12,0.01,2025-08-21 13:10:48,71.74,69.9,2.64,False,True,False,False,10.5,2
CVS,1.12,0.01,2025-08-21 13:11:49,71.72,69.9,2.61,False,True,False,False,10.5,2
CVS,1.11,0.01,2025-08-21 13:12:52,71.75,69.9,2.65,False,True,False,False,10.5,2
CVS,1.12,0.01,2025-08-21 13:28:14,71.64,69.9,2.5,False,True,False,False,10.5,2
CVS,1.12,0.01,2025-08-21 13:32:46,71.65,69.9,2.51,False,True,False,False,10.5,2
CVS,1.12,0.01,2025-08-21 13:35:04,71.61,69.9,2.45,False,True,False,False,10.5,2
CVS,1.12,0.47,2025-08-25 16:18:32,71.21,71.6,-0.55,False,True,False,False,10.5,2
CVS,1.12,0.47,2025-08-25 16:20:39,71.21,71.6,-0.55,False,True,False,False,10.5,2
CVS,1.12,0.47,2025-08-25 16:47:24,71.21,71.6,-0.55,False,True,False,False,10.5,2
CVS,1.12,0.47,2025-08-26 18:47:51,71.55,71.6,-0.07,False,True,False,False,7.0,2
CVS,1.12,0.47,2025-08-26 18:53:22,71.55,71.6,-0.07,False,True,False,False,7.0,2
CVS,1.12,0.47,2025-08-26 23:50:53,71.55,71.6,-0.07,False,True,False,False,7.0,2
CVS,1.11,0.47,2025-08-28 15:20:47,72.23,71.6,0.89,False,True,False,False,7.0,2
CVS,1.11,0.47,2025-08-28 17:07:49,72.14,71.6,0.75,False,True,False,False,7.0,2
CVS,1.11,0.47,2025-08-28 17:18:45,72.14,71.6,0.75,False,True,False,False,7.0,2
CVS,1.11,0.47,2025-08-28 19:02:01,72.14,71.6,0.75,False,True,False,False,7.0,2
CVS,1.11,0.47,2025-08-28 19:03:13,72.14,71.6,0.75,False,True,False,False,7.0,2
CVS,1.09,0.47,2025-08-29 19:18:40,73.15,71.6,2.16,False,True,False,False,7.0,2
CVS,1.09,0.47,2025-09-04 13:44:36,73.53,71.6,2.69,True,False,False,False,7.0,2
CVS,1.09,0.47,2025-09-04 13:46:09,73.46,71.6,2.6,True,False,False,False,7.0,2
CVS,1.08,0.47,2025-09-08 01:15:12,73.78,71.6,3.04,True,False,False,False,7.0,2
CVS,1.08,0.47,2025-09-08 01:16:41,73.78,71.6,3.04,True,False,False,False,7.0,2
CVS,1.08,0.47,2025-09-08 01:21:01,73.78,71.6,3.04,True,False,False,False,7.0,2
CVS,1.08,0.47,2025-09-08 01:33:51,73.78,71.6,3.04,True,False,False,False,7.0,2
CVS,1.08,0.47,2025-09-08 01:36:01,73.78,71.6,3.04,True,False,False,False,7.0,2
CVS,1.14,0.47,2025-09-08 22:32:20,70.26,71.6,-1.87,False,True,False,False,7.0,2
CVS,1.14,0.47,2025-09-08 22:34:53,70.26,71.6,-1.87,False,True,False,False,7.0,2
CVS,1.14,0.47,2025-09-08 22:37:47,70.26,71.6,-1.87,False,True,False,False,7.0,2
CVS,1.14,0.47,2025-09-08 22:47:17,70.26,71.6,-1.87,False,True,False,False,7.0,2
CVS,1.07,0.47,2025-09-11 22:51:54,74.67,71.6,4.29,True,False,False,False,7.0,2
