asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
DIS,0.71,0.01,2025-10-09 12:49:05,112.03,111.31,0.65,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-09 13:03:41,111.65,111.31,0.3,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:03:56,111.63,111.31,0.28,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:04:46,111.73,111.31,0.37,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:12:41,111.76,111.31,0.4,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:18:48,111.65,111.31,0.3,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:35:27,111.72,111.31,0.36,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:35:33,111.74,111.31,0.38,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:35:37,111.74,111.31,0.38,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:35:41,111.74,111.31,0.38,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:39:24,111.87,111.31,0.5,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:43:07,111.81,111.31,0.45,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:45:06,111.8,111.31,0.43,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:47:36,111.85,111.31,0.48,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:47:41,111.85,111.31,0.48,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:47:46,111.85,111.31,0.48,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:47:52,111.85,111.31,0.48,False,True,False,False,10.5,2
DIS,0.71,0.01,2025-10-09 13:51:08,111.91,111.31,0.54,False,True,False,False,7.0,2
DIS,0.71,0.01,2025-10-09 13:51:14,111.91,111.31,0.54,False,True,False,False,7.0,2
DIS,0.71,0.01,2025-10-09 13:51:19,111.9,111.31,0.53,False,True,False,False,10.5,2
DIS,0.71,0.01,2025-10-09 13:51:24,111.9,111.31,0.53,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:58:24,111.76,111.31,0.4,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:58:30,111.76,111.31,0.4,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:58:35,111.78,111.31,0.41,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 13:58:41,111.79,111.31,0.42,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-09 16:05:54,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-09 16:07:47,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-09 16:07:50,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-09 16:07:54,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-09 16:09:32,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-09 16:09:34,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-09 16:09:39,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-09 19:58:44,111.05,111.31,-0.24,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-09 23:30:34,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-10 03:07:06,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-10 03:07:11,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-10 03:07:15,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-10 03:07:19,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-10 03:08:38,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-10 03:08:43,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-10 03:08:48,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-10 03:08:53,110.99,111.31,-0.29,False,True,False,False,7.0,2
DIS,0.72,0.01,2025-10-10 12:36:40,111.11,111.31,-0.18,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 12:37:10,111.13,111.31,-0.17,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 12:41:52,111.15,111.31,-0.15,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 12:41:55,111.15,111.31,-0.15,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 12:42:00,111.13,111.31,-0.17,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 12:42:06,111.13,111.31,-0.17,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 12:42:12,111.18,111.31,-0.12,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 12:57:51,110.69,111.31,-0.56,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 12:57:59,110.66,111.31,-0.59,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 12:58:06,110.73,111.31,-0.52,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 12:58:13,110.7,111.31,-0.55,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 13:58:39,110.36,111.31,-0.86,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 13:58:44,110.38,111.31,-0.84,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 13:58:50,110.38,111.31,-0.84,False,True,False,False,10.5,2
DIS,0.72,0.01,2025-10-10 13:58:57,110.36,111.31,-0.86,False,True,False,False,10.5,2
DIS,0.73,0.01,2025-10-10 16:13:06,109.1,111.31,-1.99,False,True,False,False,10.5,2
DIS,0.73,0.01,2025-10-10 16:13:11,109.1,111.31,-1.99,False,True,False,False,10.5,2
DIS,0.73,0.01,2025-10-10 16:13:15,109.1,111.31,-1.99,False,True,False,False,10.5,2
DIS,0.73,0.01,2025-10-10 16:13:20,109.1,111.31,-1.99,False,True,False,False,10.5,2
DIS,0.73,0.01,2025-10-14 03:34:15,110.27,111.31,-0.94,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 03:34:20,110.27,111.31,-0.94,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 03:34:25,110.27,111.31,-0.94,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 03:34:28,110.27,111.31,-0.94,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 03:40:00,110.27,111.31,-0.94,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 03:40:03,110.27,111.31,-0.94,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 03:40:06,110.27,111.31,-0.94,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 03:42:24,110.27,111.31,-0.94,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 03:42:29,110.27,111.31,-0.94,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 03:42:34,110.27,111.31,-0.94,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 04:00:39,110.05,111.31,-1.13,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 04:00:44,110.05,111.31,-1.13,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 04:00:49,110.05,111.31,-1.13,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 04:05:13,110.05,111.31,-1.13,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 04:05:19,110.05,111.31,-1.13,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 04:05:25,110.05,111.31,-1.13,False,True,False,False,7.0,2
DIS,0.73,0.01,2025-10-14 04:14:43,109.5,111.31,-1.63,False,True,False,False,10.5,2
DIS,0.73,0.01,2025-10-14 04:15:29,109.5,111.31,-1.63,False,True,False,False,10.5,2
DIS,0.73,0.01,2025-10-14 04:23:21,109.5,111.31,-1.63,False,True,False,False,10.5,2
