asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
DISO,6.31,13.0,2025-08-04 02:07:31,13.48,13.51,-0.22,False,True,False,True,3.5,2
DISO,6.31,13.0,2025-08-04 02:12:47,13.48,13.51,-0.22,False,True,False,True,3.5,2
DISO,6.31,13.0,2025-08-04 02:19:20,13.48,13.51,-0.22,False,True,False,True,3.5,2
DISO,6.31,13.0,2025-08-04 02:21:22,13.48,13.51,-0.22,False,True,False,True,3.5,2
DISO,6.31,150.0,2025-10-01 17:13:14,12.67,13.0,-2.54,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-01 17:13:31,12.67,13.0,-2.54,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-01 17:13:52,12.67,13.0,-2.54,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-01 17:14:30,12.67,13.0,-2.54,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-01 17:14:50,12.67,13.0,-2.54,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-01 17:15:08,12.67,13.0,-2.54,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-01 17:22:27,12.67,13.0,-2.54,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-01 17:22:51,12.67,13.0,-2.54,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-01 17:23:02,12.67,13.0,-2.54,False,True,False,True,7.0,2
DISO,6.32,150.0,2025-10-02 16:28:28,12.65,13.0,-2.7,False,True,False,True,7.0,2
DISO,6.32,150.0,2025-10-02 16:32:22,12.65,13.0,-2.7,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-03 16:40:19,12.68,13.0,-2.49,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-03 16:46:23,12.68,13.0,-2.49,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-03 16:49:31,12.68,13.0,-2.49,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-04 01:18:58,12.68,13.0,-2.49,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-05 04:15:34,12.68,13.0,-2.49,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-05 04:27:18,12.68,13.0,-2.49,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-05 04:28:08,12.68,13.0,-2.49,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-05 04:44:06,12.68,13.0,-2.49,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-05 04:49:20,12.68,13.0,-2.49,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-05 04:49:59,12.68,13.0,-2.49,False,True,False,True,7.0,2
DISO,6.31,150.0,2025-10-05 04:52:19,12.68,13.0,-2.49,False,True,False,True,7.0,2
DISO,6.33,150.0,2025-10-09 01:09:05,12.64,13.0,-2.77,False,True,False,True,7.0,2
DISO,6.33,150.0,2025-10-09 01:16:15,12.64,13.0,-2.77,False,True,False,True,7.0,2
DISO,6.33,150.0,2025-10-09 01:20:42,12.64,13.0,-2.77,False,True,False,True,7.0,2
DISO,6.33,150.0,2025-10-09 01:26:03,12.64,13.0,-2.77,False,True,False,True,7.0,2
DISO,6.33,150.0,2025-10-09 01:26:09,12.64,13.0,-2.77,False,True,False,True,7.0,2
DISO,6.33,150.0,2025-10-09 01:26:12,12.64,13.0,-2.77,False,True,False,True,7.0,2
DISO,6.33,150.0,2025-10-09 01:26:16,12.64,13.0,-2.77,False,True,False,True,7.0,2
DISO,6.33,150.0,2025-10-09 01:26:19,12.64,13.0,-2.77,False,True,False,True,7.0,2
DISO,6.33,150.0,2025-10-09 01:26:22,12.64,13.0,-2.77,False,True,False,True,7.0,2
DISO,6.3,150.0,2025-10-09 12:49:05,12.69,13.0,-2.38,False,True,False,True,7.0,2
DISO,6.3,150.0,2025-10-09 13:03:41,12.69,13.0,-2.38,False,True,False,True,10.5,2
DISO,6.3,150.0,2025-10-09 13:03:56,12.69,13.0,-2.38,False,True,False,True,10.5,2
DISO,6.3,150.0,2025-10-09 13:04:46,12.69,13.0,-2.38,False,True,False,True,10.5,2
DISO,6.3,150.0,2025-10-09 13:12:41,12.69,13.0,-2.38,False,True,False,True,10.5,2
DISO,6.3,150.0,2025-10-09 13:18:48,12.69,13.0,-2.38,False,True,False,True,10.5,2
DISO,6.33,150.0,2025-10-09 13:35:27,12.64,13.0,-2.77,False,True,False,True,10.5,2
DISO,6.33,150.0,2025-10-09 13:35:33,12.64,13.0,-2.77,False,True,False,True,10.5,2
DISO,6.33,150.0,2025-10-09 13:35:37,12.64,13.0,-2.77,False,True,False,True,10.5,2
DISO,6.33,150.0,2025-10-09 13:35:41,12.64,13.0,-2.77,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:39:24,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:43:07,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:45:06,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:47:36,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:47:41,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:47:46,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:47:52,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:51:08,12.65,13.0,-2.69,False,True,False,True,7.0,2
DISO,6.32,150.0,2025-10-09 13:51:14,12.65,13.0,-2.69,False,True,False,True,7.0,2
DISO,6.32,150.0,2025-10-09 13:51:19,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:51:24,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:58:24,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:58:30,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:58:35,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 13:58:41,12.65,13.0,-2.69,False,True,False,True,10.5,2
DISO,6.32,150.0,2025-10-09 16:05:54,12.65,13.0,-2.69,False,True,False,True,7.0,2
DISO,6.32,150.0,2025-10-09 16:07:47,12.65,13.0,-2.69,False,True,False,True,7.0,2
DISO,6.32,150.0,2025-10-09 16:07:50,12.65,13.0,-2.69,False,True,False,True,7.0,2
DISO,6.32,150.0,2025-10-09 16:07:54,12.65,13.0,-2.69,False,True,False,True,7.0,2
DISO,6.32,150.0,2025-10-09 16:09:32,12.65,13.0,-2.69,False,True,False,True,7.0,2
DISO,6.32,150.0,2025-10-09 16:09:34,12.65,13.0,-2.69,False,True,False,True,7.0,2
DISO,6.32,150.0,2025-10-09 16:09:39,12.65,13.0,-2.69,False,True,False,True,7.0,2
DISO,6.36,150.0,2025-10-09 19:58:44,12.58,13.0,-3.27,False,True,False,True,7.0,2
DISO,6.36,150.0,2025-10-09 23:30:34,12.58,13.0,-3.27,False,True,False,True,7.0,2
DISO,6.36,150.0,2025-10-10 03:07:06,12.58,13.0,-3.27,False,True,False,True,7.0,2
DISO,6.36,150.0,2025-10-10 03:07:11,12.58,13.0,-3.27,False,True,False,True,7.0,2
DISO,6.36,150.0,2025-10-10 03:07:15,12.58,13.0,-3.27,False,True,False,True,7.0,2
DISO,6.36,150.0,2025-10-10 03:07:19,12.58,13.0,-3.27,False,True,False,True,7.0,2
DISO,6.36,150.0,2025-10-10 03:08:38,12.58,13.0,-3.27,False,True,False,True,7.0,2
DISO,6.36,150.0,2025-10-10 03:08:43,12.58,13.0,-3.27,False,True,False,True,7.0,2
DISO,6.36,150.0,2025-10-10 03:08:48,12.58,13.0,-3.27,False,True,False,True,7.0,2
DISO,6.36,150.0,2025-10-10 03:08:53,12.58,13.0,-3.27,False,True,False,True,7.0,2
DISO,6.38,150.0,2025-10-10 12:36:40,12.55,13.0,-3.48,False,True,False,True,10.5,2
DISO,6.38,150.0,2025-10-10 12:37:10,12.55,13.0,-3.48,False,True,False,True,10.5,2
DISO,6.38,150.0,2025-10-10 12:41:52,12.55,13.0,-3.48,False,True,False,True,10.5,2
