asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
ETHD,7,172.0,2025-06-23 22:04:06,17.93,18.78,-4.53,False,True,False,True,9.0,2
ETHD,7,172.0,2025-06-23 22:05:10,17.93,18.78,-4.53,False,True,False,True,9.0,2
ETHD,7,172.0,2025-06-23 22:17:21,17.93,18.78,-4.53,False,True,False,True,9.0,2
ETHD,7,172.0,2025-06-23 22:17:35,17.93,18.78,-4.53,False,True,False,True,9.0,2
ETHD,7,172.0,2025-06-23 22:44:25,17.93,18.78,-4.53,False,True,False,True,9.0,2
ETHD,7,298.0,2025-06-26 01:22:30,16.11,17.36,-7.18,False,True,False,True,10.2,2
ETHD,7,298.0,2025-06-26 21:56:11,16.03,17.36,-7.64,False,True,False,True,10.2,2
ETHD,7,298.0,2025-06-26 21:57:36,16.03,17.36,-7.64,False,True,False,True,10.2,2
ETHD,7,298.0,2025-06-26 21:58:20,16.03,17.36,-7.64,False,True,False,True,10.2,2
ETHD,7,298.0,2025-06-26 21:59:27,16.03,17.36,-7.64,False,True,False,True,10.2,2
ETHD,7,298.0,2025-06-26 21:59:53,16.03,17.36,-7.64,False,True,False,True,10.2,2
ETHD,7,298.0,2025-06-26 22:00:11,16.03,17.36,-7.64,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-29 23:34:17,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-29 23:34:49,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-29 23:36:59,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-29 23:38:57,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-29 23:44:19,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-29 23:47:23,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-29 23:47:36,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-29 23:49:04,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-29 23:49:32,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-29 23:53:35,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-29 23:57:23,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-29 23:58:59,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:00:18,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:01:53,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:03:20,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:04:01,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:05:51,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:18:47,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:26:42,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:28:58,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:31:50,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:32:57,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:36:07,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:36:35,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:46:21,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:48:32,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:49:55,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:50:57,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:51:23,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 00:52:42,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 01:21:11,16.31,16.7,-2.33,False,True,False,True,10.5,2
ETHD,7,198.0,2025-06-30 11:34:56,15.75,16.7,-5.65,False,True,False,True,10.5,2
ETHD,8,1.0,2025-07-01 23:48:00,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-01 23:50:10,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-01 23:50:22,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:06:47,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:08:20,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:09:17,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:10:29,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:10:59,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:18:22,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:18:59,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:19:58,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:20:36,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:22:15,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:22:51,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:27:16,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:28:14,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:29:25,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:29:48,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:30:11,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:31:05,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:31:15,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:31:33,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:31:41,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:34:02,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:35:21,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:37:08,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:39:46,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:41:03,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:42:06,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:48:14,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:56:23,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 00:58:43,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,1.0,2025-07-02 01:02:14,15.59,15.85,-1.61,False,True,False,True,7.0,2
ETHD,8,2.0,2025-07-03 01:04:14,13.03,14.33,-9.07,False,False,True,True,7.0,2
ETHD,8,2.0,2025-07-03 01:07:56,13.03,14.33,-9.07,False,False,True,True,7.0,2
ETHD,8,2.0,2025-07-03 01:21:31,13.03,14.33,-9.07,False,False,True,True,7.0,2
ETHD,8,2.0,2025-07-03 01:27:27,13.03,14.33,-9.07,False,False,True,True,7.0,2
ETHD,8,2.0,2025-07-03 01:28:24,13.03,14.33,-9.07,False,False,True,True,7.0,2
ETHD,8,2.0,2025-07-03 01:37:19,13.03,14.33,-9.07,False,False,True,True,7.0,2
ETHD,8,2.0,2025-07-03 01:49:35,13.03,14.33,-9.07,False,False,True,True,7.0,2
ETHD,8,2.0,2025-07-03 01:49:53,13.03,14.33,-9.07,False,False,True,True,7.0,2
ETHD,8,2.0,2025-07-03 01:59:37,13.03,14.33,-9.07,False,False,True,True,7.0,2
ETHD,8,2.0,2025-07-03 01:59:57,13.03,14.33,-9.07,False,False,True,True,7.0,2
ETHD,8,6.0,2025-07-03 10:01:59,12.77,13.37,-4.49,False,True,False,True,7.0,2
ETHD,10,6.0,2025-07-06 00:44:35,13.29,13.37,-0.6,False,True,False,True,7.0,2
ETHD,10,6.0,2025-07-06 00:46:35,13.29,13.37,-0.6,False,True,False,True,7.0,2
ETHD,10,6.0,2025-07-06 00:48:26,13.29,13.37,-0.6,False,True,False,True,7.0,2
ETHD,8,6.0,2025-07-06 00:50:53,13.29,13.37,-0.6,False,True,False,True,7.0,2
ETHD,8,6.0,2025-07-06 01:33:32,13.29,13.37,-0.6,False,True,False,True,7.0,2
ETHD,8,6.0,2025-07-06 14:15:21,13.29,13.37,-0.6,False,True,False,True,7.0,2
ETHD,8,6.0,2025-07-06 14:18:31,13.29,13.37,-0.6,False,True,False,True,7.0,2
ETHD,8,6.0,2025-07-06 14:19:41,13.29,13.37,-0.6,False,True,False,True,7.0,2
ETHD,8,6.0,2025-07-06 14:19:51,13.29,13.37,-0.6,False,True,False,True,7.0,2
ETHD,8,6.0,2025-07-06 14:27:04,13.29,13.37,-0.6,False,True,False,True,7.0,2
ETHD,8,6.0,2025-07-06 14:27:21,13.29,13.37,-0.6,False,True,False,True,14.0,2
ETHD,8,6.0,2025-07-06 14:27:29,13.29,13.37,-0.6,False,True,False,True,7.0,2
ETHD,8,6.0,2025-07-06 21:16:18,13.29,13.37,-0.6,False,True,False,True,10.5,2
ETHD,8,6.0,2025-07-06 21:21:08,13.29,13.37,-0.6,False,True,False,True,10.5,2
ETHD,8,6.0,2025-07-06 21:23:34,13.29,13.37,-0.6,False,True,False,True,10.5,2
ETHD,8,6.0,2025-07-07 00:02:01,13.29,13.37,-0.6,False,True,False,True,10.5,2
ETHD,12,5.0,2025-07-11 01:38:41,10.95,10.4,5.29,True,False,False,True,10.5,2
ETHD,12,5.0,2025-07-11 01:40:42,10.95,10.4,5.29,True,False,False,True,10.5,2
ETHD,12,5.0,2025-07-11 01:41:28,10.95,10.4,5.29,True,False,False,True,10.5,2
ETHD,12,5.0,2025-07-11 01:42:05,10.95,10.4,5.29,True,False,False,True,10.5,2
ETHD,14,5.0,2025-07-14 00:02:24,9.51,10.4,-8.55,False,True,False,True,10.5,2
ETHD,14,5.0,2025-07-14 00:04:30,9.51,10.4,-8.55,False,True,False,True,10.5,2
ETHD,14,5.0,2025-07-14 00:04:59,9.51,10.4,-8.55,False,True,False,True,10.5,2
ETHD,14,5.0,2025-07-14 00:15:06,9.51,10.4,-8.55,False,True,False,True,10.5,2
ETHD,14,5.0,2025-07-14 00:17:27,9.51,10.4,-8.55,False,True,False,True,10.5,2
ETHD,14,5.0,2025-07-14 00:22:15,9.51,10.4,-8.55,False,True,False,True,10.5,2
ETHD,14,5.0,2025-07-14 00:23:09,9.51,10.4,-8.55,False,True,False,True,10.5,2
ETHD,14,5.0,2025-07-14 00:29:09,9.51,10.4,-8.55,False,True,False,True,10.5,2
ETHD,15,5.0,2025-07-14 09:50:40,9.14,10.4,-12.11,False,False,True,True,10.5,2
ETHD,15,5.0,2025-07-14 09:50:52,9.14,10.4,-12.11,False,False,True,True,10.5,2
ETHD,15,5.0,2025-07-14 09:54:31,9.11,10.4,-12.4,False,False,True,True,10.5,2
ETHD,15,5.0,2025-07-14 09:54:46,9.1,10.4,-12.5,False,False,True,True,10.5,2
ETHD,15,5.0,2025-07-14 09:55:26,9.12,10.4,-12.35,False,False,True,True,10.5,2
ETHD,15,5.0,2025-07-14 09:55:40,9.11,10.4,-12.45,False,False,True,True,10.5,2
ETHD,15,5.0,2025-07-14 10:03:44,9.11,10.4,-12.4,False,False,True,True,10.5,2
ETHD,15,5.0,2025-07-14 10:03:59,9.11,10.4,-12.4,False,False,True,True,10.5,2
ETHD,14,5.0,2025-07-14 10:43:17,9.35,10.4,-10.14,False,True,False,True,10.5,2
ETHD,14,5.0,2025-07-14 11:42:34,9.35,10.4,-10.09,False,True,False,True,10.5,2
ETHD,14,5.0,2025-07-14 12:33:50,9.39,10.4,-9.71,False,True,False,True,10.5,2
ETHD,19,5.0,2025-07-16 21:30:52,7.21,10.4,-30.67,False,False,True,True,10.5,2
ETHD,19,5.0,2025-07-16 21:33:50,7.21,10.4,-30.67,False,False,True,True,10.5,2
ETHD,19,5.0,2025-07-16 21:34:30,7.21,10.4,-30.67,False,False,True,True,10.5,2
ETHD,19,5.0,2025-07-16 21:40:52,7.21,10.4,-30.67,False,False,True,True,10.5,2
ETHD,19,5.0,2025-07-16 23:01:00,7.21,10.4,-30.67,False,False,True,True,10.5,2
ETHD,17,5.0,2025-07-17 09:39:56,7.07,10.4,-32.02,False,False,True,True,10.5,2
ETHD,17,5.0,2025-07-17 10:10:23,7.07,10.4,-32.06,False,False,True,True,10.5,2
ETHD,17,5.0,2025-07-17 10:39:24,7.03,10.4,-32.4,False,False,True,True,10.5,2
ETHD,19,8.0,2025-07-18 11:53:30,6.44,8.94,-28.0,False,False,True,True,10.5,2
ETHD,19,8.0,2025-07-18 11:56:34,6.47,8.94,-27.67,False,False,True,True,10.5,2
ETHD,18,8.0,2025-07-18 13:53:50,6.34,8.94,-29.12,False,False,True,True,21.0,2
ETHD,17,8.0,2025-07-19 21:51:55,6.5,8.94,-27.33,False,False,True,True,10.5,2
ETHD,14,8.0,2025-07-22 02:06:29,5.85,8.94,-34.6,False,False,True,True,10.5,2
ETHD,13.68,8.0,2025-07-22 02:50:17,5.85,8.94,-34.6,False,False,True,True,10.5,2
ETHD,13.68,8.0,2025-07-22 02:51:07,5.85,8.94,-34.6,False,False,True,True,10.5,2
ETHD,13.68,8.0,2025-07-22 02:52:22,5.85,8.94,-34.6,False,False,True,True,10.5,2
ETHD,13.82,8.0,2025-07-24 14:48:54,5.79,8.94,-35.27,False,False,True,True,10.5,2
ETHD,13.38,8.0,2025-07-25 09:42:02,5.98,8.94,-33.15,False,False,True,True,21.0,2
ETHD,13.33,8.0,2025-07-25 09:50:52,6.0,8.94,-32.92,False,False,True,True,21.0,2
ETHD,13.11,8.0,2025-07-27 17:06:25,6.1,8.94,-31.8,False,False,True,True,10.5,2
ETHD,13.11,8.0,2025-07-27 17:07:06,6.1,8.94,-31.8,False,False,True,True,10.5,2
ETHD,13.11,8.0,2025-07-27 20:09:09,6.1,8.94,-31.8,False,False,True,True,10.5,2
ETHD,13.11,8.0,2025-07-27 20:09:14,6.1,8.94,-31.8,False,False,True,True,10.5,2
ETHD,15.1,8.0,2025-07-28 13:26:27,5.63,8.94,-37.06,False,False,True,True,21.0,2
ETHD,14.89,112.0,2025-07-29 22:29:41,5.71,5.89,-2.98,False,True,False,True,10.5,2
ETHD,14.89,112.0,2025-07-29 22:30:54,5.71,5.89,-2.98,False,True,False,True,10.5,2
ETHD,14.89,112.0,2025-07-29 22:31:05,5.71,5.89,-2.98,False,True,False,True,10.5,2
ETHD,14.89,112.0,2025-07-29 22:32:21,5.71,5.89,-2.98,False,True,False,True,10.5,2
ETHD,14.89,112.0,2025-07-29 22:54:46,5.71,5.89,-2.98,False,True,False,True,10.5,2
