asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
ETU,8,11.0,2025-06-29 23:34:17,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-29 23:34:49,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-29 23:36:59,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-29 23:38:57,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-29 23:44:19,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-29 23:47:23,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-29 23:47:36,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-29 23:49:04,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-29 23:49:32,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-29 23:53:35,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-29 23:57:23,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-29 23:58:59,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:00:18,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:01:53,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:03:20,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:04:01,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:05:51,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:18:47,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:26:42,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:28:58,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:31:50,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:32:57,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:36:07,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:36:35,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:46:21,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:48:32,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:49:55,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:50:57,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:51:23,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,11.0,2025-06-30 00:52:42,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,9,11.0,2025-06-30 01:21:11,13.51,13.36,1.09,False,True,False,True,10.5,2
ETU,8,1.0,2025-06-30 11:34:56,13.98,13.36,4.61,True,False,False,True,10.5,2
