asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
F,6.94,0.09,2025-10-09 12:49:05,11.54,11.68,-1.22,False,True,False,False,7.0,2
F,6.95,0.09,2025-10-09 13:03:41,11.51,11.68,-1.44,False,True,False,False,10.5,2
F,6.95,0.09,2025-10-09 13:03:56,11.5,11.68,-1.49,False,True,False,False,10.5,2
F,6.95,0.09,2025-10-09 13:04:46,11.51,11.68,-1.48,False,True,False,False,10.5,2
F,6.94,0.09,2025-10-09 13:12:41,11.52,11.68,-1.35,False,True,False,False,10.5,2
F,6.94,0.09,2025-10-09 13:18:48,11.52,11.68,-1.35,False,True,False,False,10.5,2
F,6.93,0.09,2025-10-09 13:35:27,11.54,11.68,-1.2,False,True,False,False,10.5,2
F,6.93,0.09,2025-10-09 13:35:33,11.54,11.68,-1.18,False,True,False,False,10.5,2
F,6.94,0.09,2025-10-09 13:35:37,11.54,11.68,-1.22,False,True,False,False,10.5,2
F,6.93,0.09,2025-10-09 13:35:41,11.54,11.68,-1.18,False,True,False,False,10.5,2
F,6.93,0.09,2025-10-09 13:39:24,11.55,11.68,-1.13,False,True,False,False,10.5,2
F,6.92,0.09,2025-10-09 13:43:07,11.55,11.68,-1.05,False,True,False,False,10.5,2
F,6.92,0.09,2025-10-09 13:45:06,11.56,11.68,-1.02,False,True,False,False,10.5,2
F,6.94,0.09,2025-10-09 13:47:36,11.54,11.68,-1.22,False,True,False,False,10.5,2
F,6.93,0.09,2025-10-09 13:47:41,11.54,11.68,-1.18,False,True,False,False,10.5,2
F,6.93,0.09,2025-10-09 13:47:46,11.54,11.68,-1.18,False,True,False,False,10.5,2
F,6.93,0.09,2025-10-09 13:47:52,11.54,11.68,-1.18,False,True,False,False,10.5,2
F,6.93,0.09,2025-10-09 13:51:08,11.55,11.68,-1.1,False,True,False,False,7.0,2
F,6.93,0.09,2025-10-09 13:51:14,11.54,11.68,-1.18,False,True,False,False,7.0,2
F,6.93,0.09,2025-10-09 13:51:19,11.54,11.68,-1.18,False,True,False,False,10.5,2
F,6.93,0.09,2025-10-09 13:51:24,11.55,11.68,-1.1,False,True,False,False,10.5,2
F,6.94,0.09,2025-10-09 13:58:24,11.53,11.68,-1.27,False,True,False,False,10.5,2
F,6.94,0.09,2025-10-09 13:58:30,11.53,11.68,-1.27,False,True,False,False,10.5,2
F,6.94,0.09,2025-10-09 13:58:35,11.53,11.68,-1.27,False,True,False,False,10.5,2
F,6.94,0.09,2025-10-09 13:58:41,11.53,11.68,-1.27,False,True,False,False,10.5,2
F,6.95,0.09,2025-10-09 16:05:54,11.51,11.68,-1.44,False,True,False,False,7.0,2
F,6.94,0.09,2025-10-09 16:07:47,11.52,11.68,-1.35,False,True,False,False,7.0,2
F,6.94,0.09,2025-10-09 16:07:50,11.52,11.68,-1.35,False,True,False,False,7.0,2
F,6.94,0.09,2025-10-09 16:07:54,11.52,11.68,-1.35,False,True,False,False,7.0,2
F,6.94,0.09,2025-10-09 16:09:32,11.52,11.68,-1.35,False,True,False,False,7.0,2
F,6.94,0.09,2025-10-09 16:09:34,11.52,11.68,-1.35,False,True,False,False,7.0,2
F,6.94,0.09,2025-10-09 16:09:39,11.52,11.68,-1.35,False,True,False,False,7.0,2
F,6.94,0.09,2025-10-09 19:58:44,11.53,11.68,-1.27,False,True,False,False,7.0,2
F,6.96,0.09,2025-10-09 23:30:34,11.5,11.68,-1.52,False,True,False,False,7.0,2
F,6.96,0.09,2025-10-10 03:07:06,11.5,11.68,-1.52,False,True,False,False,7.0,2
F,6.96,0.09,2025-10-10 03:07:11,11.5,11.68,-1.52,False,True,False,False,7.0,2
F,6.96,0.09,2025-10-10 03:07:15,11.5,11.68,-1.52,False,True,False,False,7.0,2
F,6.96,0.09,2025-10-10 03:07:19,11.5,11.68,-1.52,False,True,False,False,7.0,2
F,6.96,0.09,2025-10-10 03:08:38,11.5,11.68,-1.52,False,True,False,False,7.0,2
F,6.96,0.09,2025-10-10 03:08:43,11.5,11.68,-1.52,False,True,False,False,7.0,2
F,6.96,0.09,2025-10-10 03:08:48,11.5,11.68,-1.52,False,True,False,False,7.0,2
F,6.96,0.09,2025-10-10 03:08:53,11.5,11.68,-1.52,False,True,False,False,7.0,2
F,7.01,0.09,2025-10-10 12:36:40,11.41,11.68,-2.29,False,True,False,False,10.5,2
F,7.01,0.09,2025-10-10 12:37:10,11.41,11.68,-2.29,False,True,False,False,10.5,2
F,7.02,0.09,2025-10-10 12:41:52,11.4,11.68,-2.39,False,True,False,False,10.5,2
F,7.02,0.09,2025-10-10 12:41:55,11.39,11.68,-2.42,False,True,False,False,10.5,2
F,7.02,0.09,2025-10-10 12:42:00,11.39,11.68,-2.47,False,True,False,False,10.5,2
