asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
FBY,2.62,1.11,2025-10-07 15:08:13,15.26,15.11,1.0,False,True,False,True,7.0,2
FBY,2.61,1.11,2025-10-07 16:22:36,15.34,15.11,1.52,False,True,False,True,7.0,2
FBY,2.61,1.11,2025-10-07 16:24:22,15.34,15.11,1.52,False,True,False,True,7.0,2
FBY,2.61,1.11,2025-10-07 16:53:11,15.34,15.11,1.52,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:20:53,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:24:14,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:24:18,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:24:21,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:24:25,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:24:28,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:24:31,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:25:07,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:25:13,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:25:17,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:25:20,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:25:23,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.59,1.11,2025-10-09 01:25:26,15.42,15.11,2.05,False,True,False,True,7.0,2
FBY,2.62,1.11,2025-10-09 13:05:30,15.28,15.11,1.14,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:09:28,15.29,15.11,1.19,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:29:48,15.29,15.11,1.19,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:32:00,15.29,15.11,1.19,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:32:04,15.29,15.11,1.19,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:32:09,15.29,15.11,1.19,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:32:13,15.29,15.11,1.19,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:32:47,15.29,15.11,1.19,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:32:52,15.29,15.11,1.19,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:32:57,15.29,15.11,1.19,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:33:02,15.29,15.11,1.19,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:34:42,15.29,15.11,1.19,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:34:49,15.29,15.11,1.19,False,True,False,True,10.5,2
FBY,2.62,1.11,2025-10-09 13:34:54,15.29,15.11,1.19,False,True,False,True,10.5,2
