asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
GDXY,8,34.0,2025-07-08 00:30:21,15.18,14.89,1.95,True,False,False,True,3.5,2
GDXY,1,9.0,2025-07-08 00:31:14,15.18,14.89,1.95,True,False,False,True,3.5,2
GDXY,8,34.0,2025-07-08 00:35:04,15.18,14.89,1.95,True,False,False,True,3.5,2
GDXY,1,9.0,2025-07-08 00:38:59,15.18,14.89,1.95,True,False,False,True,3.5,2
GDXY,3,9.0,2025-07-10 01:40:01,14.8,14.89,-0.6,False,True,False,True,3.5,2
GDXY,8,34.0,2025-07-10 01:41:36,14.8,14.89,-0.6,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-10 14:36:42,14.81,14.89,-0.5,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-10 14:39:43,14.82,14.89,-0.47,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-10 14:42:04,14.82,14.89,-0.47,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-11 01:38:41,14.89,14.89,0.0,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-11 01:40:42,14.89,14.89,0.0,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-11 01:41:28,14.89,14.89,0.0,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-11 01:42:05,14.89,14.89,0.0,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-14 00:02:24,15.0,14.89,0.74,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-14 00:04:30,15.0,14.89,0.74,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-14 00:04:59,15.0,14.89,0.74,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-14 00:15:06,15.0,14.89,0.74,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-14 00:17:27,15.0,14.89,0.74,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-14 00:22:15,15.0,14.89,0.74,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-14 00:23:09,15.0,14.89,0.74,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-14 00:29:09,15.0,14.89,0.74,False,True,False,True,3.5,2
GDXY,3,9.0,2025-07-14 01:17:30,15.0,14.89,0.74,False,True,False,True,3.5,2
GDXY,3,9.0,2025-07-14 01:19:54,15.0,14.89,0.74,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-14 09:50:40,15.11,14.89,1.44,True,False,False,True,3.5,2
GDXY,9,34.0,2025-07-14 09:50:52,15.12,14.89,1.54,True,False,False,True,3.5,2
GDXY,9,34.0,2025-07-14 09:54:31,15.12,14.89,1.58,True,False,False,True,3.5,2
GDXY,9,34.0,2025-07-14 09:54:46,15.12,14.89,1.54,True,False,False,True,3.5,2
GDXY,9,34.0,2025-07-14 09:55:26,15.12,14.89,1.54,True,False,False,True,3.5,2
GDXY,9,34.0,2025-07-14 09:55:40,15.12,14.89,1.54,True,False,False,True,3.5,2
GDXY,9,34.0,2025-07-14 10:03:44,15.13,14.89,1.61,True,False,False,True,3.5,2
GDXY,9,34.0,2025-07-14 10:03:59,15.13,14.89,1.61,True,False,False,True,3.5,2
GDXY,3,9.0,2025-07-14 10:04:31,15.12,14.89,1.58,True,False,False,True,3.5,2
GDXY,9,34.0,2025-07-14 10:43:17,15.06,14.89,1.14,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-14 11:42:34,15.09,14.89,1.31,True,False,False,True,3.5,2
GDXY,3,9.0,2025-07-14 11:48:52,15.1,14.89,1.38,True,False,False,True,3.5,2
GDXY,9,34.0,2025-07-14 12:33:50,15.08,14.89,1.25,False,True,False,True,3.5,2
GDXY,6,9.0,2025-07-15 12:35:03,14.76,14.89,-0.87,False,True,False,True,3.5,2
GDXY,6,9.0,2025-07-16 13:51:51,14.96,14.89,0.47,False,True,False,True,3.5,2
GDXY,6,9.0,2025-07-16 14:31:24,14.95,14.89,0.4,False,True,False,True,3.5,2
GDXY,6,9.0,2025-07-16 17:37:54,14.92,14.89,0.2,False,True,False,True,3.5,2
GDXY,6,9.0,2025-07-16 18:11:12,14.92,14.89,0.2,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-16 21:30:52,14.94,14.89,0.34,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-16 21:33:50,14.94,14.89,0.34,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-16 21:34:30,14.94,14.89,0.34,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-16 21:40:52,14.94,14.89,0.34,False,True,False,True,3.5,2
GDXY,7,9.0,2025-07-16 22:50:12,14.94,14.89,0.34,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-16 23:01:00,14.94,14.89,0.34,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-17 09:39:56,14.32,14.89,-3.83,False,False,True,True,3.5,2
GDXY,6,9.0,2025-07-17 10:09:26,14.34,14.89,-3.66,False,False,True,True,3.5,2
GDXY,9,34.0,2025-07-17 10:10:23,14.34,14.89,-3.69,False,False,True,True,3.5,2
GDXY,8,34.0,2025-07-17 10:39:24,14.39,14.89,-3.36,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-18 11:53:30,14.54,14.89,-2.35,False,True,False,True,3.5,2
GDXY,9,34.0,2025-07-18 11:56:34,14.53,14.89,-2.42,False,True,False,True,3.5,2
GDXY,8,9.0,2025-07-18 13:48:01,14.53,14.89,-2.42,False,True,False,True,7.0,2
GDXY,8,34.0,2025-07-18 13:53:50,14.54,14.89,-2.35,False,True,False,True,7.0,2
GDXY,8,34.0,2025-07-19 21:51:55,14.48,14.89,-2.75,False,True,False,True,3.5,2
GDXY,8,9.0,2025-07-19 21:52:05,14.48,14.89,-2.75,False,True,False,True,3.5,2
GDXY,5,9.0,2025-07-21 18:08:11,14.75,14.89,-0.95,False,True,False,True,3.5,2
GDXY,6,34.0,2025-07-22 02:06:29,14.87,14.89,-0.13,False,True,False,True,3.5,2
GDXY,5.38,34.0,2025-07-22 02:50:17,14.87,14.89,-0.13,False,True,False,True,3.5,2
GDXY,5.38,34.0,2025-07-22 02:51:07,14.87,14.89,-0.13,False,True,False,True,3.5,2
GDXY,5.38,34.0,2025-07-22 02:52:22,14.87,14.89,-0.13,False,True,False,True,3.5,2
GDXY,2.23,1.0,2025-10-07 15:08:13,17.94,17.77,0.95,False,True,False,True,7.0,2
GDXY,2.24,1.0,2025-10-07 16:22:36,17.89,17.77,0.68,False,True,False,True,7.0,2
GDXY,2.24,1.0,2025-10-07 16:24:22,17.89,17.77,0.68,False,True,False,True,7.0,2
GDXY,2.22,1.0,2025-10-07 16:53:11,18.0,17.77,1.29,False,True,False,True,7.0,2
GDXY,4.38,1.0,2025-10-09 01:09:05,18.27,18.0,1.5,False,True,False,True,7.0,2
GDXY,4.38,1.0,2025-10-09 01:16:15,18.27,18.0,1.5,False,True,False,True,7.0,2
GDXY,4.38,1.0,2025-10-09 01:20:42,18.27,18.0,1.5,False,True,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:20:53,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:24:14,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:24:18,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:24:21,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:24:25,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:24:28,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:24:31,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:25:07,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:25:13,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:25:17,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:25:20,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:25:23,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,2.19,1.0,2025-10-09 01:25:26,18.27,17.77,2.81,True,False,False,True,7.0,2
GDXY,4.38,1.0,2025-10-09 01:26:03,18.27,18.0,1.5,False,True,False,True,7.0,2
GDXY,4.38,1.0,2025-10-09 01:26:09,18.27,18.0,1.5,False,True,False,True,7.0,2
GDXY,4.38,1.0,2025-10-09 01:26:12,18.27,18.0,1.5,False,True,False,True,7.0,2
GDXY,4.38,1.0,2025-10-09 01:26:16,18.27,18.0,1.5,False,True,False,True,7.0,2
GDXY,4.38,1.0,2025-10-09 01:26:19,18.27,18.0,1.5,False,True,False,True,7.0,2
GDXY,4.38,1.0,2025-10-09 01:26:22,18.27,18.0,1.5,False,True,False,True,7.0,2
GDXY,4.78,1.0,2025-10-09 12:49:05,16.74,18.0,-6.99,False,True,False,True,7.0,2
