asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
GS,0.1,0.01,2025-10-09 12:49:05,778.44,772.86,0.72,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-09 13:03:41,775.02,772.86,0.28,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:03:56,775.02,772.86,0.28,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:04:46,775.55,772.86,0.35,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:12:41,775.88,772.86,0.39,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:18:48,775.88,772.86,0.39,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:35:27,776.39,772.86,0.46,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:35:33,776.36,772.86,0.45,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:35:37,776.36,772.86,0.45,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:35:41,776.36,772.86,0.45,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:39:24,776.55,772.86,0.48,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:43:07,776.07,772.86,0.42,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:45:06,776.23,772.86,0.44,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:47:36,776.05,772.86,0.41,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:47:41,776.05,772.86,0.41,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:47:46,776.05,772.86,0.41,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:47:52,776.05,772.86,0.41,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:51:08,776.52,772.86,0.47,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-09 13:51:14,776.52,772.86,0.47,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-09 13:51:19,776.52,772.86,0.47,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:51:24,776.16,772.86,0.43,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:58:24,775.97,772.86,0.4,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:58:30,775.97,772.86,0.4,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:58:35,775.97,772.86,0.4,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 13:58:41,775.97,772.86,0.4,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-09 16:05:54,782.0,772.86,1.18,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-09 16:07:47,782.0,772.86,1.18,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-09 16:07:50,782.0,772.86,1.18,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-09 16:07:54,782.0,772.86,1.18,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-09 16:09:32,782.0,772.86,1.18,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-09 16:09:34,782.0,772.86,1.18,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-09 16:09:39,782.0,772.86,1.18,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-09 19:58:44,780.8,772.86,1.03,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-09 23:30:34,779.96,772.86,0.92,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-10 03:07:06,779.96,772.86,0.92,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-10 03:07:11,779.96,772.86,0.92,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-10 03:07:15,779.96,772.86,0.92,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-10 03:07:19,779.96,772.86,0.92,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-10 03:08:38,779.96,772.86,0.92,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-10 03:08:43,779.96,772.86,0.92,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-10 03:08:48,779.96,772.86,0.92,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-10 03:08:53,779.96,772.86,0.92,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-10 12:36:40,771.0,772.86,-0.24,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 12:37:10,771.0,772.86,-0.24,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 12:41:52,769.39,772.86,-0.45,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 12:41:55,769.39,772.86,-0.45,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 12:42:00,769.39,772.86,-0.45,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 12:42:06,769.15,772.86,-0.48,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 12:42:12,769.15,772.86,-0.48,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 12:57:51,767.35,772.86,-0.71,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 12:57:59,766.42,772.86,-0.83,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 12:58:06,766.73,772.86,-0.79,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 12:58:13,766.67,772.86,-0.8,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 13:58:39,767.59,772.86,-0.68,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 13:58:44,767.59,772.86,-0.68,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 13:58:50,768.06,772.86,-0.62,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 13:58:57,768.06,772.86,-0.62,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 16:13:06,766.0,772.86,-0.89,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 16:13:11,766.0,772.86,-0.89,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 16:13:15,766.0,772.86,-0.89,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-10 16:13:20,766.0,772.86,-0.89,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-14 03:34:15,786.78,772.86,1.8,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 03:34:20,786.78,772.86,1.8,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 03:34:25,786.78,772.86,1.8,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 03:34:28,786.78,772.86,1.8,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 03:40:00,786.78,772.86,1.8,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 03:40:03,786.78,772.86,1.8,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 03:40:06,786.78,772.86,1.8,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 03:42:24,786.78,772.86,1.8,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 03:42:29,786.78,772.86,1.8,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 03:42:34,786.78,772.86,1.8,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 04:00:39,795.0,772.86,2.86,True,False,False,False,7.0,2
GS,0.1,0.01,2025-10-14 04:00:44,795.0,772.86,2.86,True,False,False,False,7.0,2
GS,0.1,0.01,2025-10-14 04:00:49,795.0,772.86,2.86,True,False,False,False,7.0,2
GS,0.1,0.01,2025-10-14 04:05:13,795.0,772.86,2.86,True,False,False,False,7.0,2
GS,0.1,0.01,2025-10-14 04:05:19,795.0,772.86,2.86,True,False,False,False,7.0,2
GS,0.1,0.01,2025-10-14 04:05:25,795.0,772.86,2.86,True,False,False,False,7.0,2
GS,0.1,0.01,2025-10-14 04:14:43,786.77,772.86,1.8,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-14 04:15:29,786.77,772.86,1.8,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-14 04:23:21,785.03,772.86,1.57,False,True,False,False,10.5,2
GS,0.1,0.01,2025-10-14 04:23:53,785.03,772.86,1.57,False,True,False,False,10.5,2
GS,0.11,0.01,2025-10-14 09:43:46,745.39,772.86,-3.55,False,True,False,False,10.5,2
GS,0.11,0.01,2025-10-14 09:43:50,745.6,772.86,-3.53,False,True,False,False,10.5,2
GS,0.11,0.01,2025-10-14 09:43:54,745.81,772.86,-3.5,False,True,False,False,10.5,2
GS,0.11,0.01,2025-10-14 10:15:41,756.31,772.86,-2.14,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-14 10:21:24,759.64,772.86,-1.71,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-14 10:26:31,761.25,772.86,-1.5,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 10:26:35,762.0,772.86,-1.41,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 10:29:30,762.0,772.86,-1.41,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-14 10:30:17,760.48,772.86,-1.6,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-14 10:30:21,760.45,772.86,-1.61,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 10:32:05,762.3,772.86,-1.37,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 10:32:27,762.63,772.86,-1.32,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 11:26:16,765.71,772.86,-0.93,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 11:26:18,765.71,772.86,-0.93,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 11:29:20,762.87,772.86,-1.29,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 11:33:33,767.28,772.86,-0.72,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 11:35:28,768.5,772.86,-0.56,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 11:36:39,769.53,772.86,-0.43,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 11:38:15,768.04,772.86,-0.62,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 12:01:19,776.73,772.86,0.5,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 12:02:29,776.7,772.86,0.5,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-14 17:29:56,772.0,772.86,-0.11,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-15 10:35:01,774.26,772.86,0.18,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-15 11:53:51,771.0,772.86,-0.24,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-15 12:06:14,771.38,772.86,-0.19,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-15 12:10:15,772.95,772.86,0.01,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-15 12:12:51,772.4,772.86,-0.06,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-15 12:14:10,772.58,772.86,-0.04,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-15 12:14:41,772.41,772.86,-0.06,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-15 12:15:11,772.6,772.86,-0.03,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-15 12:15:35,772.63,772.86,-0.03,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-15 12:18:09,771.42,772.86,-0.19,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-15 12:21:38,772.19,772.86,-0.09,False,True,False,False,7.0,2
GS,0.1,0.01,2025-10-15 15:20:43,764.34,772.86,-1.1,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:07:11,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:07:13,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:08:19,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:08:21,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:08:50,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:09:16,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:09:18,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:09:22,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:10:03,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:10:05,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:10:09,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:11:07,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:11:10,750.77,772.86,-2.86,False,True,False,False,7.0,2
GS,0.11,0.01,2025-10-19 21:11:14,750.77,772.86,-2.86,False,True,False,False,7.0,2
