asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
HIBL,3,0.77,2025-07-14 00:02:24,47.75,48.09,-0.71,False,True,False,False,7.0,2
HIBL,3,0.77,2025-07-14 00:04:30,47.75,48.09,-0.71,False,True,False,False,7.0,2
HIBL,3,0.77,2025-07-14 00:04:59,47.75,48.09,-0.71,False,True,False,False,7.0,2
HIBL,3,0.77,2025-07-14 00:15:06,47.75,48.09,-0.71,False,True,False,False,7.0,2
HIBL,3,0.77,2025-07-14 00:17:27,47.75,48.09,-0.71,False,True,False,False,7.0,2
HIBL,3,0.77,2025-07-14 00:22:15,47.75,48.09,-0.71,False,True,False,False,7.0,2
HIBL,3,0.77,2025-07-14 00:23:09,47.75,48.09,-0.71,False,True,False,False,7.0,2
HIBL,3,0.77,2025-07-14 00:29:09,47.75,48.09,-0.71,False,True,False,False,7.0,2
HIBL,3,8.27,2025-07-14 09:50:40,46.95,46.7,0.52,False,True,False,True,7.0,2
HIBL,3,8.27,2025-07-14 09:50:52,46.95,46.7,0.52,False,True,False,True,7.0,2
HIBL,3,8.27,2025-07-14 09:54:31,46.89,46.7,0.4,False,True,False,True,7.0,2
HIBL,3,8.27,2025-07-14 09:54:46,46.89,46.7,0.4,False,True,False,True,7.0,2
HIBL,3,8.27,2025-07-14 09:55:26,46.89,46.7,0.4,False,True,False,True,7.0,2
HIBL,3,8.27,2025-07-14 09:55:40,46.89,46.7,0.4,False,True,False,True,7.0,2
HIBL,3,8.27,2025-07-14 10:03:44,46.8,46.7,0.21,False,True,False,True,7.0,2
HIBL,3,8.27,2025-07-14 10:03:59,46.8,46.7,0.21,False,True,False,True,7.0,2
HIBL,3,8.27,2025-07-14 10:43:17,46.98,46.7,0.6,False,True,False,True,7.0,2
HIBL,3,8.27,2025-07-14 11:42:34,47.29,46.7,1.26,False,True,False,True,7.0,2
HIBL,3,8.27,2025-07-14 12:33:50,47.37,46.7,1.43,False,True,False,True,7.0,2
HIBL,3,5.71,2025-07-16 21:30:52,46.83,45.56,2.79,True,False,False,True,7.0,2
HIBL,3,5.71,2025-07-16 21:33:50,46.83,45.56,2.79,True,False,False,True,7.0,2
HIBL,3,5.71,2025-07-16 21:34:30,46.83,45.56,2.79,True,False,False,True,7.0,2
HIBL,3,5.71,2025-07-16 21:40:52,46.83,45.56,2.79,True,False,False,True,7.0,2
HIBL,3,5.71,2025-07-16 23:01:00,46.83,45.56,2.79,True,False,False,True,7.0,2
