asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
HOOW,1.18,1.0,2025-09-12 19:52:12,67.8,68.24,-0.65,False,True,False,True,7.0,2
HOOW,1.12,1.0,2025-09-18 10:11:43,71.26,68.24,4.43,True,False,False,True,7.0,2
HOOW,1.11,1.0,2025-09-20 21:52:37,72.34,70.19,3.06,True,False,False,True,7.0,2
HOOW,1.11,1.0,2025-09-20 21:53:55,72.34,70.19,3.06,True,False,False,True,7.0,2
HOOW,1.11,1.0,2025-09-20 22:08:23,72.34,70.19,3.06,True,False,False,True,7.0,2
HOOW,1.11,1.0,2025-09-20 22:10:08,72.34,70.19,3.06,True,False,False,True,7.0,2
HOOW,1.11,1.0,2025-09-20 22:12:57,72.34,70.19,3.06,True,False,False,True,7.0,2
HOOW,1.11,1.0,2025-09-20 22:14:12,72.34,70.19,3.06,True,False,False,True,7.0,2
HOOW,0.5,1.0,2025-10-07 15:08:13,80.51,84.7,-4.95,False,True,False,True,7.0,2
HOOW,0.5,1.0,2025-10-07 16:22:36,80.27,84.7,-5.23,False,True,False,True,7.0,2
HOOW,0.5,1.0,2025-10-07 16:24:22,80.27,84.7,-5.23,False,True,False,True,7.0,2
HOOW,0.49,1.0,2025-10-07 16:53:11,80.84,84.7,-4.56,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:20:53,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:24:14,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:24:18,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:24:21,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:24:25,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:24:28,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:24:31,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:25:07,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:25:13,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:25:17,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:25:20,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:25:23,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.47,1.0,2025-10-09 01:25:26,84.37,84.7,-0.39,False,True,False,True,7.0,2
HOOW,0.48,1.0,2025-10-09 13:05:30,82.9,84.7,-2.13,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:09:28,83.33,84.7,-1.62,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:29:48,83.34,84.7,-1.61,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:32:00,83.61,84.7,-1.29,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:32:04,83.61,84.7,-1.29,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:32:09,83.61,84.7,-1.29,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:32:13,83.61,84.7,-1.29,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:32:47,83.61,84.7,-1.29,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:32:52,83.61,84.7,-1.29,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:32:57,83.61,84.7,-1.29,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:33:02,83.61,84.7,-1.29,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:34:42,83.58,84.7,-1.32,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:34:49,83.58,84.7,-1.32,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:34:54,83.58,84.7,-1.32,False,True,False,True,10.5,2
HOOW,0.48,1.0,2025-10-09 13:34:59,83.58,84.7,-1.32,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:48:36,84.54,84.7,-0.19,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:48:41,84.54,84.7,-0.19,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:48:46,84.54,84.7,-0.19,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:48:50,84.54,84.7,-0.19,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:49:46,84.46,84.7,-0.28,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:49:51,84.46,84.7,-0.28,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:49:56,84.46,84.7,-0.28,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:50:01,84.46,84.7,-0.28,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:50:43,84.65,84.7,-0.06,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:50:49,84.65,84.7,-0.06,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:50:54,84.65,84.7,-0.06,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:50:59,84.65,84.7,-0.06,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:58:22,84.38,84.7,-0.38,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:58:27,84.38,84.7,-0.38,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:58:32,84.38,84.7,-0.38,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 13:58:37,84.38,84.7,-0.38,False,True,False,True,10.5,2
HOOW,0.47,1.0,2025-10-09 16:05:15,85.41,84.7,0.84,False,True,False,True,7.0,2
HOOW,0.59,1.0,2025-10-17 13:43:43,67.72,66.39,2.0,False,True,False,True,7.0,2
HOOW,0.59,1.0,2025-10-17 14:01:56,68.2,66.39,2.73,True,False,False,True,7.0,2
HOOW,0.59,1.0,2025-10-17 14:06:18,68.1,66.39,2.58,True,False,False,True,7.0,2
HOOW,0.59,1.0,2025-10-18 14:18:49,68.33,66.39,2.92,True,False,False,True,7.0,2
HOOW,0.56,1.0,2025-10-20 13:57:49,71.86,66.39,8.24,True,False,False,True,7.0,2
HOOW,0.56,1.0,2025-10-20 13:57:58,71.86,66.39,8.24,True,False,False,True,7.0,2
HOOW,0.57,1.0,2025-10-20 20:37:34,70.47,70.52,-0.07,False,True,False,True,7.0,2
HOOW,0.57,1.0,2025-10-21 00:30:57,70.47,70.52,-0.07,False,True,False,True,7.0,2
HOOW,0.57,1.0,2025-10-21 00:31:05,70.47,70.52,-0.07,False,True,False,True,7.0,2
