asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
HPQ,5,113.01,2025-06-22 22:31:52,24.11,24.87,-3.06,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-22 22:32:57,24.11,24.87,-3.06,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-22 22:33:27,24.11,24.87,-3.06,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-22 22:34:15,24.11,24.87,-3.06,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-22 22:35:05,24.11,24.87,-3.06,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-22 22:37:31,24.11,24.87,-3.06,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-22 22:38:53,24.11,24.87,-3.06,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-22 22:39:57,24.11,24.87,-3.06,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-22 22:43:27,24.11,24.87,-3.06,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-22 22:43:58,24.11,24.87,-3.06,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-23 22:04:06,24.08,24.87,-3.18,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-23 22:05:10,24.08,24.87,-3.18,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-23 22:17:21,24.08,24.87,-3.18,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-23 22:17:35,24.08,24.87,-3.18,False,True,False,True,7.5,2
HPQ,5,113.01,2025-06-23 22:44:25,24.08,24.87,-3.18,False,True,False,True,7.5,2
HPQ,4,113.01,2025-06-26 01:22:30,24.53,24.87,-1.37,False,True,False,True,6.8,2
HPQ,4,113.01,2025-06-26 21:56:11,24.71,24.87,-0.65,False,True,False,True,6.8,2
HPQ,4,113.01,2025-06-26 21:57:36,24.71,24.87,-0.65,False,True,False,True,6.8,2
HPQ,4,113.01,2025-06-26 21:58:20,24.71,24.87,-0.65,False,True,False,True,6.8,2
HPQ,4,113.01,2025-06-26 21:59:27,24.71,24.87,-0.65,False,True,False,True,6.8,2
HPQ,4,113.01,2025-06-26 21:59:53,24.71,24.87,-0.65,False,True,False,True,6.8,2
HPQ,4,113.01,2025-06-26 22:00:11,24.71,24.87,-0.65,False,True,False,True,7.0,2
HPQ,4,113.01,2025-06-29 23:34:17,24.77,24.87,-0.4,False,True,False,True,7.0,2
HPQ,4,113.01,2025-06-29 23:34:49,24.77,24.87,-0.4,False,True,False,True,7.0,2
HPQ,4,113.01,2025-06-29 23:36:59,24.77,24.87,-0.4,False,True,False,True,7.0,2
HPQ,4,113.01,2025-06-29 23:38:57,24.77,24.87,-0.4,False,True,False,True,7.0,2
HPQ,4,113.01,2025-06-29 23:44:19,24.77,24.87,-0.4,False,True,False,True,7.0,2
HPQ,4,113.01,2025-06-29 23:47:23,24.77,24.87,-0.4,False,True,False,True,7.0,2
HPQ,4,113.01,2025-06-29 23:47:36,24.77,24.87,-0.4,False,True,False,True,7.0,2
