asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
IBM,0.33,0.32,2025-08-20 03:58:54,241.28,239.54,0.73,False,True,False,False,7.0,2
IBM,0.33,0.32,2025-08-20 04:00:12,240.65,239.54,0.46,False,True,False,False,7.0,2
IBM,0.33,0.32,2025-08-20 04:00:30,240.65,239.54,0.46,False,True,False,False,7.0,2
IBM,0.33,0.32,2025-08-20 04:00:38,240.65,239.54,0.46,False,True,False,False,7.0,2
IBM,0.33,0.32,2025-08-20 04:00:48,240.65,239.54,0.46,False,True,False,False,7.0,2
IBM,0.33,0.32,2025-08-20 04:01:44,240.65,239.54,0.46,False,True,False,False,7.0,2
IBM,0.33,0.32,2025-08-20 04:02:20,240.65,239.54,0.46,False,True,False,False,7.0,2
IBM,0.33,0.32,2025-08-20 04:02:40,240.65,239.54,0.46,False,True,False,False,7.0,2
IBM,0.33,0.32,2025-08-20 04:06:17,240.65,239.54,0.46,False,True,False,False,7.0,2
IBM,0.33,0.32,2025-08-20 04:10:01,240.65,239.54,0.46,False,True,False,False,7.0,2
IBM,0.33,0.32,2025-08-20 04:11:54,240.65,239.54,0.46,False,True,False,False,7.0,2
IBM,0.33,0.32,2025-08-21 12:47:54,238.83,239.54,-0.3,False,True,False,False,7.0,2
IBM,0.34,0.32,2025-08-21 12:48:57,238.8,239.54,-0.31,False,True,False,False,10.5,2
IBM,0.33,0.32,2025-08-21 13:10:48,239.25,239.54,-0.12,False,True,False,False,10.5,2
IBM,0.33,0.32,2025-08-21 13:11:49,239.2,239.54,-0.14,False,True,False,False,10.5,2
IBM,0.33,0.32,2025-08-21 13:12:52,239.16,239.54,-0.16,False,True,False,False,10.5,2
IBM,0.33,0.32,2025-08-21 13:28:14,238.94,239.54,-0.25,False,True,False,False,10.5,2
IBM,0.33,0.32,2025-08-21 13:32:46,239.1,239.54,-0.18,False,True,False,False,10.5,2
IBM,0.33,0.32,2025-08-21 13:35:04,239.25,239.54,-0.12,False,True,False,False,10.5,2
IBM,0.33,0.01,2025-08-25 16:18:32,239.43,239.54,-0.05,False,True,False,False,10.5,2
IBM,0.33,0.01,2025-08-25 16:20:39,239.53,239.54,-0.0,False,True,False,False,10.5,2
IBM,0.33,0.01,2025-08-25 16:47:24,239.8,239.54,0.11,False,True,False,False,10.5,2
IBM,0.33,0.01,2025-08-26 18:47:51,242.63,239.54,1.29,False,True,False,False,7.0,2
IBM,0.33,0.01,2025-08-26 18:53:22,242.63,239.54,1.29,False,True,False,False,7.0,2
IBM,0.33,0.01,2025-08-26 23:50:53,242.63,239.54,1.29,False,True,False,False,7.0,2
IBM,0.33,0.14,2025-08-28 15:20:47,245.66,244.31,0.55,False,True,False,False,7.0,2
IBM,0.33,0.14,2025-08-28 17:07:49,245.98,244.31,0.68,False,True,False,False,7.0,2
IBM,0.33,0.14,2025-08-28 17:18:45,245.98,244.31,0.68,False,True,False,False,7.0,2
IBM,0.33,0.14,2025-08-28 19:02:01,245.73,244.31,0.58,False,True,False,False,7.0,2
IBM,0.33,0.14,2025-08-28 19:03:13,245.73,244.31,0.58,False,True,False,False,7.0,2
IBM,0.33,0.14,2025-08-29 19:18:40,243.49,244.31,-0.34,False,True,False,False,7.0,2
IBM,0.32,0.01,2025-09-04 13:44:36,247.82,244.31,1.44,False,True,False,False,7.0,2
IBM,0.32,0.01,2025-09-04 13:46:09,247.81,244.31,1.43,False,True,False,False,7.0,2
IBM,0.32,0.01,2025-09-08 01:15:12,248.53,244.68,1.57,False,True,False,False,7.0,2
IBM,0.32,0.01,2025-09-08 01:16:41,248.53,244.68,1.57,False,True,False,False,7.0,2
IBM,0.32,0.01,2025-09-08 01:21:01,248.53,244.68,1.57,False,True,False,False,7.0,2
IBM,0.32,0.01,2025-09-08 01:33:51,248.53,244.68,1.57,False,True,False,False,7.0,2
IBM,0.32,0.01,2025-09-08 01:36:01,248.53,244.68,1.57,False,True,False,False,7.0,2
IBM,0.31,0.01,2025-09-08 22:32:20,256.09,244.68,4.66,True,False,False,False,7.0,2
IBM,0.31,0.01,2025-09-08 22:34:53,256.09,244.68,4.66,True,False,False,False,7.0,2
IBM,0.31,0.01,2025-09-08 22:37:47,256.09,244.68,4.66,True,False,False,False,7.0,2
