asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
ICOI,3,1.0,2025-07-11 01:38:41,59.01,57.32,2.94,True,False,False,True,3.5,2
ICOI,3,1.0,2025-07-11 01:40:42,59.01,57.32,2.94,True,False,False,True,3.5,2
ICOI,3,1.0,2025-07-11 01:41:28,59.01,57.32,2.94,True,False,False,True,3.5,2
ICOI,3,1.0,2025-07-11 01:42:05,59.01,57.32,2.94,True,False,False,True,3.5,2
ICOI,2,8.0,2025-07-15 12:35:03,60.38,59.85,0.88,False,True,False,True,3.5,2
ICOI,2,8.0,2025-07-16 13:51:51,60.73,59.85,1.47,True,False,False,True,3.5,2
ICOI,2,8.0,2025-07-16 14:31:24,60.73,59.85,1.47,True,False,False,True,3.5,2
ICOI,2,8.0,2025-07-16 17:37:54,60.85,59.85,1.67,True,False,False,True,3.5,2
ICOI,2,8.0,2025-07-16 18:11:12,60.85,59.85,1.67,True,False,False,True,3.5,2
ICOI,3,11.0,2025-07-16 21:30:52,60.82,59.85,1.63,True,False,False,True,3.5,2
ICOI,3,11.0,2025-07-16 21:33:50,60.82,59.85,1.63,True,False,False,True,3.5,2
ICOI,3,11.0,2025-07-16 21:34:30,60.82,59.85,1.63,True,False,False,True,3.5,2
ICOI,3,11.0,2025-07-16 21:40:52,60.82,59.85,1.63,True,False,False,True,3.5,2
ICOI,2,8.0,2025-07-16 22:50:12,60.82,59.85,1.63,True,False,False,True,3.5,2
ICOI,3,11.0,2025-07-16 23:01:00,60.82,59.85,1.63,True,False,False,True,3.5,2
ICOI,2,11.0,2025-07-17 09:39:56,60.75,59.85,1.5,True,False,False,True,3.5,2
ICOI,2,8.0,2025-07-17 10:09:26,61.59,59.85,2.91,True,False,False,True,3.5,2
ICOI,2,11.0,2025-07-17 10:10:23,61.59,59.85,2.91,True,False,False,True,3.5,2
ICOI,2,11.0,2025-07-17 10:39:24,62.19,59.85,3.91,True,False,False,True,3.5,2
ICOI,2,11.0,2025-07-18 11:53:30,63.72,59.85,6.46,True,False,False,True,3.5,2
ICOI,2,11.0,2025-07-18 11:56:34,63.72,59.85,6.46,True,False,False,True,3.5,2
ICOI,2,8.0,2025-07-18 13:48:01,62.02,59.85,3.63,True,False,False,True,7.0,2
ICOI,2,11.0,2025-07-18 13:53:50,62.02,59.85,3.63,True,False,False,True,7.0,2
