asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
INTC,6,0.16,2025-06-22 22:31:52,21.08,21.56,-2.23,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-22 22:32:57,21.08,21.56,-2.23,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-22 22:33:27,21.08,21.56,-2.23,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-22 22:34:15,21.08,21.56,-2.23,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-22 22:35:05,21.08,21.56,-2.23,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-22 22:37:31,21.08,21.56,-2.23,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-22 22:38:53,21.08,21.56,-2.23,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-22 22:39:57,21.08,21.56,-2.23,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-22 22:43:27,21.08,21.56,-2.23,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-22 22:43:58,21.08,21.56,-2.23,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-23 22:04:06,21.38,21.56,-0.84,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-23 22:05:10,21.38,21.56,-0.84,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-23 22:17:21,21.38,21.56,-0.84,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-23 22:17:35,21.38,21.56,-0.84,False,True,False,False,7.5,2
INTC,6,0.16,2025-06-23 22:44:25,21.38,21.56,-0.84,False,True,False,False,7.5,2
INTC,4.21,0.05,2025-08-06 00:53:09,20.19,20.5,-1.5,False,True,False,False,7.0,2
INTC,4.26,0.05,2025-08-10 23:25:38,19.95,20.5,-2.67,False,True,False,False,7.0,2
INTC,4.26,0.05,2025-08-10 23:26:05,19.95,20.5,-2.67,False,True,False,False,7.0,2
INTC,4.26,0.05,2025-08-10 23:27:43,19.95,20.5,-2.67,False,True,False,False,7.0,2
INTC,4.26,0.05,2025-08-10 23:29:18,19.95,20.5,-2.67,False,True,False,False,7.0,2
INTC,4.26,0.05,2025-08-10 23:30:26,19.95,20.5,-2.67,False,True,False,False,7.0,2
INTC,3.9,0.01,2025-08-12 19:55:01,21.78,20.5,6.25,True,False,False,False,7.0,2
INTC,3.91,3.32,2025-08-12 20:07:18,21.73,21.77,-0.2,False,True,False,True,7.0,2
INTC,3.91,3.32,2025-08-12 20:11:27,21.73,21.77,-0.2,False,True,False,True,7.0,2
INTC,3.35,1.39,2025-08-15 02:30:53,23.86,24.34,-1.98,False,True,False,True,7.0,2
INTC,3.35,1.39,2025-08-15 02:38:02,23.86,24.34,-1.98,False,True,False,True,7.0,2
INTC,3.21,1.39,2025-08-15 04:06:54,24.93,24.34,2.42,False,True,False,True,7.0,2
INTC,3.27,1.39,2025-08-15 04:36:54,24.45,24.34,0.45,False,True,False,True,7.0,2
INTC,3.21,0.01,2025-08-15 11:29:14,24.89,24.34,2.26,False,True,False,False,7.0,2
INTC,3.16,0.01,2025-08-15 11:58:30,25.29,24.34,3.88,True,False,False,False,7.0,2
INTC,3.18,0.01,2025-08-15 12:13:29,25.16,24.34,3.38,True,False,False,False,7.0,2
INTC,3.17,0.01,2025-08-15 12:32:43,25.24,24.34,3.69,True,False,False,False,7.0,2
INTC,3.17,0.01,2025-08-15 12:33:16,25.25,24.34,3.71,True,False,False,False,7.0,2
INTC,3.14,0.01,2025-08-15 13:35:02,25.46,24.34,4.6,True,False,False,False,7.0,2
INTC,3.16,0.01,2025-08-20 03:58:54,25.31,25.35,-0.16,False,True,False,False,7.0,2
INTC,3.22,0.01,2025-08-20 04:00:12,24.88,25.35,-1.85,False,True,False,False,7.0,2
INTC,3.21,0.01,2025-08-20 04:00:30,24.96,25.35,-1.54,False,True,False,False,7.0,2
INTC,3.2,0.01,2025-08-20 04:00:38,25.0,25.35,-1.38,False,True,False,False,7.0,2
