asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
IVVW,0.87,1.0,2025-10-10 12:42:39,45.78,45.82,-0.1,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 12:42:42,45.78,45.82,-0.1,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 12:42:47,45.78,45.82,-0.1,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 12:42:53,45.78,45.82,-0.1,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 12:42:59,45.78,45.82,-0.1,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 12:43:30,45.78,45.82,-0.1,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 13:56:52,45.8,45.82,-0.04,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 13:56:58,45.8,45.82,-0.04,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 13:57:04,45.8,45.82,-0.04,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 13:57:11,45.8,45.82,-0.04,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 13:58:10,45.8,45.82,-0.04,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 13:58:16,45.8,45.82,-0.04,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 13:58:22,45.8,45.82,-0.04,False,True,False,True,10.5,2
IVVW,0.87,1.0,2025-10-10 13:58:28,45.8,45.82,-0.04,False,True,False,True,10.5,2
IVVW,0.88,1.0,2025-10-10 16:13:36,45.44,45.82,-0.83,False,True,False,True,10.5,2
IVVW,0.88,1.0,2025-10-10 16:13:41,45.44,45.82,-0.83,False,True,False,True,10.5,2
IVVW,0.88,1.0,2025-10-10 16:13:46,45.44,45.82,-0.83,False,True,False,True,10.5,2
IVVW,0.88,1.0,2025-10-10 16:13:51,45.44,45.82,-0.83,False,True,False,True,10.5,2
IVVW,0.88,1.0,2025-10-12 23:59:48,45.44,45.82,-0.83,False,True,False,True,7.0,2
IVVW,0.88,1.0,2025-10-13 00:04:45,45.44,45.82,-0.83,False,True,False,True,7.0,2
IVVW,0.87,1.0,2025-10-13 12:35:31,45.9,45.82,0.17,False,True,False,True,7.0,2
IVVW,0.87,1.0,2025-10-13 18:00:13,45.94,45.82,0.26,False,True,False,True,7.0,2
IVVW,0.87,1.0,2025-10-13 20:21:59,45.94,45.82,0.26,False,True,False,True,7.0,2
IVVW,0.87,1.0,2025-10-13 21:48:53,45.94,45.82,0.26,False,True,False,True,7.0,2
IVVW,0.87,1.0,2025-10-14 03:41:16,45.94,45.82,0.26,False,True,False,True,7.0,2
IVVW,0.87,1.0,2025-10-14 03:41:19,45.94,45.82,0.26,False,True,False,True,7.0,2
IVVW,0.87,1.0,2025-10-14 03:41:24,45.94,45.82,0.26,False,True,False,True,7.0,2
IVVW,0.87,1.0,2025-10-14 04:04:29,45.94,45.82,0.26,False,True,False,True,7.0,2
IVVW,0.87,1.0,2025-10-14 04:04:34,45.94,45.82,0.26,False,True,False,True,7.0,2
IVVW,0.87,1.0,2025-10-14 04:04:39,45.94,45.82,0.26,False,True,False,True,7.0,2
