asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
KO,1.2,0.02,2025-08-12 19:55:01,70.68,70.89,-0.3,False,True,False,False,7.0,2
KO,1.2,0.02,2025-08-12 20:07:18,70.68,70.89,-0.3,False,True,False,False,7.0,2
KO,1.2,0.02,2025-08-12 20:11:27,70.68,70.89,-0.3,False,True,False,False,7.0,2
KO,1.15,0.02,2025-08-15 02:30:53,69.55,70.89,-1.89,False,True,False,False,7.0,2
KO,1.15,0.02,2025-08-15 02:38:02,69.55,70.89,-1.89,False,True,False,False,7.0,2
KO,1.15,0.02,2025-08-15 04:06:54,69.64,70.89,-1.76,False,True,False,False,7.0,2
KO,1.15,0.02,2025-08-15 04:36:54,69.64,70.89,-1.76,False,True,False,False,7.0,2
KO,1.15,0.02,2025-08-15 11:29:14,69.75,70.89,-1.62,False,True,False,False,7.0,2
KO,1.15,0.02,2025-08-15 11:58:30,69.84,70.89,-1.47,False,True,False,False,7.0,2
KO,1.15,0.02,2025-08-15 12:13:29,69.83,70.89,-1.5,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-15 12:32:43,69.87,70.89,-1.44,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-15 12:33:16,69.88,70.89,-1.43,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-15 13:35:02,69.97,70.89,-1.29,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-20 03:58:54,70.13,70.89,-1.07,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-20 04:00:12,70.12,70.89,-1.09,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-20 04:00:30,70.12,70.89,-1.09,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-20 04:00:38,70.12,70.89,-1.09,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-20 04:00:48,70.12,70.89,-1.09,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-20 04:01:44,70.12,70.89,-1.09,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-20 04:02:20,70.12,70.89,-1.09,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-20 04:02:40,70.12,70.89,-1.09,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-20 04:06:17,70.12,70.89,-1.09,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-20 04:10:01,70.12,70.89,-1.09,False,True,False,False,7.0,2
KO,1.14,0.02,2025-08-20 04:11:54,70.12,70.89,-1.09,False,True,False,False,7.0,2
KO,1.13,0.01,2025-08-21 12:47:54,70.53,70.89,-0.51,False,True,False,False,7.0,2
KO,1.13,0.01,2025-08-21 12:48:57,70.52,70.89,-0.52,False,True,False,False,10.5,2
KO,1.13,0.01,2025-08-21 13:10:48,70.56,70.89,-0.47,False,True,False,False,10.5,2
KO,1.13,0.01,2025-08-21 13:11:49,70.57,70.89,-0.45,False,True,False,False,10.5,2
KO,1.13,0.01,2025-08-21 13:12:52,70.55,70.89,-0.48,False,True,False,False,10.5,2
KO,1.13,0.01,2025-08-21 13:28:14,70.53,70.89,-0.51,False,True,False,False,10.5,2
KO,1.13,0.01,2025-08-21 13:32:46,70.53,70.89,-0.51,False,True,False,False,10.5,2
KO,1.13,0.01,2025-08-21 13:35:04,70.55,70.89,-0.49,False,True,False,False,10.5,2
KO,1.16,0.01,2025-08-25 16:18:32,68.95,70.89,-2.74,False,True,False,False,10.5,2
KO,1.16,0.01,2025-08-25 16:20:39,68.95,70.89,-2.74,False,True,False,False,10.5,2
KO,1.16,0.01,2025-08-25 16:47:24,69.02,70.89,-2.64,False,True,False,False,10.5,2
KO,1.16,0.01,2025-08-26 18:47:51,68.83,70.89,-2.91,False,True,False,False,7.0,2
KO,1.16,0.01,2025-08-26 18:53:22,68.83,70.89,-2.91,False,True,False,False,7.0,2
