asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
LLY,0.12,0.01,2025-08-25 16:18:32,695.33,709.74,-2.03,False,True,False,False,10.5,2
LLY,0.12,0.01,2025-08-25 16:20:39,695.01,709.74,-2.08,False,True,False,False,10.5,2
LLY,0.12,0.01,2025-08-25 16:47:24,695.33,709.74,-2.03,False,True,False,False,10.5,2
LLY,0.11,0.01,2025-08-26 18:47:51,735.5,709.74,3.63,True,False,False,False,7.0,2
LLY,0.11,0.01,2025-08-26 18:53:22,734.19,709.74,3.44,True,False,False,False,7.0,2
LLY,0.11,0.01,2025-08-26 23:50:53,736.03,709.74,3.7,True,False,False,False,7.0,2
LLY,0.11,0.01,2025-08-28 15:20:47,731.14,736.33,-0.7,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-08-28 17:07:49,731.12,736.33,-0.71,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-08-28 17:18:45,730.6,736.33,-0.78,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-08-28 19:02:01,731.96,736.33,-0.59,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-08-28 19:03:13,731.96,736.33,-0.59,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-08-29 19:18:40,731.92,742.98,-1.49,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-04 13:44:36,745.55,742.98,0.35,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-04 13:46:09,745.56,742.98,0.35,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-08 01:15:12,727.21,742.98,-2.12,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-08 01:16:41,727.21,742.98,-2.12,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-08 01:21:01,727.21,742.98,-2.12,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-08 01:33:51,727.21,742.98,-2.12,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-08 01:36:01,727.21,742.98,-2.12,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-08 22:32:20,738.64,742.98,-0.58,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-08 22:34:53,738.64,742.98,-0.58,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-08 22:37:47,738.64,742.98,-0.58,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-08 22:47:17,738.64,742.98,-0.58,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-11 22:51:54,756.28,742.98,1.79,False,True,False,False,7.0,2
LLY,0.11,0.01,2025-09-12 19:52:12,752.96,742.98,1.34,False,True,False,False,7.0,2
LLY,0.1,0.04,2025-09-18 10:11:43,767.4,760.92,0.85,False,True,False,False,7.0,2
LLY,0.11,0.04,2025-09-20 21:52:37,751.99,760.92,-1.17,False,True,False,False,7.0,2
LLY,0.11,0.04,2025-09-20 21:53:55,751.99,760.92,-1.17,False,True,False,False,7.0,2
LLY,0.11,0.04,2025-09-20 22:08:23,751.99,760.92,-1.17,False,True,False,False,7.0,2
LLY,0.11,0.04,2025-09-20 22:10:08,751.99,760.92,-1.17,False,True,False,False,7.0,2
LLY,0.11,0.04,2025-09-20 22:12:57,751.99,760.92,-1.17,False,True,False,False,7.0,2
LLY,0.11,0.04,2025-09-20 22:14:12,751.99,760.92,-1.17,False,True,False,False,7.0,2
LLY,0.1,0.01,2025-10-01 17:13:14,824.0,760.92,8.29,True,False,False,False,7.0,2
LLY,0.1,0.01,2025-10-01 17:13:31,824.0,760.92,8.29,True,False,False,False,7.0,2
LLY,0.1,0.01,2025-10-01 17:13:52,824.0,760.92,8.29,True,False,False,False,7.0,2
LLY,0.1,0.01,2025-10-01 17:14:30,824.0,760.92,8.29,True,False,False,False,7.0,2
LLY,0.1,0.01,2025-10-01 17:14:50,824.0,760.92,8.29,True,False,False,False,7.0,2
LLY,0.1,0.01,2025-10-01 17:15:08,824.0,760.92,8.29,True,False,False,False,7.0,2
LLY,0.1,0.01,2025-10-01 17:22:27,823.2,760.92,8.19,True,False,False,False,7.0,2
