asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
LOW,0.34,0.01,2025-10-09 12:49:05,236.47,236.41,0.03,False,True,False,False,7.0,2
LOW,0.34,0.01,2025-10-09 13:03:41,235.48,236.41,-0.39,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:03:56,235.4,236.41,-0.43,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:04:46,235.35,236.41,-0.45,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:12:41,235.42,236.41,-0.42,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:18:48,235.28,236.41,-0.48,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:35:27,235.38,236.41,-0.44,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:35:33,235.44,236.41,-0.41,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:35:37,235.44,236.41,-0.41,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:35:41,235.44,236.41,-0.41,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:39:24,235.47,236.41,-0.4,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:43:07,235.22,236.41,-0.5,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:45:06,235.34,236.41,-0.45,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:47:36,235.43,236.41,-0.41,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:47:41,235.45,236.41,-0.41,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:47:46,235.45,236.41,-0.41,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:47:52,235.42,236.41,-0.42,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:51:08,235.55,236.41,-0.36,False,True,False,False,7.0,2
LOW,0.34,0.01,2025-10-09 13:51:14,235.55,236.41,-0.36,False,True,False,False,7.0,2
LOW,0.34,0.01,2025-10-09 13:51:19,235.55,236.41,-0.36,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:51:24,235.51,236.41,-0.38,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:58:24,235.1,236.41,-0.55,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:58:30,235.1,236.41,-0.55,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:58:35,235.1,236.41,-0.55,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 13:58:41,235.09,236.41,-0.56,False,True,False,False,10.5,2
LOW,0.34,0.01,2025-10-09 16:05:54,234.67,236.41,-0.74,False,True,False,False,7.0,2
LOW,0.34,0.01,2025-10-09 16:07:47,234.67,236.41,-0.74,False,True,False,False,7.0,2
LOW,0.34,0.01,2025-10-09 16:07:50,234.67,236.41,-0.74,False,True,False,False,7.0,2
LOW,0.34,0.01,2025-10-09 16:07:54,234.67,236.41,-0.74,False,True,False,False,7.0,2
