asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MARA,4.89,0.07,2025-09-12 19:52:12,16.35,16.41,-0.35,False,True,False,False,7.0,2
MARA,4.48,1.93,2025-09-18 10:11:43,17.87,17.49,2.17,False,True,False,True,7.0,2
MARA,4.37,1.8,2025-09-20 21:52:37,18.29,18.79,-2.68,False,True,False,True,7.0,2
MARA,4.37,1.8,2025-09-20 21:53:55,18.29,18.79,-2.68,False,True,False,True,7.0,2
MARA,4.37,1.8,2025-09-20 22:08:23,18.29,18.79,-2.68,False,True,False,True,7.0,2
MARA,4.37,1.8,2025-09-20 22:10:08,18.29,18.79,-2.68,False,True,False,True,7.0,2
MARA,4.37,1.8,2025-09-20 22:12:57,18.29,18.79,-2.68,False,True,False,True,7.0,2
MARA,4.37,1.8,2025-09-20 22:14:12,18.29,18.79,-2.68,False,True,False,True,7.0,2
MARA,4.3,1.8,2025-10-01 17:13:14,18.6,18.79,-1.03,False,True,False,True,7.0,2
MARA,4.3,1.8,2025-10-01 17:13:31,18.6,18.79,-1.03,False,True,False,True,7.0,2
MARA,4.3,1.8,2025-10-01 17:13:52,18.61,18.79,-0.97,False,True,False,True,7.0,2
MARA,4.3,1.8,2025-10-01 17:14:30,18.61,18.79,-0.98,False,True,False,True,7.0,2
MARA,4.3,1.8,2025-10-01 17:14:50,18.61,18.79,-0.98,False,True,False,True,7.0,2
MARA,4.3,1.8,2025-10-01 17:15:08,18.61,18.79,-0.97,False,True,False,True,7.0,2
MARA,4.31,1.8,2025-10-01 17:22:27,18.58,18.79,-1.13,False,True,False,True,7.0,2
MARA,4.31,1.8,2025-10-01 17:22:51,18.58,18.79,-1.13,False,True,False,True,7.0,2
MARA,4.31,1.8,2025-10-01 17:23:02,18.58,18.79,-1.13,False,True,False,True,7.0,2
MARA,4.26,1.8,2025-10-02 16:28:28,18.76,18.79,-0.17,False,True,False,True,7.0,2
MARA,4.27,1.8,2025-10-02 16:32:22,18.75,18.79,-0.23,False,True,False,True,7.0,2
MARA,4.26,1.8,2025-10-03 16:40:19,18.79,18.79,-0.01,False,True,False,True,7.0,2
MARA,4.26,1.8,2025-10-03 16:46:23,18.8,18.79,0.04,False,True,False,True,7.0,2
MARA,4.26,1.8,2025-10-03 16:49:31,18.78,18.79,-0.07,False,True,False,True,7.0,2
MARA,4.25,1.8,2025-10-04 01:18:58,18.82,18.79,0.14,False,True,False,True,7.0,2
MARA,4.25,1.8,2025-10-05 04:15:34,18.82,18.79,0.14,False,True,False,True,7.0,2
MARA,4.25,1.8,2025-10-05 04:27:18,18.82,18.79,0.14,False,True,False,True,7.0,2
MARA,4.25,1.8,2025-10-05 04:28:08,18.82,18.79,0.14,False,True,False,True,7.0,2
MARA,4.25,1.8,2025-10-05 04:44:06,18.82,18.79,0.14,False,True,False,True,7.0,2
MARA,4.25,1.8,2025-10-05 04:49:20,18.82,18.79,0.14,False,True,False,True,7.0,2
MARA,4.25,1.8,2025-10-05 04:49:59,18.82,18.79,0.14,False,True,False,True,7.0,2
MARA,4.25,1.8,2025-10-05 04:52:19,18.82,18.79,0.14,False,True,False,True,7.0,2
MARA,3.96,3.28,2025-10-09 01:09:05,20.2,20.47,-1.34,False,True,False,True,7.0,2
MARA,3.96,3.28,2025-10-09 01:16:15,20.2,20.47,-1.34,False,True,False,True,7.0,2
MARA,3.96,3.28,2025-10-09 01:20:42,20.2,20.47,-1.34,False,True,False,True,7.0,2
MARA,3.96,3.28,2025-10-09 01:26:03,20.2,20.47,-1.34,False,True,False,True,7.0,2
MARA,3.96,3.28,2025-10-09 01:26:09,20.2,20.47,-1.34,False,True,False,True,7.0,2
MARA,3.96,3.28,2025-10-09 01:26:12,20.2,20.47,-1.34,False,True,False,True,7.0,2
MARA,3.96,3.28,2025-10-09 01:26:16,20.2,20.47,-1.34,False,True,False,True,7.0,2
MARA,3.96,3.28,2025-10-09 01:26:19,20.2,20.47,-1.34,False,True,False,True,7.0,2
MARA,3.96,3.28,2025-10-09 01:26:22,20.2,20.47,-1.34,False,True,False,True,7.0,2
MARA,4.04,3.33,2025-10-09 12:49:05,19.8,20.47,-3.27,False,True,False,True,7.0,2
MARA,4.08,3.33,2025-10-09 13:03:41,19.59,20.47,-4.28,False,True,False,True,10.5,2
MARA,4.08,3.33,2025-10-09 13:03:56,19.61,20.47,-4.19,False,True,False,True,10.5,2
MARA,4.08,3.33,2025-10-09 13:04:46,19.62,20.47,-4.12,False,True,False,True,10.5,2
MARA,4.06,3.33,2025-10-09 13:12:41,19.69,20.47,-3.81,False,True,False,True,10.5,2
MARA,4.06,3.33,2025-10-09 13:18:48,19.7,20.47,-3.73,False,True,False,True,10.5,2
MARA,4.07,3.33,2025-10-09 13:35:27,19.64,20.47,-4.04,False,True,False,True,10.5,2
MARA,4.07,3.33,2025-10-09 13:35:33,19.64,20.47,-4.04,False,True,False,True,10.5,2
MARA,4.07,3.33,2025-10-09 13:35:37,19.64,20.47,-4.02,False,True,False,True,10.5,2
MARA,4.07,3.33,2025-10-09 13:35:41,19.64,20.47,-4.02,False,True,False,True,10.5,2
MARA,4.04,3.33,2025-10-09 13:39:24,19.8,20.47,-3.26,False,True,False,True,10.5,2
MARA,4.03,3.33,2025-10-09 13:43:07,19.84,20.47,-3.07,False,True,False,True,10.5,2
MARA,4.03,3.33,2025-10-09 13:45:06,19.86,20.47,-2.99,False,True,False,True,10.5,2
MARA,4.03,3.33,2025-10-09 13:47:36,19.86,20.47,-2.94,False,True,False,True,10.5,2
MARA,4.03,3.33,2025-10-09 13:47:41,19.87,20.47,-2.92,False,True,False,True,10.5,2
MARA,4.03,3.33,2025-10-09 13:47:46,19.87,20.47,-2.92,False,True,False,True,10.5,2
MARA,4.03,3.33,2025-10-09 13:47:52,19.87,20.47,-2.92,False,True,False,True,10.5,2
MARA,4.02,3.33,2025-10-09 13:51:08,19.89,20.47,-2.82,False,True,False,True,7.0,2
MARA,4.02,3.33,2025-10-09 13:51:14,19.89,20.47,-2.82,False,True,False,True,7.0,2
MARA,4.02,3.33,2025-10-09 13:51:19,19.89,20.47,-2.81,False,True,False,True,10.5,2
MARA,4.02,3.33,2025-10-09 13:51:24,19.91,20.47,-2.75,False,True,False,True,10.5,2
MARA,4.01,3.33,2025-10-09 13:58:24,19.95,20.47,-2.54,False,True,False,True,10.5,2
MARA,4.01,3.33,2025-10-09 13:58:30,19.95,20.47,-2.55,False,True,False,True,10.5,2
MARA,4.01,3.33,2025-10-09 13:58:35,19.93,20.47,-2.6,False,True,False,True,10.5,2
MARA,4.01,3.33,2025-10-09 13:58:41,19.93,20.47,-2.63,False,True,False,True,10.5,2
MARA,3.97,3.33,2025-10-09 16:05:54,20.16,20.47,-1.5,False,True,False,True,7.0,2
MARA,3.96,3.33,2025-10-09 16:07:47,20.18,20.47,-1.42,False,True,False,True,7.0,2
MARA,3.96,3.33,2025-10-09 16:07:50,20.18,20.47,-1.42,False,True,False,True,7.0,2
MARA,3.96,3.33,2025-10-09 16:07:54,20.18,20.47,-1.42,False,True,False,True,7.0,2
