asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MCD,0.28,0.01,2025-08-12 19:55:01,301.6,304.74,-1.03,False,True,False,False,7.0,2
MCD,0.28,0.01,2025-08-12 20:07:18,301.6,304.74,-1.03,False,True,False,False,7.0,2
MCD,0.28,0.01,2025-08-12 20:11:27,301.6,304.74,-1.03,False,True,False,False,7.0,2
MCD,0.26,0.01,2025-08-15 02:30:53,308.95,304.74,1.38,False,True,False,False,7.0,2
MCD,0.26,0.01,2025-08-15 02:38:02,308.95,304.74,1.38,False,True,False,False,7.0,2
MCD,0.26,0.01,2025-08-15 04:06:54,308.6,304.74,1.27,False,True,False,False,7.0,2
MCD,0.26,0.01,2025-08-15 04:36:54,308.53,304.74,1.24,False,True,False,False,7.0,2
MCD,0.26,0.01,2025-08-15 11:29:14,307.61,304.74,0.94,False,True,False,False,7.0,2
MCD,0.26,0.01,2025-08-15 11:58:30,308.07,304.74,1.09,False,True,False,False,7.0,2
MCD,0.26,0.01,2025-08-15 12:13:29,308.36,304.74,1.19,False,True,False,False,7.0,2
MCD,0.26,0.01,2025-08-15 12:32:43,308.65,304.74,1.28,False,True,False,False,7.0,2
MCD,0.26,0.01,2025-08-15 12:33:16,308.65,304.74,1.28,False,True,False,False,7.0,2
MCD,0.26,0.01,2025-08-15 13:35:02,308.72,304.74,1.31,False,True,False,False,7.0,2
MCD,0.26,0.11,2025-08-20 03:58:54,310.93,311.25,-0.1,False,True,False,False,7.0,2
MCD,0.26,0.11,2025-08-20 04:00:12,310.92,311.25,-0.11,False,True,False,False,7.0,2
MCD,0.26,0.11,2025-08-20 04:00:30,310.92,311.25,-0.11,False,True,False,False,7.0,2
MCD,0.26,0.11,2025-08-20 04:00:38,310.92,311.25,-0.11,False,True,False,False,7.0,2
MCD,0.26,0.11,2025-08-20 04:00:48,310.92,311.25,-0.11,False,True,False,False,7.0,2
MCD,0.26,0.11,2025-08-20 04:01:44,310.92,311.25,-0.11,False,True,False,False,7.0,2
MCD,0.26,0.11,2025-08-20 04:02:20,310.92,311.25,-0.11,False,True,False,False,7.0,2
MCD,0.26,0.11,2025-08-20 04:02:40,310.92,311.25,-0.11,False,True,False,False,7.0,2
MCD,0.26,0.11,2025-08-20 04:06:17,310.92,311.25,-0.11,False,True,False,False,7.0,2
MCD,0.26,0.11,2025-08-20 04:10:01,310.92,311.25,-0.11,False,True,False,False,7.0,2
MCD,0.26,0.11,2025-08-20 04:11:54,310.92,311.25,-0.11,False,True,False,False,7.0,2
MCD,0.26,0.01,2025-08-21 12:47:54,311.88,311.9,-0.01,False,True,False,False,7.0,2
MCD,0.26,0.01,2025-08-21 12:48:57,311.9,311.9,0.0,False,True,False,False,10.5,2
