asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MCHP,1.37,0.01,2025-08-10 23:25:38,61.87,61.0,1.43,False,True,False,False,7.0,2
MCHP,1.37,0.01,2025-08-10 23:26:05,61.87,61.0,1.43,False,True,False,False,7.0,2
MCHP,1.37,0.01,2025-08-10 23:27:43,61.87,61.0,1.43,False,True,False,False,7.0,2
MCHP,1.37,0.01,2025-08-10 23:29:18,61.87,61.0,1.43,False,True,False,False,7.0,2
MCHP,1.37,0.01,2025-08-10 23:30:26,61.87,61.0,1.43,False,True,False,False,7.0,2
MCHP,1.32,0.01,2025-08-12 19:55:01,64.49,61.0,5.72,True,False,False,False,7.0,2
MCHP,1.32,1.12,2025-08-12 20:07:18,64.49,64.46,0.05,False,True,False,True,7.0,2
MCHP,1.32,1.12,2025-08-12 20:11:27,64.49,64.46,0.05,False,True,False,True,7.0,2
MCHP,1.21,0.01,2025-08-15 02:30:53,65.99,64.46,2.38,False,True,False,False,7.0,2
MCHP,1.21,0.01,2025-08-15 02:38:02,65.99,64.46,2.38,False,True,False,False,7.0,2
MCHP,1.2,0.01,2025-08-15 04:06:54,66.93,64.49,3.78,True,False,False,False,7.0,2
MCHP,1.2,0.51,2025-08-15 04:36:54,66.93,66.85,0.12,False,True,False,False,7.0,2
MCHP,1.21,0.51,2025-08-15 11:29:14,66.3,66.85,-0.83,False,True,False,False,7.0,2
MCHP,1.21,0.51,2025-08-15 11:58:30,66.37,66.85,-0.72,False,True,False,False,7.0,2
MCHP,1.21,0.51,2025-08-15 12:13:29,66.25,66.85,-0.89,False,True,False,False,7.0,2
MCHP,1.21,0.51,2025-08-15 12:32:43,65.89,66.85,-1.44,False,True,False,False,7.0,2
MCHP,1.21,0.51,2025-08-15 12:33:16,65.85,66.85,-1.49,False,True,False,False,7.0,2
MCHP,1.21,0.51,2025-08-15 13:35:02,66.12,66.85,-1.09,False,True,False,False,7.0,2
MCHP,1.24,0.51,2025-08-20 03:58:54,64.71,66.85,-3.2,False,True,False,False,7.0,2
MCHP,1.24,0.51,2025-08-20 04:00:12,64.69,66.85,-3.23,False,True,False,False,7.0,2
MCHP,1.24,0.51,2025-08-20 04:00:30,64.69,66.85,-3.23,False,True,False,False,7.0,2
MCHP,1.24,0.51,2025-08-20 04:00:38,64.69,66.85,-3.23,False,True,False,False,7.0,2
MCHP,1.24,0.51,2025-08-20 04:00:48,64.69,66.85,-3.23,False,True,False,False,7.0,2
MCHP,1.24,0.51,2025-08-20 04:01:44,64.69,66.85,-3.23,False,True,False,False,7.0,2
MCHP,1.24,0.51,2025-08-20 04:02:20,64.69,66.85,-3.23,False,True,False,False,7.0,2
MCHP,1.24,0.51,2025-08-20 04:02:40,64.69,66.85,-3.23,False,True,False,False,7.0,2
MCHP,1.24,0.51,2025-08-20 04:06:17,64.69,66.85,-3.23,False,True,False,False,7.0,2
MCHP,1.24,0.51,2025-08-20 04:10:01,64.69,66.85,-3.23,False,True,False,False,7.0,2
MCHP,1.24,0.51,2025-08-20 04:11:54,64.69,66.85,-3.23,False,True,False,False,7.0,2
MCHP,1.21,0.51,2025-08-21 12:47:54,66.04,66.85,-1.21,False,True,False,False,7.0,2
MCHP,1.21,0.51,2025-08-21 12:48:57,66.0,66.85,-1.27,False,True,False,False,10.5,2
MCHP,1.21,0.51,2025-08-21 13:10:48,66.14,66.85,-1.07,False,True,False,False,10.5,2
MCHP,1.21,0.51,2025-08-21 13:11:49,66.08,66.85,-1.16,False,True,False,False,10.5,2
MCHP,1.21,0.51,2025-08-21 13:12:52,66.12,66.85,-1.09,False,True,False,False,10.5,2
MCHP,1.21,0.51,2025-08-21 13:28:14,66.05,66.85,-1.2,False,True,False,False,10.5,2
MCHP,1.21,0.51,2025-08-21 13:32:46,66.15,66.85,-1.05,False,True,False,False,10.5,2
MCHP,1.21,0.51,2025-08-21 13:35:04,66.29,66.85,-0.84,False,True,False,False,10.5,2
MCHP,1.17,0.48,2025-08-25 16:18:32,68.55,69.63,-1.55,False,True,False,False,10.5,2
MCHP,1.17,0.48,2025-08-25 16:20:39,68.55,69.63,-1.55,False,True,False,False,10.5,2
MCHP,1.17,0.48,2025-08-25 16:47:24,68.55,69.63,-1.55,False,True,False,False,10.5,2
MCHP,1.18,0.48,2025-08-26 18:47:51,67.72,69.63,-2.74,False,True,False,False,7.0,2
MCHP,1.18,0.48,2025-08-26 18:53:22,67.72,69.63,-2.74,False,True,False,False,7.0,2
MCHP,1.18,0.48,2025-08-26 23:50:53,67.62,69.63,-2.88,False,True,False,False,7.0,2
MCHP,1.22,0.48,2025-08-28 15:20:47,65.44,69.63,-6.0,False,True,False,False,7.0,2
MCHP,1.23,0.48,2025-08-28 17:07:49,64.8,69.63,-6.93,False,True,False,False,7.0,2
MCHP,1.23,0.48,2025-08-28 17:18:45,64.8,69.63,-6.93,False,True,False,False,7.0,2
MCHP,1.23,0.48,2025-08-28 19:02:01,64.9,69.63,-6.79,False,True,False,False,7.0,2
MCHP,1.23,0.48,2025-08-28 19:03:13,64.9,69.63,-6.79,False,True,False,False,7.0,2
MCHP,1.23,0.48,2025-08-29 19:18:40,65.24,69.63,-6.3,False,True,False,False,7.0,2
MCHP,1.25,0.48,2025-09-04 13:44:36,64.07,69.63,-7.98,False,False,True,False,7.0,2
MCHP,1.25,0.48,2025-09-04 13:46:09,64.02,69.63,-8.05,False,False,True,False,7.0,2
MCHP,1.21,0.48,2025-09-08 01:15:12,65.92,69.63,-5.32,False,True,False,False,7.0,2
MCHP,1.21,0.48,2025-09-08 01:16:41,65.92,69.63,-5.32,False,True,False,False,7.0,2
MCHP,1.21,0.48,2025-09-08 01:21:01,65.92,69.63,-5.32,False,True,False,False,7.0,2
MCHP,1.21,0.48,2025-09-08 01:33:51,65.92,69.63,-5.32,False,True,False,False,7.0,2
MCHP,1.21,0.48,2025-09-08 01:36:01,65.92,69.63,-5.32,False,True,False,False,7.0,2
MCHP,1.23,0.48,2025-09-08 22:32:20,65.3,69.63,-6.21,False,True,False,False,7.0,2
MCHP,1.23,0.48,2025-09-08 22:34:53,65.3,69.63,-6.21,False,True,False,False,7.0,2
MCHP,1.23,0.48,2025-09-08 22:37:47,65.3,69.63,-6.21,False,True,False,False,7.0,2
MCHP,1.23,0.48,2025-09-08 22:47:17,65.3,69.63,-6.21,False,True,False,False,7.0,2
MCHP,1.23,0.48,2025-09-11 22:51:54,65.02,69.63,-6.62,False,True,False,False,7.0,2
