asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
META,0.11,0.01,2025-10-09 12:49:05,725.49,714.18,1.58,False,True,False,False,7.0,2
META,0.11,0.01,2025-10-09 13:03:41,726.13,714.18,1.67,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:03:56,726.06,714.18,1.66,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:04:46,726.61,714.18,1.74,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:12:41,726.28,714.18,1.7,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:18:48,726.38,714.18,1.71,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:35:27,726.5,714.18,1.73,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:35:33,726.5,714.18,1.73,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:35:37,726.55,714.18,1.73,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:35:41,726.57,714.18,1.74,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:39:24,726.91,714.18,1.78,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:43:07,727.75,714.18,1.9,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:45:06,727.94,714.18,1.93,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:47:36,728.9,714.18,2.06,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:47:41,729.25,714.18,2.11,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:47:46,729.15,714.18,2.1,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:47:52,729.14,714.18,2.1,False,True,False,False,10.5,2
META,0.11,0.01,2025-10-09 13:51:08,728.84,714.18,2.05,False,True,False,False,7.0,2
META,0.11,0.01,2025-10-09 13:51:14,728.84,714.18,2.05,False,True,False,False,7.0,2
