asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MRK,1,0.02,2025-06-23 22:04:06,80.29,79.1,1.5,False,True,False,False,7.5,2
MRK,1,0.02,2025-06-23 22:05:10,80.29,79.1,1.5,False,True,False,False,7.5,2
MRK,1,0.02,2025-06-23 22:17:21,80.29,79.1,1.5,False,True,False,False,7.5,2
MRK,1,0.02,2025-06-23 22:17:35,80.29,79.1,1.5,False,True,False,False,7.5,2
MRK,1,0.02,2025-06-23 22:44:25,80.29,79.1,1.5,False,True,False,False,7.5,2
MRK,0.94,0.02,2025-08-25 16:18:32,85.2,87.16,-2.25,False,True,False,False,10.5,2
MRK,0.94,0.02,2025-08-25 16:20:39,85.2,87.16,-2.25,False,True,False,False,10.5,2
MRK,0.94,0.02,2025-08-25 16:47:24,85.33,87.16,-2.1,False,True,False,False,10.5,2
MRK,0.94,0.02,2025-08-26 18:47:51,84.99,87.16,-2.49,False,True,False,False,7.0,2
MRK,0.94,0.02,2025-08-26 18:53:22,84.99,87.16,-2.49,False,True,False,False,7.0,2
MRK,0.94,0.02,2025-08-26 23:50:53,84.99,87.16,-2.49,False,True,False,False,7.0,2
MRK,0.96,0.02,2025-08-28 15:20:47,83.44,87.16,-4.26,False,True,False,False,7.0,2
MRK,0.96,0.02,2025-08-28 17:07:49,83.26,87.16,-4.47,False,True,False,False,7.0,2
MRK,0.96,0.02,2025-08-28 17:18:45,83.26,87.16,-4.47,False,True,False,False,7.0,2
MRK,0.96,0.02,2025-08-28 19:02:01,83.37,87.16,-4.35,False,True,False,False,7.0,2
MRK,0.96,0.02,2025-08-28 19:03:13,83.37,87.16,-4.35,False,True,False,False,7.0,2
MRK,0.95,0.02,2025-08-29 19:18:40,84.15,87.16,-3.45,False,True,False,False,7.0,2
MRK,0.96,0.02,2025-09-04 13:44:36,83.45,87.16,-4.25,False,True,False,False,7.0,2
MRK,0.96,0.02,2025-09-04 13:46:09,83.47,87.16,-4.23,False,True,False,False,7.0,2
MRK,0.94,0.02,2025-09-08 01:15:12,84.71,87.16,-2.81,False,True,False,False,7.0,2
MRK,0.94,0.02,2025-09-08 01:16:41,84.71,87.16,-2.81,False,True,False,False,7.0,2
MRK,0.94,0.02,2025-09-08 01:21:01,84.71,87.16,-2.81,False,True,False,False,7.0,2
MRK,0.94,0.02,2025-09-08 01:33:51,84.71,87.16,-2.81,False,True,False,False,7.0,2
MRK,0.94,0.02,2025-09-08 01:36:01,84.71,87.16,-2.81,False,True,False,False,7.0,2
MRK,0.95,0.02,2025-09-08 22:32:20,84.09,87.16,-3.52,False,True,False,False,7.0,2
MRK,0.95,0.02,2025-09-08 22:34:53,84.09,87.16,-3.52,False,True,False,False,7.0,2
MRK,0.95,0.02,2025-09-08 22:37:47,84.09,87.16,-3.52,False,True,False,False,7.0,2
MRK,0.95,0.02,2025-09-08 22:47:17,84.09,87.16,-3.52,False,True,False,False,7.0,2
MRK,0.94,0.02,2025-09-11 22:51:54,85.15,87.16,-2.3,False,True,False,False,7.0,2
MRK,0.96,0.02,2025-09-12 19:52:12,83.16,87.16,-4.59,False,True,False,False,7.0,2
MRK,0.98,0.02,2025-09-18 10:11:43,81.41,87.16,-6.59,False,True,False,False,7.0,2
MRK,0.98,0.02,2025-09-20 21:52:37,81.51,87.16,-6.48,False,True,False,False,7.0,2
MRK,0.98,0.02,2025-09-20 21:53:55,81.51,87.16,-6.48,False,True,False,False,7.0,2
MRK,0.98,0.02,2025-09-20 22:08:23,81.51,87.16,-6.48,False,True,False,False,7.0,2
MRK,0.98,0.02,2025-09-20 22:10:08,81.51,87.16,-6.48,False,True,False,False,7.0,2
MRK,0.98,0.02,2025-09-20 22:12:57,81.51,87.16,-6.48,False,True,False,False,7.0,2
MRK,0.98,0.02,2025-09-20 22:14:12,81.51,87.16,-6.48,False,True,False,False,7.0,2
MRK,0.88,0.02,2025-10-01 17:13:14,90.45,87.16,3.78,True,False,False,False,7.0,2
MRK,0.88,0.02,2025-10-01 17:13:31,90.6,87.16,3.95,True,False,False,False,7.0,2
MRK,0.88,0.02,2025-10-01 17:13:52,90.6,87.16,3.95,True,False,False,False,7.0,2
MRK,0.88,0.02,2025-10-01 17:14:30,90.71,87.16,4.08,True,False,False,False,7.0,2
MRK,0.88,0.02,2025-10-01 17:14:50,90.71,87.16,4.08,True,False,False,False,7.0,2
MRK,0.88,0.02,2025-10-01 17:15:08,90.7,87.16,4.06,True,False,False,False,7.0,2
MRK,0.88,0.02,2025-10-01 17:22:27,90.95,87.16,4.35,True,False,False,False,7.0,2
MRK,0.88,0.02,2025-10-01 17:22:51,90.95,87.16,4.35,True,False,False,False,7.0,2
MRK,0.88,0.02,2025-10-01 17:23:02,90.95,87.16,4.35,True,False,False,False,7.0,2
MRK,0.9,0.37,2025-10-02 16:28:28,89.19,89.94,-0.83,False,True,False,False,7.0,2
