asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MRNA,2.87,1.2,2025-10-09 01:09:05,27.92,28.17,-0.87,False,True,False,True,7.0,2
MRNA,2.87,1.2,2025-10-09 01:16:15,27.92,28.17,-0.87,False,True,False,True,7.0,2
MRNA,2.87,1.2,2025-10-09 01:20:42,27.92,28.17,-0.87,False,True,False,True,7.0,2
MRNA,2.87,1.2,2025-10-09 01:26:03,27.92,28.17,-0.87,False,True,False,True,7.0,2
MRNA,2.87,1.2,2025-10-09 01:26:09,27.92,28.17,-0.87,False,True,False,True,7.0,2
MRNA,2.87,1.2,2025-10-09 01:26:12,27.92,28.17,-0.87,False,True,False,True,7.0,2
MRNA,2.87,1.2,2025-10-09 01:26:16,27.92,28.17,-0.87,False,True,False,True,7.0,2
MRNA,2.87,1.2,2025-10-09 01:26:19,27.92,28.17,-0.87,False,True,False,True,7.0,2
MRNA,2.87,1.2,2025-10-09 01:26:22,27.92,28.17,-0.87,False,True,False,True,7.0,2
MRNA,2.87,1.24,2025-10-09 12:49:05,27.84,28.15,-1.09,False,True,False,True,7.0,2
MRNA,2.9,1.24,2025-10-09 13:03:41,27.63,28.15,-1.84,False,True,False,True,10.5,2
MRNA,2.9,1.24,2025-10-09 13:03:56,27.62,28.15,-1.89,False,True,False,True,10.5,2
MRNA,2.9,1.24,2025-10-09 13:04:46,27.62,28.15,-1.89,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:12:41,27.64,28.15,-1.82,False,True,False,True,10.5,2
MRNA,2.9,1.24,2025-10-09 13:18:48,27.61,28.15,-1.95,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:35:27,27.66,28.15,-1.77,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:35:33,27.66,28.15,-1.77,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:35:37,27.66,28.15,-1.77,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:35:41,27.66,28.15,-1.73,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:39:24,27.68,28.15,-1.68,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:43:07,27.68,28.15,-1.68,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:45:06,27.72,28.15,-1.55,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:47:36,27.7,28.15,-1.61,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:47:41,27.7,28.15,-1.59,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:47:46,27.7,28.15,-1.59,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:47:52,27.7,28.15,-1.59,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:51:08,27.72,28.15,-1.54,False,True,False,True,7.0,2
MRNA,2.89,1.24,2025-10-09 13:51:14,27.72,28.15,-1.54,False,True,False,True,7.0,2
MRNA,2.89,1.24,2025-10-09 13:51:19,27.73,28.15,-1.52,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:51:24,27.73,28.15,-1.52,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:58:24,27.68,28.15,-1.66,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:58:30,27.68,28.15,-1.66,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:58:35,27.68,28.15,-1.66,False,True,False,True,10.5,2
MRNA,2.89,1.24,2025-10-09 13:58:41,27.68,28.15,-1.66,False,True,False,True,10.5,2
MRNA,2.91,1.24,2025-10-09 16:05:54,27.52,28.15,-2.24,False,True,False,True,7.0,2
MRNA,2.91,1.24,2025-10-09 16:07:47,27.52,28.15,-2.24,False,True,False,True,7.0,2
MRNA,2.91,1.24,2025-10-09 16:07:50,27.52,28.15,-2.24,False,True,False,True,7.0,2
MRNA,2.91,1.24,2025-10-09 16:07:54,27.52,28.15,-2.24,False,True,False,True,7.0,2
MRNA,2.9,1.24,2025-10-09 16:09:32,27.62,28.15,-1.89,False,True,False,True,7.0,2
MRNA,2.9,1.24,2025-10-09 16:09:34,27.62,28.15,-1.89,False,True,False,True,7.0,2
MRNA,2.9,1.24,2025-10-09 16:09:39,27.62,28.15,-1.89,False,True,False,True,7.0,2
MRNA,2.9,1.24,2025-10-09 19:58:44,27.6,28.15,-1.96,False,True,False,True,7.0,2
MRNA,2.91,1.24,2025-10-09 23:30:34,27.53,28.15,-2.21,False,True,False,True,7.0,2
MRNA,2.91,1.24,2025-10-10 03:07:06,27.53,28.15,-2.21,False,True,False,True,7.0,2
MRNA,2.91,1.24,2025-10-10 03:07:11,27.53,28.15,-2.21,False,True,False,True,7.0,2
MRNA,2.91,1.24,2025-10-10 03:07:15,27.53,28.15,-2.21,False,True,False,True,7.0,2
MRNA,2.91,1.24,2025-10-10 03:07:19,27.53,28.15,-2.21,False,True,False,True,7.0,2
MRNA,2.91,1.24,2025-10-10 03:08:38,27.53,28.15,-2.21,False,True,False,True,7.0,2
MRNA,2.91,1.24,2025-10-10 03:08:43,27.53,28.15,-2.21,False,True,False,True,7.0,2
MRNA,2.91,1.24,2025-10-10 03:08:48,27.53,28.15,-2.21,False,True,False,True,7.0,2
MRNA,2.91,1.24,2025-10-10 03:08:53,27.53,28.15,-2.21,False,True,False,True,7.0,2
MRNA,2.99,1.24,2025-10-10 12:36:40,26.78,28.15,-4.88,False,True,False,True,10.5,2
MRNA,2.99,1.24,2025-10-10 12:37:10,26.75,28.15,-4.96,False,True,False,True,10.5,2
MRNA,3.0,1.24,2025-10-10 12:41:52,26.68,28.15,-5.23,False,True,False,True,10.5,2
MRNA,3.0,1.24,2025-10-10 12:41:55,26.68,28.15,-5.23,False,True,False,True,10.5,2
MRNA,3.0,1.24,2025-10-10 12:42:00,26.66,28.15,-5.3,False,True,False,True,10.5,2
MRNA,3.0,1.24,2025-10-10 12:42:06,26.66,28.15,-5.32,False,True,False,True,10.5,2
MRNA,3.0,1.24,2025-10-10 12:42:12,26.63,28.15,-5.41,False,True,False,True,10.5,2
MRNA,3.02,1.24,2025-10-10 12:57:51,26.53,28.15,-5.76,False,True,False,True,10.5,2
MRNA,3.01,1.24,2025-10-10 12:57:59,26.55,28.15,-5.71,False,True,False,True,10.5,2
MRNA,3.01,1.24,2025-10-10 12:58:06,26.57,28.15,-5.64,False,True,False,True,10.5,2
MRNA,3.01,1.24,2025-10-10 12:58:13,26.55,28.15,-5.68,False,True,False,True,10.5,2
MRNA,3.01,1.24,2025-10-10 13:58:39,26.61,28.15,-5.48,False,True,False,True,10.5,2
MRNA,3.01,1.24,2025-10-10 13:58:44,26.61,28.15,-5.48,False,True,False,True,10.5,2
MRNA,3.01,1.24,2025-10-10 13:58:50,26.61,28.15,-5.46,False,True,False,True,10.5,2
MRNA,3.01,1.24,2025-10-10 13:58:57,26.61,28.15,-5.46,False,True,False,True,10.5,2
MRNA,2.99,1.24,2025-10-10 16:13:06,26.77,28.15,-4.91,False,True,False,True,10.5,2
MRNA,2.99,1.24,2025-10-10 16:13:11,26.77,28.15,-4.91,False,True,False,True,10.5,2
MRNA,2.99,1.24,2025-10-10 16:13:15,26.77,28.15,-4.91,False,True,False,True,10.5,2
MRNA,3.0,1.24,2025-10-10 16:13:20,26.67,28.15,-5.27,False,True,False,True,10.5,2
MRNA,2.99,1.24,2025-10-14 03:34:15,26.74,28.15,-5.02,False,True,False,True,7.0,2
MRNA,2.99,1.24,2025-10-14 03:34:20,26.74,28.15,-5.02,False,True,False,True,7.0,2
MRNA,2.99,1.24,2025-10-14 03:34:25,26.74,28.15,-5.02,False,True,False,True,7.0,2
MRNA,2.99,1.24,2025-10-14 03:34:28,26.74,28.15,-5.02,False,True,False,True,7.0,2
MRNA,2.99,1.24,2025-10-14 03:40:00,26.74,28.15,-5.02,False,True,False,True,7.0,2
MRNA,2.99,1.24,2025-10-14 03:40:03,26.74,28.15,-5.02,False,True,False,True,7.0,2
MRNA,2.99,1.24,2025-10-14 03:40:06,26.74,28.15,-5.02,False,True,False,True,7.0,2
MRNA,2.99,1.24,2025-10-14 03:42:24,26.74,28.15,-5.02,False,True,False,True,7.0,2
MRNA,2.99,1.24,2025-10-14 03:42:29,26.74,28.15,-5.02,False,True,False,True,7.0,2
MRNA,2.99,1.24,2025-10-14 03:42:34,26.74,28.15,-5.02,False,True,False,True,7.0,2
MRNA,3.01,1.24,2025-10-14 04:00:39,26.54,28.15,-5.73,False,True,False,True,7.0,2
MRNA,3.01,1.24,2025-10-14 04:00:44,26.54,28.15,-5.73,False,True,False,True,7.0,2
MRNA,3.01,1.24,2025-10-14 04:00:49,26.54,28.15,-5.73,False,True,False,True,7.0,2
MRNA,3.02,1.24,2025-10-14 04:05:13,26.45,28.15,-6.05,False,True,False,True,7.0,2
MRNA,3.02,1.24,2025-10-14 04:05:19,26.45,28.15,-6.05,False,True,False,True,7.0,2
MRNA,3.02,1.24,2025-10-14 04:05:25,26.45,28.15,-6.05,False,True,False,True,7.0,2
MRNA,3.02,1.28,2025-10-14 04:14:43,26.45,28.1,-5.88,False,True,False,True,10.5,2
MRNA,3.02,1.28,2025-10-14 04:15:29,26.45,28.1,-5.88,False,True,False,True,10.5,2
MRNA,3.04,1.28,2025-10-14 04:23:21,26.29,28.1,-6.44,False,True,False,True,10.5,2
MRNA,3.04,1.28,2025-10-14 04:23:53,26.29,28.1,-6.44,False,True,False,True,10.5,2
MRNA,3.06,1.28,2025-10-14 09:43:46,26.11,28.1,-7.09,False,True,False,True,10.5,2
MRNA,3.06,1.28,2025-10-14 09:43:50,26.11,28.1,-7.09,False,True,False,True,10.5,2
MRNA,3.06,1.28,2025-10-14 09:43:54,26.11,28.1,-7.09,False,True,False,True,10.5,2
MRNA,3.03,1.28,2025-10-14 10:15:41,26.44,28.1,-5.91,False,True,False,True,7.0,2
MRNA,3.02,1.28,2025-10-14 10:21:24,26.47,28.1,-5.8,False,True,False,True,7.0,2
MRNA,3.02,1.28,2025-10-14 10:26:31,26.51,28.1,-5.66,False,True,False,True,7.0,2
MRNA,3.02,1.28,2025-10-14 10:26:35,26.51,28.1,-5.66,False,True,False,True,7.0,2
MRNA,3.03,1.28,2025-10-14 10:29:30,26.43,28.1,-5.95,False,True,False,True,7.0,2
MRNA,3.02,1.28,2025-10-14 10:30:17,26.47,28.1,-5.8,False,True,False,True,7.0,2
MRNA,3.02,1.28,2025-10-14 10:30:21,26.46,28.1,-5.82,False,True,False,True,7.0,2
MRNA,3.02,1.28,2025-10-14 10:32:05,26.48,28.1,-5.79,False,True,False,True,7.0,2
MRNA,3.02,1.28,2025-10-14 10:32:27,26.51,28.1,-5.66,False,True,False,True,7.0,2
MRNA,3.03,1.28,2025-10-14 11:26:16,26.37,28.1,-6.16,False,True,False,True,7.0,2
MRNA,3.03,1.28,2025-10-14 11:26:18,26.37,28.1,-6.16,False,True,False,True,7.0,2
MRNA,3.04,1.28,2025-10-14 11:29:20,26.29,28.1,-6.44,False,True,False,True,7.0,2
MRNA,3.04,1.28,2025-10-14 11:33:33,26.31,28.1,-6.37,False,True,False,True,7.0,2
MRNA,3.04,1.28,2025-10-14 11:35:28,26.34,28.1,-6.27,False,True,False,True,7.0,2
MRNA,3.03,1.28,2025-10-14 11:36:39,26.39,28.1,-6.09,False,True,False,True,7.0,2
MRNA,3.03,1.28,2025-10-14 11:38:15,26.41,28.1,-6.04,False,True,False,True,7.0,2
MRNA,3.01,1.28,2025-10-14 12:01:19,26.55,28.1,-5.52,False,True,False,True,7.0,2
MRNA,3.01,1.28,2025-10-14 12:02:29,26.53,28.1,-5.58,False,True,False,True,7.0,2
MRNA,3.04,1.28,2025-10-14 17:29:56,26.29,28.1,-6.45,False,True,False,True,7.0,2
MRNA,2.92,1.28,2025-10-15 10:35:01,27.4,28.1,-2.49,False,True,False,True,7.0,2
MRNA,2.93,1.28,2025-10-15 11:53:51,27.33,28.1,-2.74,False,True,False,True,7.0,2
MRNA,2.93,1.28,2025-10-15 12:06:14,27.3,28.1,-2.85,False,True,False,True,7.0,2
MRNA,2.92,1.28,2025-10-15 12:10:15,27.36,28.1,-2.62,False,True,False,True,7.0,2
MRNA,2.92,1.28,2025-10-15 12:12:51,27.39,28.1,-2.53,False,True,False,True,7.0,2
MRNA,2.92,1.28,2025-10-15 12:14:10,27.43,28.1,-2.41,False,True,False,True,7.0,2
MRNA,2.91,1.28,2025-10-15 12:14:41,27.45,28.1,-2.32,False,True,False,True,7.0,2
MRNA,2.91,1.28,2025-10-15 12:15:11,27.46,28.1,-2.28,False,True,False,True,7.0,2
MRNA,2.91,1.28,2025-10-15 12:15:35,27.52,28.1,-2.09,False,True,False,True,7.0,2
MRNA,2.91,1.28,2025-10-15 12:18:09,27.52,28.1,-2.09,False,True,False,True,7.0,2
MRNA,2.9,1.28,2025-10-15 12:21:38,27.57,28.1,-1.91,False,True,False,True,7.0,2
MRNA,2.87,1.28,2025-10-15 15:20:43,27.9,28.1,-0.72,False,True,False,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:07:11,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:07:13,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:08:19,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:08:21,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:08:50,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:09:16,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:09:18,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:09:22,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:10:03,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:10:05,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:10:09,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:11:07,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:11:10,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-19 21:11:14,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.08,1.28,2025-10-20 01:53:39,26.01,28.1,-7.44,False,False,True,True,7.0,2
MRNA,3.02,1.28,2025-10-20 04:05:18,26.48,28.1,-5.77,False,True,False,True,7.0,2
MRNA,3.02,1.28,2025-10-20 04:07:28,26.48,28.1,-5.77,False,True,False,True,7.0,2
MRNA,3.02,1.28,2025-10-20 04:08:24,26.48,28.1,-5.77,False,True,False,True,7.0,2
MRNA,3.02,1.28,2025-10-20 04:11:06,26.48,28.1,-5.77,False,True,False,True,7.0,2
MRNA,2.94,1.28,2025-10-21 00:31:20,27.24,28.1,-3.06,False,True,False,True,7.0,2
