asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MRNY,53,100.0,2025-06-23 22:04:06,2.25,2.24,0.56,False,True,False,True,7.5,2
MRNY,53,100.0,2025-06-23 22:05:10,2.25,2.24,0.56,False,True,False,True,7.5,2
MRNY,53,100.0,2025-06-23 22:17:21,2.25,2.24,0.56,False,True,False,True,7.5,2
MRNY,53,100.0,2025-06-23 22:17:35,2.25,2.24,0.56,False,True,False,True,7.5,2
MRNY,53,100.0,2025-06-23 22:44:25,2.25,2.24,0.56,False,True,False,True,7.5,2
MRNY,48,91.0,2025-06-26 01:22:30,2.31,2.24,3.24,True,False,False,True,6.8,2
MRNY,47,85.0,2025-06-26 21:56:11,2.35,2.24,5.03,True,False,False,True,6.8,2
MRNY,47,85.0,2025-06-26 21:57:36,2.35,2.24,5.03,True,False,False,True,6.8,2
MRNY,47,85.0,2025-06-26 21:58:20,2.35,2.24,5.03,True,False,False,True,6.8,2
MRNY,47,85.0,2025-06-26 21:59:27,2.35,2.24,5.03,True,False,False,True,6.8,2
MRNY,47,85.0,2025-06-26 21:59:53,2.35,2.24,5.03,True,False,False,True,6.8,2
MRNY,47,85.0,2025-06-26 22:00:11,2.35,2.24,5.03,True,False,False,True,7.0,2
MRNY,48,285.0,2025-06-29 23:34:17,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-29 23:34:49,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-29 23:36:59,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-29 23:38:57,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-29 23:44:19,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-29 23:47:23,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-29 23:47:36,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-29 23:49:04,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-29 23:49:32,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-29 23:53:35,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-29 23:57:23,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-29 23:58:59,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-30 00:00:18,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-30 00:01:53,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-30 00:03:20,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-30 00:04:01,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-30 00:05:51,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-30 00:18:47,2.3,2.29,0.28,False,True,False,True,7.0,2
MRNY,48,285.0,2025-06-30 00:26:42,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,48,285.0,2025-06-30 00:28:58,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,48,285.0,2025-06-30 00:31:50,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,48,285.0,2025-06-30 00:32:57,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,48,285.0,2025-06-30 00:36:07,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,48,285.0,2025-06-30 00:36:35,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,48,285.0,2025-06-30 00:46:21,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,48,285.0,2025-06-30 00:48:32,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,48,285.0,2025-06-30 00:49:55,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,48,285.0,2025-06-30 00:50:57,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,48,285.0,2025-06-30 00:51:23,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,48,285.0,2025-06-30 00:52:42,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,48,285.0,2025-06-30 01:21:11,2.3,2.29,0.28,False,True,False,True,3.5,2
MRNY,47,35.0,2025-06-30 11:34:56,2.38,2.29,3.55,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-01 23:48:00,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-01 23:50:10,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-01 23:50:22,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:06:47,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:08:20,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:09:17,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:10:29,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:10:59,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:18:22,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:18:59,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:19:58,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:20:36,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:22:15,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:22:51,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:27:16,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:28:14,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:29:25,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:29:48,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:30:11,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:31:05,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:31:15,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:31:33,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:31:41,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:34:02,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:35:21,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:37:08,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:39:46,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:41:03,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:42:06,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:48:14,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:56:23,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 00:58:43,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,46,2.0,2025-07-02 01:02:14,2.42,2.32,4.42,True,False,False,True,3.5,2
MRNY,45,146.0,2025-07-08 00:30:21,2.49,2.5,-0.4,False,True,False,True,3.5,2
MRNY,7,51.0,2025-07-08 00:31:14,2.49,2.5,-0.4,False,True,False,True,3.5,2
MRNY,45,146.0,2025-07-08 00:35:04,2.49,2.5,-0.4,False,True,False,True,3.5,2
MRNY,7,51.0,2025-07-08 00:38:59,2.49,2.5,-0.4,False,True,False,True,3.5,2
MRNY,14,51.0,2025-07-10 01:40:01,2.64,2.5,5.6,True,False,False,True,3.5,2
MRNY,46,207.0,2025-07-10 14:36:42,2.73,2.67,2.43,True,False,False,True,3.5,2
MRNY,46,207.0,2025-07-10 14:39:43,2.73,2.67,2.33,True,False,False,True,3.5,2
MRNY,46,207.0,2025-07-10 14:42:04,2.73,2.67,2.4,True,False,False,True,3.5,2
MRNY,48,207.0,2025-07-11 01:38:41,2.75,2.67,3.0,True,False,False,True,3.5,2
MRNY,48,207.0,2025-07-11 01:40:42,2.75,2.67,3.0,True,False,False,True,3.5,2
MRNY,48,207.0,2025-07-11 01:41:28,2.75,2.67,3.0,True,False,False,True,3.5,2
MRNY,48,207.0,2025-07-11 01:42:05,2.75,2.67,3.0,True,False,False,True,3.5,2
MRNY,48,257.0,2025-07-14 00:02:24,2.73,2.68,2.02,True,False,False,True,3.5,2
MRNY,48,257.0,2025-07-14 00:04:30,2.73,2.68,2.02,True,False,False,True,3.5,2
MRNY,48,257.0,2025-07-14 00:04:59,2.73,2.68,2.02,True,False,False,True,3.5,2
MRNY,48,257.0,2025-07-14 00:15:06,2.73,2.68,2.02,True,False,False,True,3.5,2
MRNY,48,257.0,2025-07-14 00:17:27,2.73,2.68,2.02,True,False,False,True,3.5,2
MRNY,48,257.0,2025-07-14 00:22:15,2.73,2.68,2.02,True,False,False,True,3.5,2
MRNY,48,257.0,2025-07-14 00:23:09,2.73,2.68,2.02,True,False,False,True,3.5,2
MRNY,48,257.0,2025-07-14 00:29:09,2.73,2.68,2.02,True,False,False,True,3.5,2
MRNY,17,51.0,2025-07-14 01:17:30,2.73,2.5,9.2,True,False,False,True,3.5,2
MRNY,17,51.0,2025-07-14 01:19:54,2.73,2.5,9.2,True,False,False,True,3.5,2
MRNY,49,257.0,2025-07-14 09:50:40,2.68,2.68,0.16,False,True,False,True,3.5,2
MRNY,49,257.0,2025-07-14 09:50:52,2.68,2.68,0.16,False,True,False,True,3.5,2
MRNY,49,257.0,2025-07-14 09:54:31,2.68,2.68,0.16,False,True,False,True,3.5,2
MRNY,49,257.0,2025-07-14 09:54:46,2.68,2.68,0.16,False,True,False,True,3.5,2
MRNY,49,257.0,2025-07-14 09:55:26,2.68,2.68,0.06,False,True,False,True,3.5,2
MRNY,49,257.0,2025-07-14 09:55:40,2.68,2.68,0.15,False,True,False,True,3.5,2
MRNY,49,257.0,2025-07-14 10:03:44,2.65,2.68,-0.78,False,True,False,True,3.5,2
MRNY,49,257.0,2025-07-14 10:03:59,2.66,2.68,-0.74,False,True,False,True,3.5,2
MRNY,17,51.0,2025-07-14 10:04:31,2.66,2.5,6.39,True,False,False,True,3.5,2
MRNY,49,257.0,2025-07-14 10:43:17,2.69,2.68,0.53,False,True,False,True,3.5,2
MRNY,49,257.0,2025-07-14 11:42:34,2.69,2.68,0.41,False,True,False,True,3.5,2
MRNY,17,51.0,2025-07-14 11:48:52,2.69,2.5,7.6,True,False,False,True,3.5,2
MRNY,49,257.0,2025-07-14 12:33:50,2.69,2.68,0.34,False,True,False,True,3.5,2
MRNY,33,51.0,2025-07-15 12:35:03,2.6,2.5,4.2,True,False,False,True,3.5,2
MRNY,33,51.0,2025-07-16 13:51:51,2.62,2.5,5.0,True,False,False,True,3.5,2
MRNY,33,51.0,2025-07-16 14:31:24,2.62,2.5,4.8,True,False,False,True,3.5,2
MRNY,33,51.0,2025-07-16 17:37:54,2.65,2.5,6.0,True,False,False,True,3.5,2
MRNY,33,51.0,2025-07-16 18:11:12,2.64,2.5,5.6,True,False,False,True,3.5,2
MRNY,50,315.0,2025-07-16 21:30:52,2.63,2.66,-1.2,False,True,False,True,3.5,2
MRNY,50,315.0,2025-07-16 21:33:50,2.63,2.66,-1.2,False,True,False,True,3.5,2
