asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MS,0.52,0.01,2025-10-09 12:49:05,154.97,154.88,0.06,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-09 13:03:41,154.71,154.88,-0.11,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:03:56,154.71,154.88,-0.11,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:04:46,154.62,154.88,-0.17,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:12:41,154.85,154.88,-0.02,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:18:48,154.88,154.88,0.0,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:35:27,155.21,154.88,0.21,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:35:33,155.21,154.88,0.21,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:35:37,155.19,154.88,0.2,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:35:41,155.23,154.88,0.23,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:39:24,155.23,154.88,0.23,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:43:07,155.1,154.88,0.14,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:45:06,155.18,154.88,0.19,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:47:36,155.07,154.88,0.12,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:47:41,155.09,154.88,0.14,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:47:46,155.14,154.88,0.17,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:47:52,155.14,154.88,0.17,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:51:08,155.09,154.88,0.14,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-09 13:51:14,155.09,154.88,0.14,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-09 13:51:19,155.04,154.88,0.1,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:51:24,155.03,154.88,0.1,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:58:24,154.92,154.88,0.03,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:58:30,154.92,154.88,0.03,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:58:35,154.93,154.88,0.03,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-09 13:58:41,154.93,154.88,0.03,False,True,False,False,10.5,2
MS,0.51,0.01,2025-10-09 16:05:54,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-09 16:07:47,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-09 16:07:50,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-09 16:07:54,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-09 16:09:32,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-09 16:09:34,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-09 16:09:39,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-09 19:58:44,156.28,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-09 23:30:34,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-10 03:07:06,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-10 03:07:11,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-10 03:07:15,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-10 03:07:19,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-10 03:08:38,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-10 03:08:43,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-10 03:08:48,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-10 03:08:53,156.27,154.88,0.9,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-10 12:36:40,154.05,154.88,-0.54,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 12:37:10,154.0,154.88,-0.57,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 12:41:52,153.74,154.88,-0.74,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 12:41:55,153.74,154.88,-0.74,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 12:42:00,153.7,154.88,-0.76,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 12:42:06,153.69,154.88,-0.77,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 12:42:12,153.78,154.88,-0.71,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 12:57:51,153.38,154.88,-0.97,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 12:57:59,153.33,154.88,-1.0,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 12:58:06,153.38,154.88,-0.97,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 12:58:13,153.38,154.88,-0.97,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 13:58:39,153.32,154.88,-1.01,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 13:58:44,153.32,154.88,-1.01,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 13:58:50,153.32,154.88,-1.01,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-10 13:58:57,153.38,154.88,-0.97,False,True,False,False,10.5,2
MS,0.53,0.01,2025-10-10 16:13:06,151.86,154.88,-1.95,False,True,False,False,10.5,2
MS,0.53,0.01,2025-10-10 16:13:11,151.86,154.88,-1.95,False,True,False,False,10.5,2
MS,0.53,0.01,2025-10-10 16:13:15,151.86,154.88,-1.95,False,True,False,False,10.5,2
MS,0.53,0.01,2025-10-10 16:13:20,151.86,154.88,-1.95,False,True,False,False,10.5,2
MS,0.52,0.01,2025-10-14 03:34:15,155.13,154.88,0.16,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-14 03:34:20,155.13,154.88,0.16,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-14 03:34:25,155.13,154.88,0.16,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-14 03:34:28,155.13,154.88,0.16,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-14 03:40:00,155.13,154.88,0.16,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-14 03:40:03,155.13,154.88,0.16,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-14 03:40:06,155.13,154.88,0.16,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-14 03:42:24,155.13,154.88,0.16,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-14 03:42:29,155.13,154.88,0.16,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-14 03:42:34,155.13,154.88,0.16,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-14 04:00:39,155.65,154.88,0.5,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-14 04:00:44,155.65,154.88,0.5,False,True,False,False,7.0,2
MS,0.51,0.01,2025-10-14 04:00:49,155.65,154.88,0.5,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-14 04:05:13,154.6,154.88,-0.18,False,True,False,False,7.0,2
MS,0.52,0.01,2025-10-14 04:05:19,154.6,154.88,-0.18,False,True,False,False,7.0,2
