asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MSFO,4.59,1.95,2025-10-15 15:20:43,17.43,17.32,0.63,False,True,False,True,7.0,2
MSFO,2.3,0.97,2025-10-15 15:21:37,17.43,17.32,0.64,False,True,False,False,7.0,2
MSFO,2.3,0.97,2025-10-15 15:22:19,17.43,17.32,0.64,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-16 23:55:38,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-16 23:56:14,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-16 23:56:54,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-16 23:57:58,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-16 23:58:07,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-16 23:58:42,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-16 23:58:53,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-16 23:59:01,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-16 23:59:09,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-16 23:59:35,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-16 23:59:43,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-16 23:59:50,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 00:00:12,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 00:00:41,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 00:00:58,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 04:05:25,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 04:05:34,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 04:05:46,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 04:06:09,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 04:06:21,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 04:06:27,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 04:06:37,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 04:06:44,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 04:06:50,17.11,17.32,-1.2,False,True,False,False,7.0,2
MSFO,2.34,0.97,2025-10-17 04:07:01,17.11,17.32,-1.2,False,True,False,False,7.0,2
