asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MSFT,0.15,0.01,2025-10-09 01:09:05,524.85,523.83,0.19,False,True,False,False,7.0,2
MSFT,0.15,0.01,2025-10-09 01:16:15,524.85,523.83,0.19,False,True,False,False,7.0,2
MSFT,0.15,0.01,2025-10-09 01:20:42,524.85,523.83,0.19,False,True,False,False,7.0,2
MSFT,0.15,0.01,2025-10-09 01:26:03,524.85,523.83,0.19,False,True,False,False,7.0,2
MSFT,0.15,0.01,2025-10-09 01:26:09,524.85,523.83,0.19,False,True,False,False,7.0,2
MSFT,0.15,0.01,2025-10-09 01:26:12,524.85,523.83,0.19,False,True,False,False,7.0,2
MSFT,0.15,0.01,2025-10-09 01:26:16,524.85,523.83,0.19,False,True,False,False,7.0,2
MSFT,0.15,0.01,2025-10-09 01:26:19,524.85,523.83,0.19,False,True,False,False,7.0,2
MSFT,0.15,0.01,2025-10-09 01:26:22,524.85,523.83,0.19,False,True,False,False,7.0,2
MSFT,0.15,0.02,2025-10-09 12:49:05,519.08,523.05,-0.76,False,True,False,False,7.0,2
MSFT,0.15,0.02,2025-10-09 13:03:41,518.49,523.05,-0.87,False,True,False,False,10.5,2
MSFT,0.15,0.02,2025-10-09 13:03:56,518.61,523.05,-0.85,False,True,False,False,10.5,2
MSFT,0.15,0.02,2025-10-09 13:04:46,518.7,523.05,-0.83,False,True,False,False,10.5,2
MSFT,0.15,0.02,2025-10-09 13:12:41,518.71,523.05,-0.83,False,True,False,False,10.5,2
MSFT,0.15,0.02,2025-10-09 13:18:48,518.64,523.05,-0.84,False,True,False,False,10.5,2
MSFT,0.15,0.02,2025-10-09 13:35:27,518.5,523.05,-0.87,False,True,False,False,10.5,2
MSFT,0.15,0.02,2025-10-09 13:35:33,518.5,523.05,-0.87,False,True,False,False,10.5,2
MSFT,0.15,0.02,2025-10-09 13:35:37,518.43,523.05,-0.88,False,True,False,False,10.5,2
MSFT,0.15,0.02,2025-10-09 13:35:41,518.44,523.05,-0.88,False,True,False,False,10.5,2
