asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MSTR,0.23,0.01,2025-08-25 16:18:32,343.0,355.85,-3.61,False,True,False,False,10.5,2
MSTR,0.23,0.01,2025-08-25 16:20:39,342.6,355.85,-3.72,False,True,False,False,10.5,2
MSTR,0.23,0.01,2025-08-25 16:47:24,341.2,355.85,-4.12,False,True,False,False,10.5,2
MSTR,0.23,0.01,2025-08-26 18:47:51,352.56,355.85,-0.93,False,True,False,False,7.0,2
MSTR,0.23,0.01,2025-08-26 18:53:22,352.5,355.85,-0.94,False,True,False,False,7.0,2
MSTR,0.23,0.01,2025-08-26 23:50:53,351.36,355.85,-1.26,False,True,False,False,7.0,2
MSTR,0.24,0.01,2025-08-28 15:20:47,337.32,355.85,-5.21,False,True,False,False,7.0,2
MSTR,0.24,0.01,2025-08-28 17:07:49,338.39,355.85,-4.91,False,True,False,False,7.0,2
MSTR,0.24,0.01,2025-08-28 17:18:45,338.64,355.85,-4.84,False,True,False,False,7.0,2
MSTR,0.24,0.01,2025-08-28 19:02:01,338.95,355.85,-4.75,False,True,False,False,7.0,2
MSTR,0.24,0.01,2025-08-28 19:03:13,338.95,355.85,-4.75,False,True,False,False,7.0,2
MSTR,0.24,0.01,2025-08-29 19:18:40,334.71,355.85,-5.94,False,True,False,False,7.0,2
MSTR,0.25,0.26,2025-09-04 13:44:36,325.06,322.73,0.72,False,True,False,False,7.0,2
MSTR,0.25,0.26,2025-09-04 13:46:09,325.35,322.73,0.81,False,True,False,False,7.0,2
MSTR,0.24,0.1,2025-09-08 01:15:12,335.87,333.03,0.85,False,True,False,False,7.0,2
MSTR,0.24,0.1,2025-09-08 01:16:41,335.87,333.03,0.85,False,True,False,False,7.0,2
MSTR,0.24,0.1,2025-09-08 01:21:01,335.87,333.03,0.85,False,True,False,False,7.0,2
MSTR,0.24,0.1,2025-09-08 01:33:51,335.87,333.03,0.85,False,True,False,False,7.0,2
MSTR,0.24,0.1,2025-09-08 01:36:01,335.87,333.03,0.85,False,True,False,False,7.0,2
MSTR,0.24,0.1,2025-09-08 22:32:20,329.9,333.03,-0.94,False,True,False,False,7.0,2
