asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MSTU,13,52.0,2025-07-16 21:30:52,10.68,10.5,1.71,False,True,False,True,10.5,2
MSTU,13,52.0,2025-07-16 21:33:50,10.68,10.5,1.71,False,True,False,True,10.5,2
MSTU,13,52.0,2025-07-16 21:34:30,10.68,10.5,1.71,False,True,False,True,10.5,2
MSTU,13,52.0,2025-07-16 21:40:52,10.68,10.5,1.71,False,True,False,True,10.5,2
MSTU,13,52.0,2025-07-16 23:01:00,10.68,10.5,1.71,False,True,False,True,10.5,2
MSTU,12,52.0,2025-07-17 09:39:56,10.45,10.5,-0.52,False,True,False,True,10.5,2
MSTU,11,52.0,2025-07-17 10:10:23,10.63,10.5,1.29,False,True,False,True,10.5,2
MSTU,11,52.0,2025-07-17 10:39:24,10.67,10.5,1.62,False,True,False,True,10.5,2
MSTU,13,54.0,2025-07-18 11:53:30,9.6,10.31,-6.87,False,True,False,True,10.5,2
MSTU,13,54.0,2025-07-18 11:56:34,9.53,10.31,-7.55,False,True,False,True,10.5,2
MSTU,12,54.0,2025-07-18 13:53:50,9.19,10.31,-10.9,False,True,False,True,21.0,2
MSTU,13,54.0,2025-07-19 21:51:55,9.16,10.31,-11.14,False,False,True,True,10.5,2
MSTU,9,54.0,2025-07-22 02:06:29,9.25,10.31,-10.27,False,True,False,True,10.5,2
MSTU,8.65,54.0,2025-07-22 02:50:17,9.25,10.31,-10.27,False,True,False,True,10.5,2
MSTU,8.65,54.0,2025-07-22 02:51:07,9.25,10.31,-10.27,False,True,False,True,10.5,2
MSTU,8.65,54.0,2025-07-22 02:52:22,9.25,10.31,-10.27,False,True,False,True,10.5,2
MSTU,9.09,189.0,2025-07-24 14:48:54,8.8,8.97,-1.94,False,True,False,True,10.5,2
MSTU,9.6,189.0,2025-07-25 09:42:02,8.33,8.97,-7.17,False,True,False,True,21.0,2
MSTU,9.72,189.0,2025-07-25 09:50:52,8.23,8.97,-8.27,False,True,False,True,21.0,2
MSTU,9.59,189.0,2025-07-27 17:06:25,8.34,8.97,-7.06,False,True,False,True,10.5,2
MSTU,9.59,189.0,2025-07-27 17:07:06,8.34,8.97,-7.06,False,True,False,True,10.5,2
MSTU,9.59,189.0,2025-07-27 20:09:09,8.34,8.97,-7.06,False,True,False,True,10.5,2
MSTU,9.59,189.0,2025-07-27 20:09:14,8.34,8.97,-7.06,False,True,False,True,10.5,2
MSTU,10.19,189.0,2025-07-28 13:26:27,8.35,8.97,-7.01,False,True,False,True,21.0,2
MSTU,10.8,189.0,2025-07-29 22:29:41,7.87,8.97,-12.3,False,False,True,True,10.5,2
MSTU,10.8,189.0,2025-07-29 22:30:54,7.87,8.97,-12.3,False,False,True,True,10.5,2
MSTU,10.8,189.0,2025-07-29 22:31:05,7.87,8.97,-12.3,False,False,True,True,10.5,2
MSTU,10.8,189.0,2025-07-29 22:32:21,7.87,8.97,-12.3,False,False,True,True,10.5,2
MSTU,10.8,189.0,2025-07-29 22:54:46,7.87,8.97,-12.3,False,False,True,True,10.5,2
MSTU,10.8,189.0,2025-07-29 22:56:26,7.87,8.97,-12.3,False,False,True,True,10.5,2
MSTU,10.8,189.0,2025-07-29 22:56:47,7.87,8.97,-12.3,False,False,True,True,10.5,2
MSTU,10.8,189.0,2025-07-30 01:29:23,7.87,8.97,-12.3,False,False,True,True,10.5,2
MSTU,10.8,189.0,2025-07-30 01:29:52,7.87,8.97,-12.3,False,False,True,True,10.5,2
MSTU,10.4,189.0,2025-07-30 14:16:25,8.17,8.97,-8.96,False,True,False,True,10.5,2
MSTU,10.4,189.0,2025-07-30 14:17:30,8.17,8.97,-8.92,False,True,False,True,10.5,2
MSTU,10.38,189.0,2025-07-30 14:21:42,8.19,8.97,-8.73,False,True,False,True,10.5,2
MSTU,10.64,189.0,2025-07-30 16:27:09,7.99,8.97,-10.96,False,False,True,True,10.5,2
MSTU,10.66,189.0,2025-07-30 17:10:38,7.97,8.97,-11.19,False,False,True,True,10.5,2
MSTU,10.76,189.0,2025-07-30 23:10:20,7.9,8.97,-11.97,False,False,True,True,10.5,2
MSTU,12.69,189.0,2025-08-04 02:07:31,6.7,8.97,-25.34,False,False,True,True,10.5,2
MSTU,12.69,189.0,2025-08-04 02:12:47,6.7,8.97,-25.34,False,False,True,True,10.5,2
MSTU,12.69,189.0,2025-08-04 02:19:20,6.7,8.97,-25.34,False,False,True,True,10.5,2
MSTU,12.69,189.0,2025-08-04 02:21:22,6.7,8.97,-25.34,False,False,True,True,10.5,2
MSTU,11.35,189.0,2025-08-05 00:06:27,7.49,8.97,-16.53,False,False,True,True,10.5,2
MSTU,11.35,189.0,2025-08-05 00:12:53,7.49,8.97,-16.53,False,False,True,True,10.5,2
