asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MU,0.71,0.01,2025-08-10 23:25:38,118.89,112.02,6.13,True,False,False,False,7.0,2
MU,0.71,0.01,2025-08-10 23:26:05,118.89,112.02,6.13,True,False,False,False,7.0,2
MU,0.71,0.01,2025-08-10 23:27:43,118.89,112.02,6.13,True,False,False,False,7.0,2
MU,0.71,0.01,2025-08-10 23:29:18,118.89,112.02,6.13,True,False,False,False,7.0,2
MU,0.71,0.01,2025-08-10 23:30:26,118.89,112.02,6.13,True,False,False,False,7.0,2
MU,0.67,0.01,2025-08-12 19:55:01,127.66,112.02,13.96,True,False,False,False,7.0,2
MU,0.67,1.0,2025-08-12 20:07:18,127.58,127.5,0.06,False,True,False,True,7.0,2
MU,0.67,1.0,2025-08-12 20:11:27,127.58,127.5,0.06,False,True,False,True,7.0,2
MU,0.64,0.01,2025-08-15 02:30:53,125.29,127.66,-1.85,False,True,False,False,7.0,2
MU,0.64,0.01,2025-08-15 02:38:02,125.29,127.66,-1.85,False,True,False,False,7.0,2
MU,0.64,0.01,2025-08-15 04:06:54,125.83,127.66,-1.43,False,True,False,False,7.0,2
MU,0.64,0.01,2025-08-15 04:36:54,125.38,127.66,-1.78,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-15 11:29:14,120.93,127.66,-5.27,False,True,False,False,7.0,2
MU,0.67,0.01,2025-08-15 11:58:30,120.28,127.66,-5.77,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-15 12:13:29,120.58,127.66,-5.54,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-15 12:32:43,120.59,127.66,-5.54,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-15 12:33:16,120.62,127.66,-5.51,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-15 13:35:02,121.24,127.66,-5.03,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-20 03:58:54,122.05,127.66,-4.39,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-20 04:00:12,121.65,127.66,-4.7,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-20 04:00:30,121.65,127.66,-4.7,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-20 04:00:38,121.65,127.66,-4.7,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-20 04:00:48,121.5,127.66,-4.82,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-20 04:01:44,121.5,127.66,-4.82,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-20 04:02:20,121.5,127.66,-4.82,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-20 04:02:40,121.5,127.66,-4.82,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-20 04:06:17,121.62,127.66,-4.73,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-20 04:10:01,121.65,127.66,-4.7,False,True,False,False,7.0,2
MU,0.66,0.01,2025-08-20 04:11:54,121.65,127.66,-4.7,False,True,False,False,7.0,2
MU,0.69,0.75,2025-08-21 12:47:54,116.09,115.84,0.22,False,True,False,False,7.0,2
MU,0.69,0.75,2025-08-21 12:48:57,115.96,115.84,0.1,False,True,False,False,10.5,2
MU,0.69,0.75,2025-08-21 13:10:48,116.11,115.84,0.23,False,True,False,False,10.5,2
MU,0.69,0.75,2025-08-21 13:11:49,116.02,115.84,0.16,False,True,False,False,10.5,2
MU,0.69,0.75,2025-08-21 13:12:52,116.17,115.84,0.28,False,True,False,False,10.5,2
MU,0.69,0.75,2025-08-21 13:28:14,116.14,115.84,0.26,False,True,False,False,10.5,2
MU,0.69,0.75,2025-08-21 13:32:46,116.22,115.84,0.32,False,True,False,False,10.5,2
MU,0.69,0.75,2025-08-21 13:35:04,116.38,115.84,0.47,False,True,False,False,10.5,2
MU,0.69,0.28,2025-08-25 16:18:32,116.4,118.84,-2.05,False,True,False,False,10.5,2
MU,0.69,0.28,2025-08-25 16:20:39,116.43,118.84,-2.03,False,True,False,False,10.5,2
MU,0.69,0.28,2025-08-25 16:47:24,116.61,118.84,-1.88,False,True,False,False,10.5,2
MU,0.68,0.28,2025-08-26 18:47:51,116.99,118.84,-1.55,False,True,False,False,7.0,2
MU,0.68,0.28,2025-08-26 18:53:22,116.99,118.84,-1.55,False,True,False,False,7.0,2
MU,0.69,0.28,2025-08-26 23:50:53,116.5,118.84,-1.97,False,True,False,False,7.0,2
MU,0.65,0.28,2025-08-28 15:20:47,122.31,120.56,1.45,False,True,False,False,7.0,2
MU,0.66,0.28,2025-08-28 17:07:49,121.63,120.56,0.89,False,True,False,False,7.0,2
MU,0.66,0.28,2025-08-28 17:18:45,121.6,120.56,0.86,False,True,False,False,7.0,2
MU,0.66,0.28,2025-08-28 19:02:01,121.65,120.56,0.9,False,True,False,False,7.0,2
MU,0.66,0.28,2025-08-28 19:03:13,121.67,120.56,0.92,False,True,False,False,7.0,2
MU,0.67,0.28,2025-08-29 19:18:40,119.02,120.57,-1.28,False,True,False,False,7.0,2
MU,0.66,0.28,2025-09-04 13:44:36,121.25,120.57,0.57,False,True,False,False,7.0,2
MU,0.66,0.28,2025-09-04 13:46:09,121.25,120.57,0.57,False,True,False,False,7.0,2
MU,0.61,0.26,2025-09-08 01:15:12,131.37,127.13,3.34,True,False,False,False,7.0,2
MU,0.61,0.26,2025-09-08 01:16:41,131.37,127.13,3.34,True,False,False,False,7.0,2
MU,0.61,0.26,2025-09-08 01:21:01,131.37,127.13,3.34,True,False,False,False,7.0,2
MU,0.61,0.26,2025-09-08 01:33:51,131.37,127.13,3.34,True,False,False,False,7.0,2
MU,0.61,0.26,2025-09-08 01:36:01,131.37,127.13,3.34,True,False,False,False,7.0,2
MU,0.61,0.26,2025-09-08 22:32:20,131.46,131.23,0.18,False,True,False,False,7.0,2
MU,0.61,0.26,2025-09-08 22:34:53,131.46,131.23,0.18,False,True,False,False,7.0,2
MU,0.61,0.26,2025-09-08 22:37:47,131.46,131.23,0.18,False,True,False,False,7.0,2
MU,0.61,0.26,2025-09-08 22:47:17,131.46,131.23,0.18,False,True,False,False,7.0,2
MU,0.53,0.01,2025-09-11 22:51:54,150.57,131.39,14.59,True,False,False,False,7.0,2
MU,0.51,0.01,2025-09-12 19:52:12,157.42,150.77,4.41,True,False,False,False,7.0,2
MU,0.47,0.22,2025-09-18 10:11:43,168.45,157.17,7.18,True,False,False,False,7.0,2
MU,0.49,0.22,2025-09-20 21:52:37,162.73,157.17,3.54,True,False,False,False,7.0,2
MU,0.49,0.22,2025-09-20 21:53:55,162.73,157.17,3.54,True,False,False,False,7.0,2
MU,0.49,0.22,2025-09-20 22:08:23,162.73,157.17,3.54,True,False,False,False,7.0,2
MU,0.49,0.22,2025-09-20 22:10:08,162.73,157.17,3.54,True,False,False,False,7.0,2
MU,0.49,0.22,2025-09-20 22:12:57,162.73,157.17,3.54,True,False,False,False,7.0,2
MU,0.49,0.22,2025-09-20 22:14:12,162.73,157.17,3.54,True,False,False,False,7.0,2
MU,0.44,0.01,2025-10-01 17:13:14,181.62,157.43,15.37,True,False,False,False,7.0,2
MU,0.44,0.01,2025-10-01 17:13:31,181.62,157.43,15.37,True,False,False,False,7.0,2
MU,0.44,0.01,2025-10-01 17:13:52,181.62,157.43,15.37,True,False,False,False,7.0,2
MU,0.44,0.01,2025-10-01 17:14:30,181.65,157.43,15.39,True,False,False,False,7.0,2
MU,0.44,0.01,2025-10-01 17:14:50,181.65,157.43,15.39,True,False,False,False,7.0,2
MU,0.44,0.01,2025-10-01 17:15:08,181.65,157.43,15.39,True,False,False,False,7.0,2
MU,0.44,0.01,2025-10-01 17:22:27,181.7,157.43,15.42,True,False,False,False,7.0,2
MU,0.44,0.01,2025-10-01 17:22:51,181.7,157.43,15.42,True,False,False,False,7.0,2
MU,0.44,0.01,2025-10-01 17:23:02,181.7,157.43,15.42,True,False,False,False,7.0,2
MU,0.44,0.01,2025-10-02 16:28:28,183.25,157.43,16.4,True,False,False,False,7.0,2
MU,0.44,0.01,2025-10-02 16:32:22,183.25,157.43,16.4,True,False,False,False,7.0,2
MU,0.43,0.01,2025-10-03 16:40:19,187.7,157.43,19.23,True,False,False,False,7.0,2
MU,0.43,0.01,2025-10-03 16:46:23,187.85,157.43,19.33,True,False,False,False,7.0,2
MU,0.43,0.01,2025-10-03 16:49:31,187.7,157.43,19.23,True,False,False,False,7.0,2
MU,0.43,0.01,2025-10-04 01:18:58,187.83,157.43,19.31,True,False,False,False,7.0,2
MU,0.43,0.01,2025-10-05 04:15:34,187.83,157.43,19.31,True,False,False,False,7.0,2
MU,0.43,0.01,2025-10-05 04:27:18,187.83,157.43,19.31,True,False,False,False,7.0,2
MU,0.43,0.01,2025-10-05 04:28:08,187.83,157.43,19.31,True,False,False,False,7.0,2
MU,0.43,0.01,2025-10-05 04:44:06,187.83,157.43,19.31,True,False,False,False,7.0,2
MU,0.43,0.01,2025-10-05 04:49:20,187.83,157.43,19.31,True,False,False,False,7.0,2
MU,0.43,0.01,2025-10-05 04:49:59,187.83,157.43,19.31,True,False,False,False,7.0,2
MU,0.43,0.01,2025-10-05 04:52:19,187.83,157.43,19.31,True,False,False,False,7.0,2
MU,0.41,0.17,2025-10-09 01:09:05,196.54,192.87,1.9,False,True,False,False,7.0,2
MU,0.41,0.17,2025-10-09 01:16:15,196.54,192.87,1.9,False,True,False,False,7.0,2
MU,0.41,0.17,2025-10-09 01:20:42,196.54,192.87,1.9,False,True,False,False,7.0,2
MU,0.41,0.17,2025-10-09 01:26:03,196.54,192.87,1.9,False,True,False,False,7.0,2
MU,0.41,0.17,2025-10-09 01:26:09,196.54,192.87,1.9,False,True,False,False,7.0,2
MU,0.41,0.17,2025-10-09 01:26:12,196.54,192.87,1.9,False,True,False,False,7.0,2
MU,0.41,0.17,2025-10-09 01:26:16,196.54,192.87,1.9,False,True,False,False,7.0,2
MU,0.41,0.17,2025-10-09 01:26:19,196.54,192.87,1.9,False,True,False,False,7.0,2
MU,0.41,0.17,2025-10-09 01:26:22,196.54,192.87,1.9,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-09 12:49:05,192.3,192.87,-0.3,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-09 13:03:41,191.15,192.87,-0.9,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:03:56,191.24,192.87,-0.85,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:04:46,191.2,192.87,-0.87,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:12:41,190.62,192.87,-1.17,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:18:48,190.29,192.87,-1.34,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:35:27,190.07,192.87,-1.45,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:35:33,190.01,192.87,-1.48,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:35:37,190.06,192.87,-1.46,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:35:41,190.05,192.87,-1.46,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:39:24,190.75,192.87,-1.1,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:43:07,190.94,192.87,-1.0,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:45:06,190.93,192.87,-1.01,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:47:36,190.84,192.87,-1.05,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:47:41,190.87,192.87,-1.04,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:47:46,190.82,192.87,-1.06,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:47:52,190.82,192.87,-1.06,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:51:08,190.94,192.87,-1.0,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-09 13:51:14,190.94,192.87,-1.0,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-09 13:51:19,190.97,192.87,-0.98,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:51:24,190.9,192.87,-1.02,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:58:24,190.78,192.87,-1.09,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:58:30,190.76,192.87,-1.1,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:58:35,190.72,192.87,-1.12,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 13:58:41,190.72,192.87,-1.12,False,True,False,False,10.5,2
MU,0.42,0.17,2025-10-09 16:05:54,192.41,192.87,-0.24,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-09 16:07:47,192.59,192.87,-0.15,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-09 16:07:50,192.4,192.87,-0.24,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-09 16:07:54,192.4,192.87,-0.24,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-09 16:09:32,192.4,192.87,-0.24,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-09 16:09:34,192.4,192.87,-0.24,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-09 16:09:39,192.4,192.87,-0.24,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-09 19:58:44,192.43,192.87,-0.23,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-09 23:30:34,192.33,192.87,-0.28,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-10 03:07:06,192.33,192.87,-0.28,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-10 03:07:11,192.33,192.87,-0.28,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-10 03:07:15,192.33,192.87,-0.28,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-10 03:07:19,192.33,192.87,-0.28,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-10 03:08:38,192.33,192.87,-0.28,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-10 03:08:43,192.33,192.87,-0.28,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-10 03:08:48,192.33,192.87,-0.28,False,True,False,False,7.0,2
MU,0.42,0.17,2025-10-10 03:08:53,192.33,192.87,-0.28,False,True,False,False,7.0,2
MU,0.43,0.17,2025-10-10 12:36:40,185.03,192.87,-4.07,False,True,False,False,10.5,2
MU,0.43,0.17,2025-10-10 12:37:10,184.86,192.87,-4.15,False,True,False,False,10.5,2
MU,0.43,0.17,2025-10-10 12:41:52,184.83,192.87,-4.17,False,True,False,False,10.5,2
MU,0.43,0.17,2025-10-10 12:41:55,184.83,192.87,-4.17,False,True,False,False,10.5,2
MU,0.43,0.17,2025-10-10 12:42:00,184.7,192.87,-4.24,False,True,False,False,10.5,2
MU,0.43,0.17,2025-10-10 12:42:06,184.65,192.87,-4.26,False,True,False,False,10.5,2
MU,0.43,0.17,2025-10-10 12:42:12,184.7,192.87,-4.24,False,True,False,False,10.5,2
MU,0.44,0.17,2025-10-10 12:57:51,183.18,192.87,-5.03,False,True,False,False,10.5,2
MU,0.44,0.17,2025-10-10 12:57:59,183.21,192.87,-5.01,False,True,False,False,10.5,2
MU,0.44,0.17,2025-10-10 12:58:06,183.27,192.87,-4.98,False,True,False,False,10.5,2
MU,0.44,0.17,2025-10-10 12:58:13,183.31,192.87,-4.96,False,True,False,False,10.5,2
MU,0.43,0.17,2025-10-10 13:58:39,184.31,192.87,-4.44,False,True,False,False,10.5,2
