asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MUD,8.18,1.0,2025-10-03 16:40:19,9.78,10.0,-2.2,False,True,False,True,11.375,2
MUD,8.18,1.0,2025-10-03 16:46:23,9.78,10.0,-2.2,False,True,False,True,11.375,2
MUD,8.18,1.0,2025-10-03 16:49:31,9.78,10.0,-2.2,False,True,False,True,11.375,2
MUD,8.19,1.0,2025-10-04 01:18:58,9.77,10.0,-2.3,False,True,False,True,11.375,2
MUD,8.19,1.0,2025-10-05 04:15:34,9.77,10.0,-2.3,False,True,False,True,11.375,2
MUD,8.19,1.0,2025-10-05 04:27:18,9.77,10.0,-2.3,False,True,False,True,11.375,2
MUD,8.19,1.0,2025-10-05 04:28:08,9.77,10.0,-2.3,False,True,False,True,11.375,2
MUD,8.19,1.0,2025-10-05 04:44:06,9.77,10.0,-2.3,False,True,False,True,11.375,2
MUD,8.19,1.0,2025-10-05 04:49:20,9.77,10.0,-2.3,False,True,False,True,11.375,2
MUD,8.19,1.0,2025-10-05 04:49:59,9.77,10.0,-2.3,False,True,False,True,11.375,2
MUD,8.19,1.0,2025-10-05 04:52:19,9.77,10.0,-2.3,False,True,False,True,11.375,2
MUD,8.6,1.0,2025-10-09 01:09:05,9.3,10.0,-7.0,False,True,False,True,11.375,2
MUD,8.6,1.0,2025-10-09 01:16:15,9.3,10.0,-7.0,False,True,False,True,11.375,2
MUD,8.6,1.0,2025-10-09 01:20:42,9.3,10.0,-7.0,False,True,False,True,11.375,2
MUD,8.6,1.0,2025-10-09 01:26:03,9.3,10.0,-7.0,False,True,False,True,11.375,2
MUD,8.6,1.0,2025-10-09 01:26:09,9.3,10.0,-7.0,False,True,False,True,11.375,2
MUD,8.6,1.0,2025-10-09 01:26:12,9.3,10.0,-7.0,False,True,False,True,11.375,2
MUD,8.6,1.0,2025-10-09 01:26:16,9.3,10.0,-7.0,False,True,False,True,11.375,2
MUD,8.6,1.0,2025-10-09 01:26:19,9.3,10.0,-7.0,False,True,False,True,11.375,2
MUD,8.6,1.0,2025-10-09 01:26:22,9.3,10.0,-7.0,False,True,False,True,11.375,2
MUD,8.41,1.0,2025-10-09 12:49:05,9.51,10.0,-4.9,False,True,False,True,11.375,2
MUD,8.36,1.0,2025-10-09 13:03:41,9.56,10.0,-4.35,False,True,False,True,17.0625,2
MUD,8.36,1.0,2025-10-09 13:03:56,9.56,10.0,-4.35,False,True,False,True,17.0625,2
MUD,8.38,1.0,2025-10-09 13:04:46,9.55,10.0,-4.5,False,True,False,True,17.0625,2
MUD,8.34,1.0,2025-10-09 13:12:41,9.59,10.0,-4.1,False,True,False,True,17.0625,2
MUD,8.33,1.0,2025-10-09 13:18:48,9.6,10.0,-3.96,False,True,False,True,17.0625,2
MUD,8.32,1.0,2025-10-09 13:35:27,9.62,10.0,-3.82,False,True,False,True,17.0625,2
MUD,8.32,1.0,2025-10-09 13:35:33,9.62,10.0,-3.82,False,True,False,True,17.0625,2
MUD,8.32,1.0,2025-10-09 13:35:37,9.62,10.0,-3.82,False,True,False,True,17.0625,2
MUD,8.32,1.0,2025-10-09 13:35:41,9.62,10.0,-3.82,False,True,False,True,17.0625,2
MUD,8.35,1.0,2025-10-09 13:39:24,9.58,10.0,-4.2,False,True,False,True,17.0625,2
MUD,8.36,1.0,2025-10-09 13:43:07,9.56,10.0,-4.35,False,True,False,True,17.0625,2
MUD,8.36,1.0,2025-10-09 13:45:06,9.57,10.0,-4.3,False,True,False,True,17.0625,2
MUD,8.35,1.0,2025-10-09 13:47:36,9.58,10.0,-4.22,False,True,False,True,17.0625,2
MUD,8.35,1.0,2025-10-09 13:47:41,9.58,10.0,-4.22,False,True,False,True,17.0625,2
MUD,8.35,1.0,2025-10-09 13:47:46,9.58,10.0,-4.22,False,True,False,True,17.0625,2
MUD,8.35,1.0,2025-10-09 13:47:52,9.58,10.0,-4.22,False,True,False,True,17.0625,2
MUD,8.36,1.0,2025-10-09 13:51:08,9.57,10.0,-4.3,False,True,False,True,11.375,2
MUD,8.36,1.0,2025-10-09 13:51:14,9.57,10.0,-4.3,False,True,False,True,11.375,2
MUD,8.36,1.0,2025-10-09 13:51:19,9.57,10.0,-4.3,False,True,False,True,17.0625,2
MUD,8.36,1.0,2025-10-09 13:51:24,9.57,10.0,-4.3,False,True,False,True,17.0625,2
MUD,8.34,1.0,2025-10-09 13:58:24,9.59,10.0,-4.1,False,True,False,True,17.0625,2
MUD,8.34,1.0,2025-10-09 13:58:30,9.59,10.0,-4.1,False,True,False,True,17.0625,2
MUD,8.34,1.0,2025-10-09 13:58:35,9.59,10.0,-4.1,False,True,False,True,17.0625,2
MUD,8.34,1.0,2025-10-09 13:58:41,9.59,10.0,-4.1,False,True,False,True,17.0625,2
MUD,8.43,1.0,2025-10-09 16:05:54,9.49,10.0,-5.1,False,True,False,True,11.375,2
MUD,8.42,1.0,2025-10-09 16:07:47,9.5,10.0,-5.0,False,True,False,True,11.375,2
MUD,8.42,1.0,2025-10-09 16:07:50,9.5,10.0,-5.0,False,True,False,True,11.375,2
MUD,8.42,1.0,2025-10-09 16:07:54,9.5,10.0,-5.0,False,True,False,True,11.375,2
MUD,8.42,1.0,2025-10-09 16:09:32,9.5,10.0,-5.0,False,True,False,True,11.375,2
MUD,8.42,1.0,2025-10-09 16:09:34,9.5,10.0,-5.0,False,True,False,True,11.375,2
MUD,8.42,1.0,2025-10-09 16:09:39,9.5,10.0,-5.0,False,True,False,True,11.375,2
MUD,8.41,1.0,2025-10-09 19:58:44,9.51,10.0,-4.93,False,True,False,True,11.375,2
MUD,8.41,1.0,2025-10-09 23:30:34,9.51,10.0,-4.9,False,True,False,True,11.375,2
MUD,8.41,1.0,2025-10-10 03:07:06,9.51,10.0,-4.9,False,True,False,True,11.375,2
MUD,8.41,1.0,2025-10-10 03:07:11,9.51,10.0,-4.9,False,True,False,True,11.375,2
MUD,8.41,1.0,2025-10-10 03:07:15,9.51,10.0,-4.9,False,True,False,True,11.375,2
MUD,8.41,1.0,2025-10-10 03:07:19,9.51,10.0,-4.9,False,True,False,True,11.375,2
MUD,8.41,1.0,2025-10-10 03:08:38,9.51,10.0,-4.9,False,True,False,True,11.375,2
MUD,8.41,1.0,2025-10-10 03:08:43,9.51,10.0,-4.9,False,True,False,True,11.375,2
MUD,8.41,1.0,2025-10-10 03:08:48,9.51,10.0,-4.9,False,True,False,True,11.375,2
MUD,8.41,1.0,2025-10-10 03:08:53,9.51,10.0,-4.9,False,True,False,True,11.375,2
MUD,8.11,1.0,2025-10-10 12:36:40,9.87,10.0,-1.3,False,True,False,True,17.0625,2
