asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
MUU,6,26.0,2025-07-17 09:39:56,19.56,20.58,-4.96,False,True,False,True,10.5,2
MUU,6,26.0,2025-07-17 10:10:23,20.05,20.58,-2.58,False,True,False,True,10.5,2
MUU,6,26.0,2025-07-17 10:39:24,19.75,20.58,-4.03,False,True,False,True,10.5,2
MUU,6,26.0,2025-07-18 11:53:30,20.56,20.58,-0.1,False,True,False,True,10.5,2
MUU,6,26.0,2025-07-18 11:56:34,20.62,20.58,0.2,False,True,False,True,10.5,2
MUU,6,26.0,2025-07-18 13:53:50,20.46,20.58,-0.56,False,True,False,True,21.0,2
MUU,6,26.0,2025-07-19 21:51:55,20.7,20.58,0.58,False,True,False,True,10.5,2
MUU,3.86,1.0,2025-08-21 12:47:54,20.72,21.6,-4.07,False,True,False,True,10.5,2
MUU,3.86,1.0,2025-08-21 12:48:57,20.72,21.6,-4.07,False,True,False,True,15.75,2
MUU,3.85,1.0,2025-08-21 13:10:48,20.76,21.6,-3.89,False,True,False,True,15.75,2
MUU,3.86,1.0,2025-08-21 13:11:49,20.71,21.6,-4.1,False,True,False,True,15.75,2
MUU,3.86,1.0,2025-08-21 13:12:52,20.71,21.6,-4.12,False,True,False,True,15.75,2
MUU,3.87,1.0,2025-08-21 13:28:14,20.66,21.6,-4.35,False,True,False,True,15.75,2
MUU,3.86,1.0,2025-08-21 13:32:46,20.74,21.6,-3.98,False,True,False,True,15.75,2
MUU,3.85,1.0,2025-08-21 13:35:04,20.8,21.6,-3.7,False,True,False,True,15.75,2
