asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
NNE,3,0.01,2025-06-22 22:31:52,37.31,36.52,2.15,False,True,False,False,7.5,2
NNE,3,0.01,2025-06-22 22:32:57,37.31,36.52,2.15,False,True,False,False,7.5,2
NNE,3,0.01,2025-06-22 22:33:27,37.31,36.52,2.15,False,True,False,False,7.5,2
NNE,3,0.01,2025-06-22 22:34:15,37.31,36.52,2.15,False,True,False,False,7.5,2
NNE,3,0.01,2025-06-22 22:35:05,37.31,36.52,2.15,False,True,False,False,7.5,2
NNE,3,0.01,2025-06-22 22:37:31,37.31,36.52,2.15,False,True,False,False,7.5,2
NNE,3,0.01,2025-06-22 22:38:53,37.31,36.52,2.15,False,True,False,False,7.5,2
NNE,3,0.01,2025-06-22 22:39:57,37.31,36.52,2.15,False,True,False,False,7.5,2
NNE,3,0.01,2025-06-22 22:43:27,37.31,36.52,2.15,False,True,False,False,7.5,2
NNE,3,0.01,2025-06-22 22:43:58,37.31,36.52,2.15,False,True,False,False,7.5,2
NNE,3,1.06,2025-06-23 22:04:06,36.49,35.31,3.35,True,False,False,True,7.5,2
NNE,3,1.06,2025-06-23 22:05:10,36.49,35.31,3.35,True,False,False,True,7.5,2
NNE,3,1.06,2025-06-23 22:17:21,36.49,35.31,3.35,True,False,False,True,7.5,2
NNE,3,1.06,2025-06-23 22:17:35,36.49,35.31,3.35,True,False,False,True,7.5,2
NNE,3,1.06,2025-06-23 22:44:25,36.49,35.31,3.35,True,False,False,True,7.5,2
NNE,3,3.01,2025-06-26 01:22:30,35.67,36.84,-3.17,False,True,False,True,6.8,2
NNE,3,3.01,2025-06-26 21:56:11,35.95,36.84,-2.41,False,True,False,True,6.8,2
NNE,3,3.01,2025-06-26 21:57:36,35.95,36.84,-2.41,False,True,False,True,6.8,2
NNE,3,3.01,2025-06-26 21:58:20,35.95,36.84,-2.41,False,True,False,True,6.8,2
NNE,3,3.01,2025-06-26 21:59:27,35.95,36.84,-2.41,False,True,False,True,6.8,2
NNE,3,3.01,2025-06-26 21:59:53,35.95,36.84,-2.41,False,True,False,True,6.8,2
NNE,3,3.01,2025-06-26 22:00:11,35.95,36.84,-2.41,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-29 23:34:17,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-29 23:34:49,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-29 23:36:59,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-29 23:38:57,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-29 23:44:19,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-29 23:47:23,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-29 23:47:36,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-29 23:49:04,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-29 23:49:32,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-29 23:53:35,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-29 23:57:23,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-29 23:58:59,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:00:18,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:01:53,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:03:20,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:04:01,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:05:51,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:18:47,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:26:42,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:28:58,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:31:50,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:32:57,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:36:07,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:36:35,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:46:21,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:48:32,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:49:55,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:50:57,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:51:23,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,3,110.51,2025-06-30 00:52:42,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,4,110.51,2025-06-30 01:21:11,34.56,34.15,1.21,False,True,False,True,7.0,2
NNE,4,110.51,2025-06-30 11:34:56,34.76,34.15,1.8,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-01 23:48:00,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-01 23:50:10,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-01 23:50:22,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:06:47,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:08:20,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:09:17,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:10:29,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:10:59,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:18:22,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:18:59,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:19:58,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:20:36,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:22:15,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:22:51,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:27:16,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:28:14,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:29:25,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:29:48,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:30:11,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:31:05,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:31:15,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:31:33,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:31:41,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:34:02,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:35:21,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:37:08,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:39:46,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:41:03,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:42:06,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:48:14,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:56:23,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 00:58:43,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-02 01:02:14,32.48,34.15,-4.88,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-03 01:04:14,32.95,34.15,-3.5,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-03 01:07:56,32.95,34.15,-3.5,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-03 01:21:31,32.95,34.15,-3.5,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-03 01:27:27,32.95,34.15,-3.5,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-03 01:28:24,32.95,34.15,-3.5,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-03 01:37:19,32.95,34.15,-3.5,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-03 01:49:35,32.95,34.15,-3.5,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-03 01:49:53,32.95,34.15,-3.5,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-03 01:59:37,32.95,34.15,-3.5,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-03 01:59:57,32.95,34.15,-3.5,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-03 10:01:59,32.9,34.15,-3.65,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-06 00:44:35,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-06 00:46:35,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,4,110.51,2025-07-06 00:48:26,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,3,110.51,2025-07-06 00:50:53,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,3,110.51,2025-07-06 01:33:32,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,3,110.51,2025-07-06 14:15:21,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,3,110.51,2025-07-06 14:18:31,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,3,110.51,2025-07-06 14:19:41,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,3,110.51,2025-07-06 14:19:51,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,3,110.51,2025-07-06 14:27:04,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,3,110.51,2025-07-06 14:27:21,33.61,34.15,-1.57,False,True,False,True,14.0,2
NNE,3,110.51,2025-07-06 14:27:29,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,3,110.51,2025-07-06 21:16:18,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,3,110.51,2025-07-06 21:21:08,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,3,110.51,2025-07-06 21:23:34,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,3,110.51,2025-07-07 00:02:01,33.61,34.15,-1.57,False,True,False,True,7.0,2
NNE,4,15.51,2025-07-08 00:30:21,34.14,34.15,-0.02,False,True,False,True,7.0,2
NNE,4,15.51,2025-07-08 00:35:04,34.14,34.15,-0.02,False,True,False,True,7.0,2
NNE,4,15.51,2025-07-10 01:41:36,34.63,34.07,1.64,False,True,False,True,7.0,2
NNE,4,7.76,2025-07-10 14:36:42,35.06,34.07,2.9,True,False,False,True,7.0,2
