asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
OKLL,6,6.0,2025-06-30 11:34:56,19.2,20.78,-7.6,False,True,False,True,10.5,2
OKLL,7,11.0,2025-07-01 23:48:00,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-01 23:50:10,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-01 23:50:22,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:06:47,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:08:20,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:09:17,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:10:29,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:10:59,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:18:22,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:18:59,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:19:58,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:20:36,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:22:15,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:22:51,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:27:16,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:28:14,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:29:25,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:29:48,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:30:11,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:31:05,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:31:15,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:31:33,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:31:41,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:34:02,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:35:21,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:37:08,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:39:46,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:41:03,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:42:06,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:48:14,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:56:23,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 00:58:43,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,7,11.0,2025-07-02 01:02:14,17.21,19.42,-11.38,False,False,True,True,10.5,2
OKLL,6,19.0,2025-07-03 01:04:14,16.9,18.18,-7.05,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-03 01:07:56,16.9,18.18,-7.05,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-03 01:21:31,16.9,18.18,-7.05,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-03 01:27:27,16.9,18.18,-7.05,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-03 01:28:24,16.9,18.18,-7.05,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-03 01:37:19,16.9,18.18,-7.05,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-03 01:49:35,16.9,18.18,-7.05,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-03 01:49:53,16.9,18.18,-7.05,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-03 01:59:37,16.9,18.18,-7.05,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-03 01:59:57,16.9,18.18,-7.05,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-03 10:01:59,17.23,18.18,-5.24,False,True,False,True,10.5,2
OKLL,7,19.0,2025-07-06 00:44:35,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,7,19.0,2025-07-06 00:46:35,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,7,19.0,2025-07-06 00:48:26,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-06 00:50:53,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-06 01:33:32,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-06 14:15:21,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-06 14:18:31,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-06 14:19:41,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-06 14:19:51,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-06 14:27:04,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-06 14:27:21,18.3,18.18,0.65,False,True,False,True,21.0,2
OKLL,6,19.0,2025-07-06 14:27:29,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-06 21:16:18,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-06 21:21:08,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-06 21:23:34,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,6,19.0,2025-07-07 00:02:01,18.3,18.18,0.65,False,True,False,True,10.5,2
OKLL,3.32,1.0,2025-08-20 03:58:54,24.09,24.66,-2.31,False,True,False,True,10.5,2
OKLL,3.46,1.0,2025-08-20 04:00:12,23.14,24.66,-6.16,False,True,False,True,10.5,2
OKLL,3.46,1.0,2025-08-20 04:00:30,23.14,24.66,-6.16,False,True,False,True,10.5,2
OKLL,3.46,1.0,2025-08-20 04:00:38,23.14,24.66,-6.16,False,True,False,True,10.5,2
OKLL,3.46,1.0,2025-08-20 04:00:48,23.14,24.66,-6.16,False,True,False,True,10.5,2
OKLL,3.45,1.0,2025-08-20 04:01:44,23.2,24.66,-5.92,False,True,False,True,10.5,2
OKLL,3.43,1.0,2025-08-20 04:02:20,23.3,24.66,-5.52,False,True,False,True,10.5,2
OKLL,3.36,1.0,2025-08-20 04:02:40,23.79,24.66,-3.53,False,True,False,True,10.5,2
OKLL,3.4,1.0,2025-08-20 04:06:17,23.5,24.66,-4.7,False,True,False,True,10.5,2
OKLL,3.43,1.0,2025-08-20 04:10:01,23.33,24.66,-5.39,False,True,False,True,10.5,2
OKLL,3.43,1.0,2025-08-20 04:11:54,23.34,24.66,-5.35,False,True,False,True,10.5,2
OKLL,2.95,1.0,2025-09-04 13:44:36,27.11,28.38,-4.47,False,True,False,True,10.5,2
