asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
PEP,1,0.01,2025-06-22 22:31:52,129.07,130.49,-1.09,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-22 22:32:57,129.07,130.49,-1.09,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-22 22:33:27,129.07,130.49,-1.09,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-22 22:34:15,129.07,130.49,-1.09,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-22 22:35:05,129.07,130.49,-1.09,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-22 22:37:31,129.07,130.49,-1.09,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-22 22:38:53,129.07,130.49,-1.09,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-22 22:39:57,129.07,130.49,-1.09,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-22 22:43:27,129.07,130.49,-1.09,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-22 22:43:58,129.07,130.49,-1.09,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-23 22:04:06,129.2,130.49,-0.99,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-23 22:05:10,129.2,130.49,-0.99,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-23 22:17:21,129.2,130.49,-0.99,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-23 22:17:35,129.2,130.49,-0.99,False,True,False,False,7.5,2
PEP,1,0.01,2025-06-23 22:44:25,129.2,130.49,-0.99,False,True,False,False,7.5,2
PEP,0.61,0.01,2025-08-06 00:53:09,139.45,139.56,-0.08,False,True,False,False,7.0,2
PEP,0.59,0.01,2025-08-10 23:25:38,145.21,139.56,4.05,True,False,False,False,7.0,2
PEP,0.59,0.01,2025-08-10 23:26:05,145.21,139.56,4.05,True,False,False,False,7.0,2
PEP,0.59,0.01,2025-08-10 23:27:43,145.21,139.56,4.05,True,False,False,False,7.0,2
PEP,0.59,0.01,2025-08-10 23:29:18,145.21,139.56,4.05,True,False,False,False,7.0,2
PEP,0.59,0.01,2025-08-10 23:30:26,145.21,139.56,4.05,True,False,False,False,7.0,2
PEP,0.58,0.01,2025-08-12 19:55:01,146.4,139.56,4.9,True,False,False,False,7.0,2
PEP,0.58,0.01,2025-08-12 20:07:18,146.4,139.56,4.9,True,False,False,False,7.0,2
