asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
PFE,5,0.06,2025-06-23 22:04:06,24.02,23.87,0.63,False,True,False,False,7.5,2
PFE,5,0.06,2025-06-23 22:05:10,24.02,23.87,0.63,False,True,False,False,7.5,2
PFE,5,0.06,2025-06-23 22:17:21,24.02,23.87,0.63,False,True,False,False,7.5,2
PFE,5,0.06,2025-06-23 22:17:35,24.02,23.87,0.63,False,True,False,False,7.5,2
PFE,5,0.06,2025-06-23 22:44:25,24.02,23.87,0.63,False,True,False,False,7.5,2
PFE,3.18,0.04,2025-08-25 16:18:32,25.16,25.85,-2.66,False,True,False,False,10.5,2
PFE,3.18,0.04,2025-08-25 16:20:39,25.16,25.85,-2.66,False,True,False,False,10.5,2
PFE,3.18,0.04,2025-08-25 16:47:24,25.17,25.85,-2.62,False,True,False,False,10.5,2
PFE,3.21,0.04,2025-08-26 18:47:51,24.96,25.85,-3.44,False,True,False,False,7.0,2
PFE,3.21,0.04,2025-08-26 18:53:22,24.94,25.85,-3.51,False,True,False,False,7.0,2
PFE,3.21,0.04,2025-08-26 23:50:53,24.92,25.85,-3.59,False,True,False,False,7.0,2
PFE,3.25,0.04,2025-08-28 15:20:47,24.63,25.85,-4.71,False,True,False,False,7.0,2
PFE,3.25,0.04,2025-08-28 17:07:49,24.63,25.85,-4.71,False,True,False,False,7.0,2
PFE,3.25,0.04,2025-08-28 17:18:45,24.64,25.85,-4.67,False,True,False,False,7.0,2
PFE,3.25,0.04,2025-08-28 19:02:01,24.6,25.85,-4.83,False,True,False,False,7.0,2
PFE,3.25,0.04,2025-08-28 19:03:13,24.6,25.85,-4.83,False,True,False,False,7.0,2
PFE,3.23,0.04,2025-08-29 19:18:40,24.77,25.85,-4.17,False,True,False,False,7.0,2
PFE,3.26,0.04,2025-09-04 13:44:36,24.51,25.85,-5.19,False,True,False,False,7.0,2
PFE,3.26,0.04,2025-09-04 13:46:09,24.51,25.85,-5.19,False,True,False,False,7.0,2
PFE,3.22,0.04,2025-09-08 01:15:12,24.88,25.85,-3.74,False,True,False,False,7.0,2
PFE,3.22,0.04,2025-09-08 01:16:41,24.88,25.85,-3.74,False,True,False,False,7.0,2
PFE,3.22,0.04,2025-09-08 01:21:01,24.88,25.85,-3.74,False,True,False,False,7.0,2
PFE,3.22,0.04,2025-09-08 01:33:51,24.88,25.85,-3.74,False,True,False,False,7.0,2
PFE,3.22,0.04,2025-09-08 01:36:01,24.88,25.85,-3.74,False,True,False,False,7.0,2
PFE,3.26,0.04,2025-09-08 22:32:20,24.55,25.85,-5.02,False,True,False,False,7.0,2
PFE,3.26,0.04,2025-09-08 22:34:53,24.55,25.85,-5.02,False,True,False,False,7.0,2
PFE,3.26,0.04,2025-09-08 22:37:47,24.55,25.85,-5.02,False,True,False,False,7.0,2
PFE,3.26,0.04,2025-09-08 22:47:17,24.55,25.85,-5.02,False,True,False,False,7.0,2
PFE,3.22,0.04,2025-09-11 22:51:54,24.86,25.85,-3.82,False,True,False,False,7.0,2
PFE,3.33,0.04,2025-09-12 19:52:12,23.99,25.85,-7.19,False,True,False,False,7.0,2
PFE,3.32,0.04,2025-09-18 10:11:43,24.1,25.85,-6.76,False,True,False,False,7.0,2
PFE,3.33,0.04,2025-09-20 21:52:37,24.03,25.85,-7.03,False,True,False,False,7.0,2
PFE,3.33,0.04,2025-09-20 21:53:55,24.03,25.85,-7.03,False,True,False,False,7.0,2
PFE,3.33,0.04,2025-09-20 22:08:23,24.03,25.85,-7.03,False,True,False,False,7.0,2
PFE,3.33,0.04,2025-09-20 22:10:08,24.03,25.85,-7.03,False,True,False,False,7.0,2
PFE,3.33,0.04,2025-09-20 22:12:57,24.03,25.85,-7.03,False,True,False,False,7.0,2
PFE,3.33,0.04,2025-09-20 22:14:12,24.03,25.85,-7.03,False,True,False,False,7.0,2
PFE,2.94,0.04,2025-10-01 17:13:14,27.2,25.85,5.23,True,False,False,False,7.0,2
PFE,2.94,0.04,2025-10-01 17:13:31,27.2,25.85,5.23,True,False,False,False,7.0,2
PFE,2.94,0.04,2025-10-01 17:13:52,27.2,25.85,5.25,True,False,False,False,7.0,2
PFE,2.94,0.04,2025-10-01 17:14:30,27.24,25.85,5.38,True,False,False,False,7.0,2
PFE,2.94,0.04,2025-10-01 17:14:50,27.24,25.85,5.39,True,False,False,False,7.0,2
PFE,2.93,0.04,2025-10-01 17:15:08,27.28,25.85,5.54,True,False,False,False,7.0,2
PFE,2.94,0.04,2025-10-01 17:22:27,27.25,25.85,5.42,True,False,False,False,7.0,2
PFE,2.93,0.04,2025-10-01 17:22:51,27.34,25.85,5.77,True,False,False,False,7.0,2
PFE,2.93,0.04,2025-10-01 17:23:02,27.34,25.85,5.77,True,False,False,False,7.0,2
PFE,2.95,1.25,2025-10-02 16:28:28,27.1,27.13,-0.1,False,True,False,True,7.0,2
PFE,2.95,1.25,2025-10-02 16:32:22,27.1,27.13,-0.1,False,True,False,True,7.0,2
PFE,2.93,1.25,2025-10-03 16:40:19,27.34,27.13,0.78,False,True,False,True,7.0,2
PFE,2.93,1.25,2025-10-03 16:46:23,27.31,27.13,0.67,False,True,False,True,7.0,2
PFE,2.93,1.25,2025-10-03 16:49:31,27.31,27.13,0.67,False,True,False,True,7.0,2
PFE,2.92,0.01,2025-10-04 01:18:58,27.37,27.13,0.89,False,True,False,False,7.0,2
PFE,2.92,0.01,2025-10-05 04:15:34,27.37,27.17,0.74,False,True,False,False,7.0,2
PFE,2.92,0.01,2025-10-05 04:27:18,27.37,27.17,0.74,False,True,False,False,7.0,2
PFE,2.92,0.01,2025-10-05 04:28:08,27.37,27.17,0.74,False,True,False,False,7.0,2
PFE,2.92,0.01,2025-10-05 04:44:06,27.37,27.17,0.74,False,True,False,False,7.0,2
PFE,2.92,0.01,2025-10-05 04:49:20,27.37,27.17,0.74,False,True,False,False,7.0,2
PFE,2.92,0.01,2025-10-05 04:49:59,27.37,27.17,0.74,False,True,False,False,7.0,2
PFE,2.92,0.01,2025-10-05 04:52:19,27.37,27.17,0.74,False,True,False,False,7.0,2
PFE,3.12,0.01,2025-10-09 01:09:05,25.68,27.17,-5.48,False,True,False,False,7.0,2
PFE,3.12,0.01,2025-10-09 01:16:15,25.68,27.17,-5.48,False,True,False,False,7.0,2
PFE,3.12,0.01,2025-10-09 01:20:42,25.68,27.17,-5.48,False,True,False,False,7.0,2
PFE,3.12,0.01,2025-10-09 01:26:03,25.68,27.17,-5.48,False,True,False,False,7.0,2
PFE,3.12,0.01,2025-10-09 01:26:09,25.68,27.17,-5.48,False,True,False,False,7.0,2
PFE,3.12,0.01,2025-10-09 01:26:12,25.68,27.17,-5.48,False,True,False,False,7.0,2
PFE,3.12,0.01,2025-10-09 01:26:16,25.68,27.17,-5.48,False,True,False,False,7.0,2
PFE,3.12,0.01,2025-10-09 01:26:19,25.68,27.17,-5.48,False,True,False,False,7.0,2
PFE,3.12,0.01,2025-10-09 01:26:22,25.68,27.17,-5.48,False,True,False,False,7.0,2
PFE,3.14,0.01,2025-10-09 12:49:05,25.46,27.17,-6.29,False,True,False,False,7.0,2
PFE,3.15,0.01,2025-10-09 13:03:41,25.39,27.17,-6.53,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:03:56,25.39,27.17,-6.55,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:04:46,25.38,27.17,-6.59,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:12:41,25.43,27.17,-6.39,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:18:48,25.41,27.17,-6.48,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:35:27,25.41,27.17,-6.48,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:35:33,25.41,27.17,-6.46,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:35:37,25.41,27.17,-6.46,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:35:41,25.41,27.17,-6.48,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:39:24,25.42,27.17,-6.44,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:43:07,25.41,27.17,-6.48,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:45:06,25.4,27.17,-6.51,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:47:36,25.39,27.17,-6.53,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:47:41,25.4,27.17,-6.51,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:47:46,25.39,27.17,-6.53,False,True,False,False,10.5,2
PFE,3.15,0.01,2025-10-09 13:47:52,25.39,27.17,-6.53,False,True,False,False,10.5,2
PFE,3.14,0.01,2025-10-09 13:51:08,25.44,27.17,-6.37,False,True,False,False,7.0,2
PFE,3.15,0.01,2025-10-09 13:51:14,25.44,27.17,-6.39,False,True,False,False,7.0,2
PFE,3.14,0.01,2025-10-09 13:51:19,25.45,27.17,-6.35,False,True,False,False,10.5,2
