asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
PINS,2.42,0.01,2025-08-10 23:25:38,35.13,34.2,2.72,True,False,False,False,7.0,2
PINS,2.42,0.01,2025-08-10 23:26:05,35.13,34.2,2.72,True,False,False,False,7.0,2
PINS,2.42,0.01,2025-08-10 23:27:43,35.13,34.2,2.72,True,False,False,False,7.0,2
PINS,2.42,0.01,2025-08-10 23:29:18,35.13,34.2,2.72,True,False,False,False,7.0,2
PINS,2.42,0.01,2025-08-10 23:30:26,35.13,34.2,2.72,True,False,False,False,7.0,2
PINS,2.44,0.01,2025-08-12 19:55:01,34.8,34.2,1.75,False,True,False,False,7.0,2
PINS,2.44,0.01,2025-08-12 20:07:18,34.78,34.2,1.7,False,True,False,False,7.0,2
PINS,2.44,0.01,2025-08-12 20:11:27,34.78,34.2,1.7,False,True,False,False,7.0,2
PINS,2.2,0.94,2025-08-15 02:30:53,36.35,36.16,0.54,False,True,False,False,7.0,2
PINS,2.2,0.94,2025-08-15 02:38:02,36.35,36.16,0.54,False,True,False,False,7.0,2
PINS,2.21,0.94,2025-08-15 04:06:54,36.21,36.16,0.14,False,True,False,False,7.0,2
PINS,2.21,0.94,2025-08-15 04:36:54,36.21,36.16,0.14,False,True,False,False,7.0,2
PINS,2.23,0.01,2025-08-15 11:29:14,35.9,36.16,-0.72,False,True,False,False,7.0,2
PINS,2.23,0.01,2025-08-15 11:58:30,35.91,36.16,-0.7,False,True,False,False,7.0,2
PINS,2.22,0.01,2025-08-15 12:13:29,36.06,36.16,-0.25,False,True,False,False,7.0,2
PINS,2.22,0.01,2025-08-15 12:32:43,36.01,36.16,-0.4,False,True,False,False,7.0,2
PINS,2.22,0.01,2025-08-15 12:33:16,36.0,36.16,-0.42,False,True,False,False,7.0,2
PINS,2.22,0.01,2025-08-15 13:35:02,35.97,36.16,-0.52,False,True,False,False,7.0,2
PINS,2.27,0.01,2025-08-20 03:58:54,35.22,36.17,-2.62,False,True,False,False,7.0,2
PINS,2.26,0.01,2025-08-20 04:00:12,35.34,36.17,-2.28,False,True,False,False,7.0,2
PINS,2.26,0.01,2025-08-20 04:00:30,35.34,36.17,-2.28,False,True,False,False,7.0,2
PINS,2.26,0.01,2025-08-20 04:00:38,35.34,36.17,-2.28,False,True,False,False,7.0,2
PINS,2.26,0.01,2025-08-20 04:00:48,35.34,36.17,-2.28,False,True,False,False,7.0,2
PINS,2.26,0.01,2025-08-20 04:01:44,35.34,36.17,-2.28,False,True,False,False,7.0,2
PINS,2.26,0.01,2025-08-20 04:02:20,35.34,36.17,-2.28,False,True,False,False,7.0,2
PINS,2.26,0.01,2025-08-20 04:02:40,35.34,36.17,-2.28,False,True,False,False,7.0,2
PINS,2.26,0.01,2025-08-20 04:06:17,35.34,36.17,-2.28,False,True,False,False,7.0,2
PINS,2.26,0.01,2025-08-20 04:10:01,35.34,36.17,-2.28,False,True,False,False,7.0,2
PINS,2.26,0.01,2025-08-20 04:11:54,35.34,36.17,-2.28,False,True,False,False,7.0,2
PINS,2.29,0.01,2025-08-21 12:47:54,34.91,36.17,-3.46,False,True,False,False,7.0,2
PINS,2.29,0.01,2025-08-21 12:48:57,34.91,36.17,-3.48,False,True,False,False,10.5,2
PINS,2.29,0.01,2025-08-21 13:10:48,34.94,36.17,-3.4,False,True,False,False,10.5,2
PINS,2.29,0.01,2025-08-21 13:11:49,34.91,36.17,-3.48,False,True,False,False,10.5,2
PINS,2.29,0.01,2025-08-21 13:12:52,34.95,36.17,-3.37,False,True,False,False,10.5,2
PINS,2.3,0.01,2025-08-21 13:28:14,34.8,36.17,-3.77,False,True,False,False,10.5,2
PINS,2.3,0.01,2025-08-21 13:32:46,34.8,36.17,-3.78,False,True,False,False,10.5,2
PINS,2.3,0.01,2025-08-21 13:35:04,34.84,36.17,-3.66,False,True,False,False,10.5,2
PINS,2.25,0.01,2025-08-25 16:18:32,35.51,36.17,-1.82,False,True,False,False,10.5,2
PINS,2.25,0.01,2025-08-25 16:20:39,35.51,36.17,-1.82,False,True,False,False,10.5,2
PINS,2.25,0.01,2025-08-25 16:47:24,35.51,36.17,-1.82,False,True,False,False,10.5,2
PINS,2.22,0.01,2025-08-26 18:47:51,36.1,36.17,-0.19,False,True,False,False,7.0,2
PINS,2.22,0.01,2025-08-26 18:53:22,36.1,36.17,-0.19,False,True,False,False,7.0,2
PINS,2.22,0.01,2025-08-26 23:50:53,36.06,36.17,-0.3,False,True,False,False,7.0,2
PINS,2.17,0.01,2025-08-28 15:20:47,36.78,36.17,1.71,False,True,False,False,7.0,2
PINS,2.18,0.01,2025-08-28 17:07:49,36.69,36.17,1.44,False,True,False,False,7.0,2
PINS,2.18,0.01,2025-08-28 17:18:45,36.69,36.17,1.44,False,True,False,False,7.0,2
PINS,2.18,0.01,2025-08-28 19:02:01,36.7,36.17,1.47,False,True,False,False,7.0,2
PINS,2.18,0.01,2025-08-28 19:03:13,36.7,36.17,1.47,False,True,False,False,7.0,2
PINS,2.18,0.01,2025-08-29 19:18:40,36.63,36.17,1.28,False,True,False,False,7.0,2
PINS,2.15,0.91,2025-09-04 13:44:36,37.17,37.05,0.33,False,True,False,False,7.0,2
PINS,2.15,0.91,2025-09-04 13:46:09,37.16,37.05,0.29,False,True,False,False,7.0,2
PINS,2.11,0.91,2025-09-08 01:15:12,37.94,37.05,2.41,False,True,False,False,7.0,2
PINS,2.11,0.91,2025-09-08 01:16:41,37.94,37.05,2.41,False,True,False,False,7.0,2
PINS,2.11,0.91,2025-09-08 01:21:01,37.94,37.05,2.41,False,True,False,False,7.0,2
PINS,2.11,0.91,2025-09-08 01:33:51,37.94,37.05,2.41,False,True,False,False,7.0,2
PINS,2.11,0.91,2025-09-08 01:36:01,37.94,37.05,2.41,False,True,False,False,7.0,2
PINS,2.11,0.89,2025-09-08 22:32:20,37.95,38.05,-0.25,False,True,False,False,7.0,2
PINS,2.11,0.89,2025-09-08 22:34:53,37.95,38.05,-0.25,False,True,False,False,7.0,2
PINS,2.11,0.89,2025-09-08 22:37:47,37.95,38.05,-0.25,False,True,False,False,7.0,2
PINS,2.11,0.89,2025-09-08 22:47:17,37.95,38.05,-0.25,False,True,False,False,7.0,2
PINS,2.29,0.89,2025-09-11 22:51:54,34.96,38.05,-8.11,False,False,True,False,7.0,2
PINS,2.28,0.89,2025-09-12 19:52:12,35.12,38.05,-7.69,False,False,True,False,7.0,2
PINS,2.19,0.89,2025-09-18 10:11:43,36.49,38.05,-4.09,False,True,False,False,7.0,2
PINS,2.23,0.89,2025-09-20 21:52:37,35.81,38.05,-5.88,False,True,False,False,7.0,2
PINS,2.23,0.89,2025-09-20 21:53:55,35.81,38.05,-5.88,False,True,False,False,7.0,2
PINS,2.23,0.89,2025-09-20 22:08:23,35.81,38.05,-5.88,False,True,False,False,7.0,2
PINS,2.23,0.89,2025-09-20 22:10:08,35.81,38.05,-5.88,False,True,False,False,7.0,2
PINS,2.23,0.89,2025-09-20 22:12:57,35.81,38.05,-5.88,False,True,False,False,7.0,2
PINS,2.23,0.89,2025-09-20 22:14:12,35.81,38.05,-5.88,False,True,False,False,7.0,2
PINS,2.51,0.89,2025-10-01 17:13:14,31.9,38.05,-16.16,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-01 17:13:31,31.9,38.05,-16.16,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-01 17:13:52,31.9,38.05,-16.16,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-01 17:14:30,31.9,38.05,-16.16,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-01 17:14:50,31.9,38.05,-16.16,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-01 17:15:08,31.9,38.05,-16.16,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-01 17:22:27,31.9,38.05,-16.16,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-01 17:22:51,31.9,38.05,-16.16,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-01 17:23:02,31.9,38.05,-16.16,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-02 16:28:28,31.95,38.05,-16.02,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-02 16:32:22,31.95,38.05,-16.02,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-03 16:40:19,32.0,38.05,-15.89,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-03 16:46:23,32.0,38.05,-15.89,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-03 16:49:31,32.0,38.05,-15.89,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-04 01:18:58,31.95,38.05,-16.02,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-05 04:15:34,31.95,38.05,-16.02,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-05 04:27:18,31.95,38.05,-16.02,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-05 04:28:08,31.95,38.05,-16.02,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-05 04:44:06,31.95,38.05,-16.02,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-05 04:49:20,31.95,38.05,-16.02,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-05 04:49:59,31.95,38.05,-16.02,False,False,True,False,7.0,2
PINS,2.5,0.89,2025-10-05 04:52:19,31.95,38.05,-16.02,False,False,True,False,7.0,2
PINS,2.52,0.89,2025-10-09 01:09:05,31.79,38.05,-16.44,False,False,True,False,7.0,2
PINS,2.52,0.89,2025-10-09 01:16:15,31.79,38.05,-16.44,False,False,True,False,7.0,2
PINS,2.52,0.89,2025-10-09 01:20:42,31.79,38.05,-16.44,False,False,True,False,7.0,2
PINS,2.52,0.89,2025-10-09 01:26:03,31.79,38.05,-16.44,False,False,True,False,7.0,2
PINS,2.52,0.89,2025-10-09 01:26:09,31.79,38.05,-16.44,False,False,True,False,7.0,2
PINS,2.52,0.89,2025-10-09 01:26:12,31.79,38.05,-16.44,False,False,True,False,7.0,2
PINS,2.52,0.89,2025-10-09 01:26:16,31.79,38.05,-16.44,False,False,True,False,7.0,2
PINS,2.52,0.89,2025-10-09 01:26:19,31.79,38.05,-16.44,False,False,True,False,7.0,2
PINS,2.52,0.89,2025-10-09 01:26:22,31.79,38.05,-16.44,False,False,True,False,7.0,2
PINS,2.53,0.89,2025-10-09 12:49:05,31.64,38.05,-16.85,False,False,True,False,7.0,2
PINS,2.53,0.89,2025-10-09 13:03:41,31.57,38.05,-17.03,False,False,True,False,10.5,2
PINS,2.53,0.89,2025-10-09 13:03:56,31.57,38.05,-17.02,False,False,True,False,10.5,2
PINS,2.53,0.89,2025-10-09 13:04:46,31.57,38.05,-17.02,False,False,True,False,10.5,2
PINS,2.54,0.89,2025-10-09 13:12:41,31.55,38.05,-17.09,False,False,True,False,10.5,2
PINS,2.54,0.89,2025-10-09 13:18:48,31.45,38.05,-17.35,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:35:27,31.42,38.05,-17.42,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:35:33,31.42,38.05,-17.42,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:35:37,31.42,38.05,-17.42,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:35:41,31.42,38.05,-17.42,False,False,True,False,10.5,2
PINS,2.54,0.89,2025-10-09 13:39:24,31.43,38.05,-17.38,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:43:07,31.41,38.05,-17.44,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:45:06,31.39,38.05,-17.48,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:47:36,31.42,38.05,-17.42,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:47:41,31.41,38.05,-17.43,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:47:46,31.41,38.05,-17.43,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:47:52,31.41,38.05,-17.43,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:51:08,31.43,38.05,-17.4,False,False,True,False,7.0,2
PINS,2.54,0.89,2025-10-09 13:51:14,31.43,38.05,-17.38,False,False,True,False,7.0,2
PINS,2.54,0.89,2025-10-09 13:51:19,31.43,38.05,-17.38,False,False,True,False,10.5,2
PINS,2.54,0.89,2025-10-09 13:51:24,31.43,38.05,-17.38,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:58:24,31.39,38.05,-17.48,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:58:30,31.39,38.05,-17.48,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:58:35,31.39,38.05,-17.48,False,False,True,False,10.5,2
PINS,2.55,0.89,2025-10-09 13:58:41,31.39,38.05,-17.5,False,False,True,False,10.5,2
PINS,2.51,0.89,2025-10-09 16:05:54,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-09 16:07:47,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-09 16:07:50,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-09 16:07:54,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-09 16:09:32,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-09 16:09:34,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-09 16:09:39,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-09 19:58:44,31.9,38.05,-16.16,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-09 23:30:34,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-10 03:07:06,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-10 03:07:11,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-10 03:07:15,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-10 03:07:19,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-10 03:08:38,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-10 03:08:43,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-10 03:08:48,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.51,0.89,2025-10-10 03:08:53,31.87,38.05,-16.23,False,False,True,False,7.0,2
PINS,2.6,0.89,2025-10-10 12:36:40,30.82,38.05,-18.99,False,False,True,False,10.5,2
PINS,2.6,0.89,2025-10-10 12:37:10,30.81,38.05,-19.02,False,False,True,False,10.5,2
PINS,2.6,0.89,2025-10-10 12:41:52,30.78,38.05,-19.1,False,False,True,False,10.5,2
PINS,2.6,0.89,2025-10-10 12:41:55,30.77,38.05,-19.13,False,False,True,False,10.5,2
PINS,2.6,0.89,2025-10-10 12:42:00,30.77,38.05,-19.14,False,False,True,False,10.5,2
PINS,2.6,0.89,2025-10-10 12:42:06,30.77,38.05,-19.13,False,False,True,False,10.5,2
PINS,2.6,0.89,2025-10-10 12:42:12,30.78,38.05,-19.1,False,False,True,False,10.5,2
PINS,2.61,0.89,2025-10-10 12:57:51,30.61,38.05,-19.53,False,False,True,False,10.5,2
PINS,2.61,0.89,2025-10-10 12:57:59,30.61,38.05,-19.55,False,False,True,False,10.5,2
PINS,2.61,0.89,2025-10-10 12:58:06,30.61,38.05,-19.53,False,False,True,False,10.5,2
PINS,2.61,0.89,2025-10-10 12:58:13,30.61,38.05,-19.55,False,False,True,False,10.5,2
PINS,2.61,0.89,2025-10-10 13:58:39,30.66,38.05,-19.43,False,False,True,False,10.5,2
PINS,2.61,0.89,2025-10-10 13:58:44,30.66,38.05,-19.43,False,False,True,False,10.5,2
PINS,2.61,0.89,2025-10-10 13:58:50,30.66,38.05,-19.43,False,False,True,False,10.5,2
PINS,2.61,0.89,2025-10-10 13:58:57,30.66,38.05,-19.43,False,False,True,False,10.5,2
PINS,2.62,0.89,2025-10-10 16:13:06,30.49,38.05,-19.85,False,False,True,False,10.5,2
PINS,2.62,0.89,2025-10-10 16:13:11,30.49,38.05,-19.85,False,False,True,False,10.5,2
PINS,2.62,0.89,2025-10-10 16:13:15,30.49,38.05,-19.85,False,False,True,False,10.5,2
PINS,2.62,0.89,2025-10-10 16:13:20,30.49,38.05,-19.85,False,False,True,False,10.5,2
PINS,2.48,0.89,2025-10-14 03:34:15,32.27,38.05,-15.18,False,False,True,False,7.0,2
