asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
PLTR,1,0.01,2025-07-01 23:48:00,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-01 23:50:10,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-01 23:50:22,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:06:47,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:08:20,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:09:17,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:10:29,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:10:59,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:18:22,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:18:59,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:19:58,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:20:36,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:22:15,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:22:51,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:27:16,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:28:14,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:29:25,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:29:48,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:30:11,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:31:05,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:31:15,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:31:33,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:31:41,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:34:02,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:35:21,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:37:08,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:39:46,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:41:03,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:42:06,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:48:14,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:56:23,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 00:58:43,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-02 01:02:14,130.68,129.81,0.67,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-03 01:04:14,132.12,129.81,1.78,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-03 01:07:56,132.12,129.81,1.78,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-03 01:21:31,132.12,129.81,1.78,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-03 01:27:27,132.12,129.81,1.78,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-03 01:28:24,132.12,129.81,1.78,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-03 01:37:19,132.12,129.81,1.78,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-03 01:49:35,132.12,129.81,1.78,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-03 01:49:53,132.12,129.81,1.78,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-03 01:59:37,132.12,129.81,1.78,False,True,False,False,7.0,2
PLTR,1,0.01,2025-07-03 01:59:57,132.12,129.81,1.78,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-03 10:01:59,135.24,134.3,0.7,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 00:44:35,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 00:46:35,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 00:48:26,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 00:50:53,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 01:33:32,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 14:15:21,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 14:18:31,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 14:19:41,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 14:19:51,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 14:27:04,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 14:27:21,134.36,134.3,0.04,False,True,False,False,14.0,2
PLTR,1,0.31,2025-07-06 14:27:29,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 21:16:18,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 21:21:08,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-06 21:23:34,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,0.31,2025-07-07 00:02:01,134.36,134.3,0.04,False,True,False,False,7.0,2
PLTR,1,1.01,2025-07-08 00:30:21,139.12,137.2,1.4,False,True,False,True,7.0,2
PLTR,1,1.01,2025-07-08 00:35:04,139.12,137.2,1.4,False,True,False,True,7.0,2
