asset,qty_unit,quantity,time,market_price,purchase_price,total_profit_and_lose,is_profitable,is_at_mid,is_losable,is_stocked,pct_amp,frq
PLTY,2,9.0,2025-07-10 14:36:42,65.9,65.5,0.61,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-10 14:39:43,65.86,65.5,0.55,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-10 14:42:04,65.92,65.5,0.64,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-11 01:38:41,66.17,65.5,1.02,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-11 01:40:42,66.17,65.5,1.02,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-11 01:41:28,66.17,65.5,1.02,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-11 01:42:05,66.17,65.5,1.02,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-14 00:02:24,66.16,65.5,1.01,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-14 00:04:30,66.16,65.5,1.01,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-14 00:04:59,66.16,65.5,1.01,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-14 00:15:06,66.16,65.5,1.01,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-14 00:17:27,66.16,65.5,1.01,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-14 00:22:15,66.16,65.5,1.01,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-14 00:23:09,66.16,65.5,1.01,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-14 00:29:09,66.16,65.5,1.01,False,True,False,True,3.5,2
PLTY,1,3.0,2025-07-14 01:17:30,66.16,65.5,1.01,False,True,False,True,3.5,2
PLTY,1,3.0,2025-07-14 01:19:54,66.16,65.5,1.01,False,True,False,True,3.5,2
PLTY,2,9.0,2025-07-14 09:50:40,67.38,65.5,2.87,True,False,False,True,3.5,2
PLTY,2,9.0,2025-07-14 09:50:52,67.4,65.5,2.9,True,False,False,True,3.5,2
PLTY,2,9.0,2025-07-14 09:54:31,67.47,65.5,3.01,True,False,False,True,3.5,2
PLTY,2,9.0,2025-07-14 09:54:46,67.45,65.5,2.98,True,False,False,True,3.5,2
PLTY,2,9.0,2025-07-14 09:55:26,67.56,65.5,3.14,True,False,False,True,3.5,2
PLTY,2,9.0,2025-07-14 09:55:40,67.41,65.5,2.92,True,False,False,True,3.5,2
